iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,10,1.44
0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,10,1.46
0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,10,1.49
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,90,1.49
0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,10,1.5
0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,90,1.5
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,90,1.51
0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,90,1.51
1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,10,1.52
0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,90,1.56
1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,90,1.8810471301752327
0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,10,1.8813654904388222
0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,90,1.881606822680581
1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,10,1.8827020131763168
0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,90,1.8830109262241814
0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,10,1.8832561164094048
0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,90,1.8837793442130029
1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,90,1.8845715730650539
0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,90,1.8847218750921155
0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,90,1.885700845860014
