OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,13558.7133182418
1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,16595.0982424439
1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,13347.6610509674
1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,13641.6461766286
1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,15187.0036934113
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,14974.1540783142
1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,12399.3483761397
0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,12083.6227316245
1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,12984.2248506981
0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,14999.500652415
1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,9811.391026887186
0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,9811.390247977992
1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,9811.39074246185
0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,9811.388257605986
1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,9811.390513607597
1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,9811.390162978518
1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,9811.390378018144
0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,9811.386042754635
0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,9811.385292044866
0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,9811.38978272508
0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,9811.390673103715
0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,9811.390471014003
0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,9811.387631214402
1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,9811.390968565494
1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,9811.38953173967
1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,9811.388914409063
1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,9811.39090965346
0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,9811.385023576426
0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,9811.391278945519
1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,9811.386749955444
1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,9811.388713528238
0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,9811.3896610017
1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,9811.390516896983
0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,9811.386480048996
0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,9811.389651180423
0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,9811.39099957015
1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,9811.384761518479
1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,9811.388688520177
0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,9811.390187103274
0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,9811.387725672643
1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,9811.389651988551
0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,9811.388308394193
1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,9811.386346650364
0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,9811.388145963465
1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,9811.388633536224
1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,9811.385321970758
1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,9811.388723491222
0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,9811.388726362371
0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,12600.9690137572
1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,9811.389434495939
0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,9811.385651615647
1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,9811.387886861643
0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,9811.385643366913
1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,9811.389849990155
0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,9811.39049245627
0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,9811.391168635842
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,13840.0880374358
1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,9811.385538109796
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,13699.3860747381
0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,9811.390100212884
0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,9811.388462747413
1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,9811.388485524158
0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,13001.1103734792
0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,9811.390279727932
0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,9811.390526290976
1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,9811.388265123922
1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,9811.386126223315
1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,12963.083698224
1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,9811.384712331517
1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,9811.388575271127
1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,9811.38646845092
0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,9811.387115224481
1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,9811.386028359177
1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,9811.384543754779
1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,9811.390847890996
1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,9811.389645930629
0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,9811.385421950183
1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,9811.389237246038
1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,9811.384602287206
1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,9811.385088603374
0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,9811.387162534476
1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,9811.38541331476
1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,9811.388633177181
0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,9811.388385544278
1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,9811.386865176111
1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,9811.388822361963
0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,9811.38775615953
1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,9811.389375081417
1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,9811.390067626391
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,9811.388223640386
