NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
0,0,0,1,0,0,0,1,0,0,0,0,0,8,8,2,4.71
0,1,0,0,0,0,0,1,0,0,0,0,0,8,8,1,2.05
0,0,0,1,0,0,1,0,0,0,0,0,0,22,8,0,11.1
0,0,0,1,0,0,0,1,0,0,0,0,0,22,8,1,11.07
1,1,0,0,0,1,1,0,0,1,0,1,0,22,160,0,5.85
0,1,0,0,0,1,0,0,0,0,1,0,0,8,8,0,2.36
0,0,0,1,0,0,0,1,0,0,0,1,0,22,8,0,9.13
0,1,0,0,1,0,0,0,0,1,0,0,0,22,8,1,9.33
0,0,0,1,0,0,1,0,0,0,0,0,0,8,8,0,4.52
0,0,0,1,0,0,1,0,0,0,0,0,0,8,8,2,4.71
0,0,0,1,0,0,0,1,0,0,0,0,0,8,8,1,4.27
1,1,0,0,1,0,0,0,0,1,0,1,0,8,8,0,2.24
0,0,0,1,0,0,0,1,0,0,0,0,0,48,8,2,8.84
0,0,0,1,0,0,0,1,0,1,0,1,0,22,8,1,6.2
0,0,0,1,0,0,0,1,0,0,0,0,0,8,8,0,4.61
1,0,0,1,0,0,0,1,0,0,0,0,0,8,8,0,4.75
1,0,1,1,1,0,0,0,0,0,0,1,0,22,8,0,9.29
1,1,1,0,0,1,1,0,0,1,0,1,0,44,320,0,10.48
1,1,1,0,1,1,1,0,1,0,1,1,0,22,320,1,27.45487553004392
1,1,1,0,1,1,1,1,0,0,0,1,1,48,320,1,27.451063852478335
0,0,0,1,1,0,1,0,1,1,0,1,1,8,8,2,27.456634228600365
1,1,0,1,0,0,1,1,1,0,0,0,1,48,320,0,27.45133207650817
1,1,0,1,1,1,0,0,0,1,1,1,1,48,160,2,27.45619127194656
0,0,1,0,0,0,0,1,1,1,1,1,1,48,320,1,27.457984379123484
0,1,1,1,0,0,0,0,0,0,1,0,0,22,320,2,27.45106387744404
0,1,0,1,0,1,1,1,1,0,0,0,1,22,320,2,27.45754834056699
0,0,0,0,0,1,0,1,1,1,1,1,1,48,8,2,27.457938539776535
0,0,0,1,0,1,1,1,0,1,0,1,1,48,320,1,27.45149804221033
0,1,1,1,1,1,0,0,1,1,0,1,1,22,160,0,27.45779177390114
0,1,0,1,1,0,1,1,1,1,1,1,0,48,8,0,27.45546835767171
1,1,0,0,1,1,0,0,1,1,0,1,0,22,8,1,27.454088675827578
0,0,0,1,0,1,0,1,0,0,0,0,0,8,8,0,27.454327719119124
0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,0,27.454411439060674
0,0,0,1,0,0,1,1,0,0,0,0,0,48,8,2,27.457265697701878
0,0,0,0,0,0,0,1,0,0,1,0,0,8,8,2,27.452691076181956
0,0,0,1,0,0,0,1,0,0,0,0,0,44,8,0,12.89
0,1,0,1,0,0,1,1,0,0,0,0,0,8,8,1,27.45557302757847
0,1,0,0,1,1,1,0,0,0,1,0,0,8,8,1,27.45741386359671
0,0,0,1,0,0,0,1,1,0,0,1,0,22,160,0,27.45405978746392
0,0,0,0,1,0,0,0,0,1,1,1,0,8,8,2,27.452794818389524
0,1,1,0,0,1,1,0,0,0,0,0,0,8,320,0,27.457625642146308
1,0,0,1,0,0,0,1,1,0,0,1,0,44,320,0,27.453552650240113
0,1,0,0,0,0,0,1,0,0,0,0,0,48,8,1,13.95
0,0,0,1,0,0,0,1,0,0,0,1,0,8,8,1,27.455323661622845
0,0,1,0,0,0,0,1,0,0,0,0,0,8,160,0,27.455178925272723
0,1,0,0,1,1,1,1,0,1,0,1,0,22,8,1,27.453404014523336
1,0,0,1,0,0,0,1,0,0,0,0,0,22,160,0,27.45703667852426
0,0,0,1,0,0,0,1,0,0,0,1,0,8,8,0,27.456341544694357
0,0,0,1,0,1,0,1,0,0,1,0,0,48,320,2,27.456494818891965
0,0,0,1,0,1,1,0,0,0,0,0,0,8,160,2,27.453316598618922
0,1,0,1,0,1,0,0,0,0,1,0,0,8,8,1,27.456754230843586
0,0,1,1,0,0,1,0,1,0,0,0,0,8,8,0,27.45790936811792
1,1,0,0,0,0,0,0,0,0,1,0,0,44,8,0,27.45614325327054
0,1,1,0,0,1,0,0,0,1,0,1,0,8,8,0,27.456092856977726
0,1,1,0,0,0,0,1,0,0,1,0,0,8,8,0,27.456148127043036
0,1,0,1,0,0,1,0,0,0,1,0,0,44,8,1,27.452611131511503
0,0,0,0,1,0,0,1,1,0,0,0,0,8,160,1,27.457414938465917
0,1,0,0,0,0,0,1,0,1,0,0,0,8,8,1,27.45619360098335
0,0,0,1,0,0,1,0,0,0,0,0,0,8,8,1,2.65
0,0,0,1,0,0,1,0,0,0,1,0,0,8,8,2,27.45673559486302
0,1,0,0,0,0,0,1,1,0,0,0,0,8,8,2,27.457142710389355
0,0,0,1,1,0,0,1,0,0,0,0,0,8,8,1,27.452922823294102
1,1,0,0,0,0,0,1,0,1,0,0,0,8,320,1,27.45336281474062
0,1,0,0,0,0,0,1,0,1,1,0,0,44,8,1,27.458198632912353
1,0,0,1,0,0,0,1,1,0,0,0,0,8,8,0,27.458031816283206
0,0,0,0,0,0,0,1,1,0,0,1,0,8,8,0,27.453345949311533
1,1,1,0,1,0,0,0,0,1,0,1,0,48,8,2,12.53
0,0,0,1,0,0,0,1,0,0,0,1,1,8,8,0,27.45497622971053
1,0,0,1,0,0,1,1,0,0,0,0,0,8,8,1,27.457243782546847
0,1,0,0,1,0,0,1,0,1,0,0,0,8,8,0,27.45329096460432
0,1,0,1,0,0,0,1,0,0,0,0,0,8,8,0,27.452123875062114
1,0,0,0,0,1,1,0,1,0,1,0,0,8,8,0,27.457154934173282
0,0,0,0,0,0,1,0,0,1,0,0,0,8,8,0,27.45460383687137
1,1,1,1,0,0,0,1,0,1,0,0,0,8,8,1,27.458580578144186
1,1,0,0,1,0,0,0,0,1,0,1,0,22,160,0,27.45804667243536
1,1,0,0,0,1,1,0,1,1,0,1,0,48,8,0,27.451053126809676
1,1,0,0,0,0,0,1,0,0,0,0,0,8,8,1,27.451951098337698
0,0,1,1,1,0,0,0,0,1,0,0,0,8,8,0,27.453501623338006
0,0,0,1,0,0,1,0,0,0,0,1,0,22,8,0,27.451601031734153
1,0,1,1,1,0,0,0,0,0,0,0,0,8,8,1,27.458825068162803
0,0,0,1,0,0,1,0,0,1,0,0,0,44,8,1,27.45499463631991
0,0,0,1,0,1,0,1,0,0,0,0,0,8,8,2,27.454612781015395
0,0,0,1,0,0,1,0,0,0,1,0,0,8,8,0,27.451278860845413
1,1,0,0,0,1,0,0,1,0,0,0,0,8,8,1,27.45732105175895
0,0,0,1,0,0,1,0,0,1,0,1,0,22,8,1,6.56
1,0,0,1,0,1,1,0,0,1,0,1,0,48,160,0,27.453861353739352
1,1,0,0,0,0,1,0,0,0,0,0,0,8,8,0,27.454389585994722
0,0,0,1,0,0,0,1,0,1,0,0,0,8,8,0,27.453590031066103
1,1,0,1,0,0,0,0,0,1,0,1,0,22,8,1,27.45679899234084
0,0,0,0,0,0,0,1,0,0,0,1,0,22,8,0,27.45130729380918
