auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
0,0,0,0,1,0,1,0,1,1,0,1,1.85
0,0,1,0,1,1,0,1,0,1,0,0,2.41
0,0,1,1,1,1,1,1,0,0,1,0,3.03
1,1,1,0,0,0,1,0,1,1,0,0,3.73
0,0,0,1,0,0,0,0,0,1,0,0,5.8
0,0,1,1,1,0,1,0,1,1,0,0,6.43
1,0,1,0,0,1,1,1,1,1,1,0,6.86
1,0,0,0,0,1,1,1,1,1,1,0,7.04
1,1,1,1,1,1,0,0,0,1,1,1,17.4
0,1,0,0,1,1,1,1,0,0,1,0,17.75
0,1,1,1,1,1,0,1,1,1,0,0,29.8
1,0,0,0,0,0,1,0,0,1,1,0,304.21
1,1,0,1,1,0,1,1,1,1,1,0,415.9
0,1,0,0,0,0,0,1,1,1,1,0,427.01
1,1,0,1,0,1,1,1,1,1,1,1,438.05186065604613
0,1,1,1,1,1,0,0,1,0,0,1,438.05217336524026
0,0,1,1,0,1,1,0,0,0,1,0,438.0533840445419
0,0,1,0,0,1,0,0,1,1,0,0,438.0534499172121
1,1,0,0,0,0,0,1,0,0,1,0,438.0535325772491
0,1,0,0,0,1,0,0,0,1,1,0,438.053767436789
