NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
0,1,1,0,0,0,0,1,0,0,0,0,0,22,8,0,3.97
0,0,1,1,0,0,0,0,0,0,1,0,0,8,320,0,2.25
1,0,1,0,1,1,0,0,0,1,0,0,1,44,160,0,10.67
1,0,0,0,0,1,0,0,0,1,1,1,1,8,320,0,3.26
1,0,1,0,0,1,0,1,0,1,0,1,1,8,320,0,2.17
1,1,1,0,0,1,1,0,0,1,0,1,0,22,320,0,3.32
0,0,1,1,1,0,0,0,0,1,0,1,0,8,8,0,2.22
0,0,0,0,1,0,0,0,0,0,0,1,1,22,8,1,4.0
0,1,0,0,0,0,0,1,0,0,0,1,0,44,8,2,7.44
0,0,1,1,0,0,0,0,0,0,1,1,0,44,160,0,6.38
1,1,1,0,0,1,1,0,1,1,0,1,0,44,160,0,12.553081603928861
1,0,0,1,1,0,1,1,0,1,1,1,1,44,320,0,12.55899989107438
0,0,1,1,0,1,1,1,1,0,0,1,1,44,8,0,12.556869559133146
0,0,0,1,0,1,1,1,0,0,1,1,0,44,160,2,12.554140814749424
1,0,1,1,0,1,0,1,1,0,0,0,0,22,8,0,12.551369922138456
1,0,1,1,0,0,0,0,1,1,0,1,0,44,320,0,12.551171980394203
1,1,0,1,0,1,0,1,1,1,0,0,1,22,320,2,12.551067088054392
0,1,0,0,1,0,1,0,0,1,0,0,1,22,8,1,12.557926787735063
0,0,1,1,0,0,0,1,0,0,1,0,0,48,160,1,12.556567830012739
0,0,1,1,1,0,1,0,0,0,0,0,0,22,160,1,12.5579802748522
1,1,0,1,1,0,0,0,1,1,1,1,1,22,8,1,12.556364202975622
1,1,0,0,0,0,0,1,0,0,0,1,1,44,160,1,12.55259779288842
1,0,1,1,1,1,0,1,1,0,0,0,0,22,320,2,12.552384947078968
1,1,0,0,0,1,1,0,0,0,1,0,0,48,160,0,12.556834751346683
1,1,1,0,0,0,0,0,1,0,1,1,1,22,160,1,12.55416399985068
0,1,0,0,0,0,0,1,1,0,1,1,1,22,8,2,12.557745510946468
0,0,1,1,1,0,0,0,0,1,0,1,0,8,160,2,12.557990614003016
0,1,1,0,1,0,0,1,0,1,1,1,0,44,8,1,12.558201042186946
1,1,0,0,1,1,0,1,1,1,0,1,1,22,8,0,12.558118783419902
0,0,0,1,0,0,0,1,1,0,1,0,0,22,320,2,12.55446202946881
0,1,0,1,1,1,1,1,1,0,1,0,0,48,160,1,12.554149684199265
0,1,0,1,1,1,1,1,1,0,1,0,1,48,320,1,12.557814485425256
0,1,0,1,1,1,1,1,1,0,1,1,1,48,320,1,12.552316595159255
0,1,1,1,1,1,1,1,1,0,1,0,1,48,160,1,12.554056781120188
0,1,0,1,1,1,1,1,1,0,1,0,1,22,320,1,12.552615297528671
0,1,0,1,1,1,1,1,1,0,1,0,1,48,320,2,12.558344596072937
