iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,90,1.09
0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,90,1.14
0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,90,1.11
1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,90,1.16
1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,90,1.14
1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,90,1.14
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,10,1.02
0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,90,1.07
0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,90,1.07
1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,90,1.13
0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,90,1.08
0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,10,1.03
0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,90,1.13
0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,90,1.16
0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,90,1.12
0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,90,1.09
0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,90,1.25
0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,90,1.25
1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,90,1.15
0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,90,1.26
1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,90,1.14
0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,90,1.09
1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,90,1.16
0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,90,1.25
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,90,1.26
1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,10,1.14
0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,90,1.27
0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,90,1.26
0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,90,1.28
0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,90,1.25
0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,90,2.151363712030468
1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,90,2.1534907367091134
0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,90,2.152157134342987
0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,10,2.1527709577776193
0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,10,2.1511333513059525
0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,90,1.06
0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,90,2.155242064750693
0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,10,2.1526853952331924
0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,10,2.1548958341419078
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,90,1.02
0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,10,2.1544043831966353
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,90,2.157921212440221
0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,90,2.1570156864234162
0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,90,2.1535127675681163
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,10,2.1512093158591106
0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,90,2.1541211199319306
0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,90,2.15233651352589
1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,90,1.12
1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,90,2.152785496903284
0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,90,2.154197725755208
0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,90,2.1554110193162126
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,90,2.158580872982599
0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,90,2.151850719356743
0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,90,1.04
0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,90,2.151001337731381
0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,10,2.154833041105842
0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,10,2.151316002566933
0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,10,1.24
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,10,2.158950684862049
0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,10,2.152606089754086
0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,90,2.156129040247473
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,90,2.157800551785059
0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,10,2.151974287665628
0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,90,1.11
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,90,1.04
1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,90,2.154667501930557
0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,90,1.11
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,90,2.152626429351814
0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,90,2.1549726737037727
0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,90,2.1525296052935543
