OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,879.945519757386
1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,856.341740155745
0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,656.031379682819
0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,868.358593970998
0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,895.296335358119
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,795.346438319347
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,876.826654910047
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,913.672845891851
1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,642.610740199825
1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,639.005799148291
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,916.642318292935
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,921.635131890201
0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,835.352105964326
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,865.359433833869
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,830.851955020355
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,884.775346422043
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,729.358903978292
1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,741.313297793095
1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,611.9712420372099
0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,650.212601667524
1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,611.9680387556454
0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,611.9686467558189
0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,611.970813261592
0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,611.965964997081
1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,611.9679145157286
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,611.9688992004022
0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,611.9722958404668
0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,611.9716028740174
0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,611.9666409607267
0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,611.9701488111496
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,874.514955124298
1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,611.9695096721699
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,611.9728421551376
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,611.9687643161046
0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,611.9705103659927
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,737.941260389467
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,855.501890794468
1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,611.9654731979163
1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,611.9716959394007
0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,611.97195431774
1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,611.9703138564539
0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,611.9649161261152
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,611.965209365214
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,910.642002544628
0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,611.9676761317814
1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,611.9676480047607
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,611.9711306371928
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,909.213812265671
0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,611.9697925993802
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,611.9715826321916
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,925.844720262468
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,611.9711282430911
1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,915.32687480216
0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,611.9659753939183
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,611.967148518242
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,611.9703226001172
0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,611.9714749842869
1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,611.965377287534
0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,611.9672575976182
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,896.364057067048
0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,611.9657649150247
0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,611.9650363010816
0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,611.969789462701
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,912.534001697225
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,877.719730944946
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,611.9691741806208
0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,611.9673341854286
0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,611.965413829778
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,611.9681873613325
1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,611.96838478415
0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,611.9666195071294
