auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
0,0,0,1,0,0,0,0,0,0,0,0,4.13
0,0,0,1,0,0,0,1,0,0,0,0,4.13
0,0,0,1,1,0,0,1,0,1,0,1,4.13
0,0,0,0,0,0,0,1,0,0,0,0,4.13
1,0,0,0,1,0,0,0,0,0,0,1,4.13
1,0,0,0,1,0,0,0,0,0,0,0,4.13
1,0,1,0,1,1,1,1,0,1,0,0,2.65
1,0,1,0,1,1,1,1,0,0,0,0,2.65
1,0,1,0,1,1,1,1,0,1,0,1,2.65
0,1,0,1,0,0,1,1,0,1,0,0,4.53
1,0,0,0,0,0,0,0,0,0,0,1,4.13
0,1,0,1,0,1,0,0,0,1,1,0,1.76
1,0,0,0,0,0,0,0,1,0,0,1,4.15
1,0,1,1,1,0,0,1,1,1,0,0,4.16
1,1,1,1,0,0,1,1,1,1,0,1,4.55
0,1,1,0,1,0,1,1,1,0,0,1,4.675923125730641
0,0,1,0,1,1,0,0,1,0,1,0,4.674182021546813
1,0,1,1,1,0,1,1,0,1,1,1,4.13
0,0,1,0,0,1,0,0,0,0,0,1,4.6732887569644
0,1,0,0,0,1,1,1,0,1,0,0,1.76
0,0,0,1,0,0,0,0,0,0,0,0,4.13
0,0,0,1,0,0,0,1,0,0,0,0,4.13
0,0,0,1,1,0,0,1,0,1,0,1,4.13
0,0,0,0,0,0,0,1,0,0,0,0,4.13
1,0,0,0,1,0,0,0,0,0,0,1,4.13
1,0,0,0,1,0,0,0,0,0,0,0,4.13
1,0,1,0,1,1,1,1,0,1,0,0,2.65
1,0,1,0,1,1,1,1,0,0,0,0,2.65
1,0,1,0,1,1,1,1,0,1,0,1,2.65
0,1,0,1,0,0,1,1,0,1,0,0,4.53
0,0,0,1,0,0,0,1,0,1,0,0,4.13
0,1,0,0,0,0,0,1,0,0,0,1,4.53
0,1,0,1,1,1,1,1,0,1,0,1,4.676609150564262
1,0,1,0,0,1,0,0,0,1,0,0,4.673891068655776
0,1,0,1,0,1,0,0,0,0,0,1,4.67572208877046
1,0,0,1,0,0,0,0,0,1,0,0,4.13
1,1,1,0,1,1,1,1,0,1,0,1,4.672533711628035
0,0,1,1,0,0,0,1,0,0,0,1,4.13
1,0,1,0,1,1,0,1,0,1,0,1,4.676608455215638
0,0,0,1,1,0,0,1,1,0,0,0,4.678630404876613
1,0,1,0,1,1,0,1,0,0,0,0,4.67574473053323
0,0,0,0,0,0,1,1,0,1,0,1,4.672542504706064
0,0,1,0,1,1,1,1,0,1,0,0,4.6765940933958
1,0,0,0,0,0,0,1,0,0,0,0,4.13
0,1,1,1,0,1,0,0,0,1,0,0,4.676815251686248
1,0,0,1,1,0,1,1,0,1,1,0,4.6743732736435035
0,1,0,1,0,1,1,0,0,0,0,0,4.674751915289015
0,0,1,0,0,0,0,1,0,1,1,0,4.678626955236402
1,0,1,0,1,0,0,0,1,1,1,1,4.676109269561918
0,0,0,1,1,1,1,1,0,0,0,0,4.672183551023403
1,0,1,0,0,1,1,1,0,1,0,0,4.677250697585392
1,0,1,0,1,1,1,1,1,1,0,1,4.6718792445421204
1,0,1,0,1,1,1,1,0,0,1,0,4.676971111696076
0,0,0,1,0,0,0,0,0,1,0,1,4.675960346601415
1,0,1,0,1,1,1,1,1,0,0,0,4.674525964368806
1,0,0,0,1,1,1,1,0,1,0,0,4.674797717439506
1,1,0,1,1,1,0,0,0,1,1,0,4.674730998828513
0,0,1,0,1,1,1,1,0,0,1,0,4.673659370659832
1,0,1,0,1,1,1,0,0,1,0,1,4.677953152088883
1,1,1,0,1,1,1,1,0,1,0,0,4.671755116032057
0,1,0,0,1,1,1,1,0,1,0,0,4.676645403201822
1,1,1,1,0,1,0,0,0,1,1,0,1.76
0,1,0,1,1,1,0,0,0,1,1,0,4.678169918726247
0,0,0,0,1,0,0,1,1,0,0,0,4.67117330956636
0,0,1,0,1,0,1,0,0,1,0,0,4.674080630436174
1,1,0,0,0,1,1,1,0,1,0,0,4.676662405717808
1,1,1,1,1,1,1,1,0,1,0,1,1.76
0,0,0,0,1,1,1,1,1,1,0,1,4.671401486810835
1,0,0,0,1,0,0,1,0,1,0,1,4.13
0,1,0,0,0,1,1,1,1,1,1,0,4.672752580443706
0,0,1,0,1,1,1,1,0,0,0,0,4.677571012336612
1,0,0,1,0,0,0,0,0,1,0,1,4.672916085582981
1,1,1,1,1,1,0,1,0,1,0,0,1.76
1,0,1,0,1,1,1,1,0,0,0,1,4.671146678902329
1,1,1,1,1,1,1,1,0,1,1,0,1.76
1,1,1,1,0,1,0,0,0,1,0,1,4.676697037173899
1,0,0,0,1,1,1,1,0,1,1,0,4.672048377976408
0,1,1,1,0,1,1,1,0,0,0,0,1.76
0,0,1,0,1,1,1,0,0,1,0,1,4.6744413503566
1,0,1,0,0,1,1,1,0,0,0,0,4.6750628036074335
1,1,1,1,1,1,0,0,0,1,0,1,4.678534824165487
1,0,0,0,1,1,1,0,0,1,0,0,4.671082599820022
1,0,0,0,1,0,1,1,0,0,0,1,4.672062904112402
1,1,1,1,1,1,1,1,0,1,0,0,1.77
0,1,0,1,0,0,1,1,0,0,0,0,4.673596079079629
0,1,0,0,0,1,0,1,0,1,0,0,1.76
0,0,1,0,1,1,1,1,0,1,0,1,4.673140753753448
1,1,0,1,0,0,0,0,0,1,1,0,4.53
0,1,0,1,0,1,0,1,0,1,0,0,1.76
1,0,0,0,1,1,0,0,0,1,1,0,4.674184264890469
