encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
0,0,0,0,0,1,0,0,1,0,0,9.94
0,1,0,0,0,0,1,0,0,1,0,10.17
0,1,0,1,0,0,0,1,0,0,0,8.85
0,1,0,0,1,0,0,1,1,0,1,10.43
0,0,0,0,1,0,0,0,0,1,0,10.26
0,1,0,1,0,0,0,1,1,1,0,8.97
0,0,0,0,1,0,0,1,1,0,1,10.52
0,0,0,1,0,0,0,0,0,1,0,15.02
0,1,1,0,0,0,0,1,0,1,0,15.24
0,1,0,1,0,0,0,1,0,1,0,15.16
1,1,1,0,0,0,0,0,1,1,0,18.74
1,1,1,0,0,0,0,1,1,1,0,18.78
1,0,1,0,0,0,0,0,0,1,0,10.14
1,1,0,0,1,0,0,0,0,1,0,10.13
1,0,0,0,1,0,0,1,0,0,1,13.61
0,1,1,0,0,1,1,1,0,0,0,314.98256697473033
1,1,1,1,0,1,0,0,0,1,1,314.98707884159563
1,1,0,0,0,1,0,0,0,0,0,10.17
1,0,1,0,1,1,0,1,0,0,1,314.9854413156816
0,0,0,0,0,0,1,1,1,1,0,179.0
0,0,0,0,0,1,0,0,1,0,0,9.94
0,1,0,0,0,0,1,0,0,1,0,10.17
0,1,0,1,0,0,0,1,0,0,0,8.85
0,1,0,0,1,0,0,1,1,0,1,10.43
0,0,0,0,1,0,0,0,0,1,0,10.26
0,1,0,1,0,0,0,1,1,1,0,8.97
0,0,0,0,1,0,0,1,1,0,1,10.52
0,0,0,1,0,0,0,0,0,1,0,15.02
0,1,1,0,0,0,0,1,0,1,0,15.24
0,1,0,1,0,0,0,1,0,1,0,15.16
0,1,0,0,0,0,1,0,1,1,0,14.69
0,1,0,1,0,0,0,0,0,0,1,314.9883357855569
0,0,0,1,1,0,1,0,1,1,0,314.9819519326435
0,1,1,1,0,0,1,1,1,1,0,314.98835478319916
1,0,0,1,0,1,1,1,0,0,0,314.9861171746291
0,1,1,0,0,0,0,0,0,1,0,165.44
0,1,0,1,0,1,0,0,1,1,0,314.9887614161319
1,1,1,1,0,1,1,0,0,0,0,314.984490428396
0,1,0,1,0,0,0,0,1,0,0,14.83
0,0,0,1,0,1,0,0,1,1,0,314.98251115871363
0,0,0,0,0,0,0,1,0,0,1,314.9879674559945
1,0,0,0,1,0,0,0,0,1,0,14.44
0,0,0,0,1,0,0,1,0,1,0,14.91
1,1,0,1,1,0,0,0,0,1,0,314.9816986591407
1,1,0,0,0,0,0,0,0,1,0,314.981188221844
0,1,0,1,0,1,0,1,1,0,0,314.9839814545461
0,0,0,0,0,1,0,0,1,0,1,314.9874674629194
0,0,0,0,0,1,1,0,1,0,0,314.9877108491986
0,1,0,0,1,1,1,0,1,0,0,314.98605432767266
0,0,0,0,0,0,1,0,0,1,0,162.87
1,1,0,0,1,0,0,0,1,1,0,18.06
0,0,1,0,0,1,0,0,0,1,0,314.9832612734566
1,1,0,0,1,1,0,0,0,0,0,314.98113806971884
0,1,0,1,0,1,0,1,1,0,1,314.98213158297636
1,1,0,1,0,0,0,1,0,1,0,19.0
1,1,0,0,1,0,0,1,0,0,0,14.92
0,0,0,1,0,0,0,1,1,1,0,10.72
1,0,1,1,0,0,0,1,1,0,0,314.98859420744685
0,0,0,0,0,0,0,0,1,0,0,314.98453655823056
1,0,0,0,0,0,0,0,0,0,1,314.9829271398348
0,0,0,0,0,0,0,1,0,0,0,314.98296431763873
0,1,0,1,1,0,1,1,0,1,0,314.9823834530565
0,1,0,0,0,0,1,1,0,1,0,18.77
1,1,0,1,0,0,0,1,0,0,0,28.69
0,1,0,1,0,1,0,1,1,1,0,314.98335551031886
0,1,0,0,0,0,0,1,0,1,0,314.9874643050801
0,1,0,1,1,0,1,0,1,1,0,314.9828977420571
0,1,0,1,0,0,0,1,1,0,0,186.47
0,1,0,1,1,0,0,1,1,1,0,314.98194905224335
0,0,0,0,0,0,0,0,1,0,1,314.9858064448376
0,1,0,1,0,0,0,1,0,0,1,314.98577585858726
0,1,1,1,0,0,0,1,0,0,0,314.9843009743355
0,0,1,0,0,0,0,0,0,1,0,289.28
1,0,1,0,0,1,1,0,1,0,0,314.9810036395942
0,1,0,0,1,0,0,0,0,1,0,25.21
1,1,1,0,0,1,0,0,0,0,0,314.98559951968076
0,0,0,1,0,0,0,0,0,0,0,25.05
0,0,0,0,1,0,0,1,0,0,0,23.62
0,1,0,1,0,0,0,1,1,1,1,314.98889414638415
0,1,1,1,0,0,0,1,1,1,0,314.98322592551744
0,1,0,0,0,0,1,0,0,1,1,314.9877156300112
0,0,0,1,0,1,0,1,0,0,0,314.988289196833
0,0,0,1,0,0,0,1,0,0,0,25.17
1,0,0,1,1,0,0,0,0,0,1,314.9843482859147
0,1,0,0,1,0,0,1,1,0,0,230.38
1,0,1,0,0,0,0,0,0,1,1,314.98344670513836
0,0,0,0,0,1,0,0,0,0,0,10.19
0,1,0,1,0,0,0,0,1,0,1,314.98702928405686
0,1,0,0,0,0,0,1,0,0,0,314.98757119537214
0,1,0,0,0,0,1,0,1,0,0,185.92
