auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,0,0,1,0,0,0,0,0,1,0,0,2.355143,1
0,0,0,1,0,0,0,1,0,1,0,0,0.8278,0
0,0,1,1,0,0,0,0,0,1,0,0,0.8278,0
1,0,1,0,0,0,0,1,0,1,0,0,1.904633,1
0,0,0,0,0,0,0,0,0,1,0,0,1.033333,0
1,0,0,0,0,0,0,0,0,1,0,0,1.941675,1
1,0,0,0,1,0,0,1,0,0,0,1,1.8611,1
1,0,0,0,1,0,0,1,0,1,0,0,0.8278,0
0,0,0,0,1,0,0,1,0,0,0,0,0.8278,0
1,0,0,1,0,0,1,1,1,1,0,0,0.8278,0
1,0,0,0,0,0,0,0,0,0,0,0,0.8861,0
1,0,0,0,0,0,0,1,0,1,0,0,0.8861,0
0,0,1,0,0,0,0,1,0,0,0,0,1.977775,1
0,0,0,0,0,0,1,0,0,1,0,0,0.8861,0
0,0,0,0,0,0,0,0,0,1,0,1,1.977775,1
0,0,1,1,1,0,0,0,0,0,0,0,1.5611,0
0,0,0,0,0,0,1,1,0,0,0,0,2.066675,1
0,0,1,0,0,0,0,0,0,1,0,0,1.5611,0
0,0,1,1,0,0,0,1,0,1,0,0,1.5611,0
0,1,1,1,1,0,0,0,0,0,0,0,1.5611,0
0,0,0,0,1,0,1,0,0,0,0,0,2.40722,1
1,0,0,0,0,0,0,0,0,1,1,0,1.932433,1
1,0,0,0,0,0,1,0,0,0,1,1,1.6167,1
1,0,0,0,0,0,0,1,0,1,1,0,1.6167,1
1,0,0,0,0,0,1,1,0,1,1,0,2.00555,1
0,0,0,0,0,0,1,1,0,0,1,1,2.00555,1
0,0,0,0,0,0,0,0,0,1,1,0,1.6167,0
0,0,0,0,0,0,1,1,0,0,1,0,2.00555,1
0,0,1,0,1,0,1,0,0,0,0,1,1.6167,1
0,1,0,0,0,1,0,0,0,0,0,0,1.6528,1
0,0,0,1,0,1,0,0,0,0,0,0,1.6528,1
1,1,0,0,0,0,1,0,0,1,0,0,1.4,0
1,1,0,0,0,0,0,0,0,0,1,0,1.4,0
1,1,0,0,1,0,0,1,0,0,1,0,1.4,0
1,1,0,0,0,0,0,0,0,0,0,0,1.4,0
1,1,0,0,0,0,0,1,0,1,0,0,1.4,0
1,0,0,0,1,0,0,0,0,0,1,0,1.4,0
1,0,1,0,0,0,0,1,0,0,0,0,1.4,0
0,0,0,0,0,0,1,1,0,1,1,0,1.7694,1
0,0,0,0,1,0,0,1,0,0,0,1,1.7694,1
0,0,0,1,0,0,0,1,0,0,0,1,1.7694,1
