encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,1,0,0,1,0,0,0,0,1,0,2.08
0,0,0,0,1,0,0,1,0,0,1,2.24
1,1,0,0,1,0,0,0,0,0,0,2.23
0,1,0,0,1,0,0,1,1,0,1,2.25
0,0,0,0,1,0,0,1,1,0,1,2.35
0,1,0,0,1,0,0,0,0,0,1,2.25
0,1,0,0,1,0,0,1,1,1,0,2.18
0,0,0,0,1,0,0,0,0,0,1,2.23
1,1,1,0,0,0,0,0,0,1,0,2.23
0,0,0,0,1,0,0,0,1,0,0,2.36
1,1,0,0,1,0,0,0,0,0,1,2.3
0,1,0,0,1,0,0,0,1,0,1,2.19
0,0,0,0,1,0,0,0,0,1,1,2.31
0,1,0,0,1,0,0,0,0,0,0,2.23
0,0,0,0,1,0,0,0,1,0,1,2.09
1,0,0,0,1,0,0,0,1,0,1,2.26
0,0,0,0,1,0,0,1,0,1,1,5.43
0,1,0,0,0,0,1,1,1,0,0,7.12
1,0,1,0,0,0,0,1,0,1,0,5.76
1,0,1,0,0,1,0,0,0,0,1,45.8750628537438
0,0,1,0,1,0,0,0,1,0,0,45.875728522631086
0,1,0,1,1,0,0,0,0,0,1,45.874151084144735
1,0,0,1,0,0,1,1,1,1,0,45.87224663081951
0,0,0,0,1,0,0,1,0,0,1,2.24
0,0,0,0,1,0,1,0,0,1,0,45.87446653406882
1,0,0,0,1,0,0,0,0,0,1,5.22
1,1,1,0,0,1,0,1,1,1,0,45.878261946167385
1,1,1,1,1,1,1,1,0,0,0,45.873111710383945
1,1,0,1,0,0,0,1,0,0,1,45.873877705460785
1,0,0,1,0,0,1,1,1,0,0,45.87505562458468
0,0,0,0,1,0,1,1,0,1,1,45.87505017463915
1,1,0,0,1,0,1,0,0,0,0,45.876678484280646
1,0,1,1,1,0,0,0,0,1,1,45.874492448495396
0,0,0,0,1,0,1,0,1,0,1,45.877414711025715
0,1,0,0,0,0,0,1,1,0,1,45.875910770026344
0,1,0,0,1,0,0,0,1,1,1,2.84
1,0,0,1,1,0,1,0,1,0,1,45.87202722393141
1,1,0,0,0,0,0,1,1,1,0,45.87863350582129
1,1,0,0,1,1,0,0,0,1,0,45.87767821238395
0,1,0,1,1,0,0,0,1,0,1,45.8711910370387
1,1,1,0,1,0,0,0,0,1,0,45.8742994264178
1,1,0,0,1,1,0,0,0,0,0,45.873581106757854
1,1,0,0,0,0,1,0,0,0,0,2.19
0,1,0,0,1,0,1,0,1,0,1,45.87667911224939
0,0,0,1,1,0,0,1,1,1,1,45.876157119080894
0,0,1,0,1,0,0,1,1,1,0,45.87156689276328
0,1,0,0,1,0,0,0,1,0,0,4.0
1,1,1,0,1,0,0,0,0,1,1,45.87232830829299
1,0,1,0,1,0,0,0,0,1,0,45.87603787608642
0,0,0,0,1,0,0,1,0,0,0,3.95
0,0,0,0,0,1,0,0,1,0,1,45.8757599941668
0,1,0,1,1,0,0,1,1,1,1,45.87518330483973
0,0,1,1,1,0,0,0,1,0,1,45.87855809751932
1,0,0,0,0,0,1,0,1,0,1,45.87186235454546
0,0,0,0,1,0,0,0,1,1,0,5.37
0,1,1,1,0,0,0,0,1,0,1,45.87714829826187
1,1,0,0,1,0,0,0,1,0,0,31.8
1,0,1,1,0,1,0,0,0,0,0,45.878488863452105
0,1,0,0,0,0,0,1,1,1,1,45.872631095538914
0,0,0,0,1,0,0,0,1,1,1,2.81
0,0,0,0,1,0,0,1,1,1,1,3.99
0,1,0,0,1,1,0,1,1,0,1,45.87794390844535
0,1,0,0,1,0,1,0,0,0,0,45.87286381235469
0,0,1,0,1,0,0,0,0,0,0,45.87849735603573
0,1,1,0,0,0,1,1,1,0,1,45.878834313193146
1,1,1,0,0,0,0,0,0,1,1,45.878168899425134
0,1,0,0,1,0,1,0,1,0,0,45.87409071069702
1,1,0,0,1,0,0,0,1,1,1,5.23
0,1,0,0,1,0,0,0,0,1,1,22.17
0,0,0,0,1,1,0,0,1,0,1,45.87755192201938
1,1,1,1,1,0,0,0,0,0,1,45.872807456145246
0,1,1,0,1,0,0,0,0,1,0,45.87331891604988
0,1,0,1,1,0,0,0,0,0,0,45.87471430354045
1,1,0,0,1,1,0,0,1,0,1,45.87188788243515
0,1,0,0,1,1,0,0,1,0,1,45.874010941596985
0,0,0,1,1,0,0,0,0,0,1,45.87271844964483
0,0,0,1,1,0,1,1,1,0,1,45.87299699528856
1,1,0,0,0,0,0,0,0,1,1,45.876461431426925
0,1,1,0,0,0,1,0,1,0,0,45.87632893328484
0,0,0,0,0,0,0,0,0,1,1,45.87258307749578
0,0,0,0,1,0,0,0,0,0,0,2.26
0,0,0,0,1,0,0,1,1,1,0,5.29
0,1,1,0,1,0,0,0,1,0,1,45.8717064316851
0,1,0,0,0,0,0,0,0,0,1,45.875166270811725
0,0,1,0,1,0,0,0,0,0,1,45.874120490110634
1,1,1,0,1,1,0,1,1,0,1,45.87823114344409
0,1,0,0,1,0,0,1,0,0,0,5.34
0,0,1,0,1,0,0,1,0,1,0,45.87121593596456
1,1,1,0,1,0,0,0,0,0,0,45.87132921012684
0,1,0,0,0,0,1,0,0,1,0,2.25
