iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,90,0.5
0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,90,0.5
0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,90,0.54
0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,10,0.59
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,0.61
0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,10,0.61
0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,10,0.62
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,10,0.62
0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,10,0.63
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,10,0.63
0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,10,0.6711948503088192
1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,90,0.6713755653724603
0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,90,0.6717986018295429
1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,10,0.6720070865484982
1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,90,0.672576231427871
1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,10,0.6735642666356407
0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,90,0.6741590592140029
0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,90,0.6747404779822669
0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,10,0.6748468448121304
1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,10,0.6748624295466826
