iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,90,0.333333,0
0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,90,0.62963,0
0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,90,0.611111,0
0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,90,0.333333,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,90,2.074074,1
0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,90,0.333333,0
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,90,0.333333,0
0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,90,1.074074,0
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,10,2.203704,1
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,10,0.62963,0
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,90,2.396825,1
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,10,1.37037,1
0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,10,0.555556,0
0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,90,1.444444,1
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,90,2.111111,1
1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,90,1.444444,1
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,90,1.814815,1
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,90,2.277778,1
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,10,2.111111,1
0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,90,1.666667,1
0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,90,2.138889,1
0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,90,2.138889,1
0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,10,1.611111,1
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,90,1.888889,1
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,90,2.037037,1
1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,90,1.666667,1
1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,90,1.666667,1
0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,10,1.333333,0
0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,10,1.333333,1
0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,10,1.333333,0
0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,90,1.555556,1
