auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
0,0,0,0,0,0,1,0,0,0,1,0,374.21
0,0,0,0,1,0,0,0,0,0,0,1,3.32
0,0,0,0,0,0,0,0,0,0,1,0,387.97
0,0,0,0,1,0,0,0,0,0,1,0,376.67
0,0,0,0,0,0,0,0,0,0,0,0,3.27
0,0,0,1,1,0,0,0,0,1,0,0,3.22
0,1,0,0,0,0,0,0,0,0,0,0,7.4
1,0,0,0,0,0,0,0,0,1,1,0,377.99
0,0,0,0,1,0,0,0,0,0,0,0,3.33
0,0,0,1,0,0,0,0,0,0,1,1,367.68
0,1,1,1,1,0,1,0,1,1,1,1,818.49
1,1,0,1,0,1,0,0,1,0,1,1,37.99
0,1,1,0,1,1,0,0,0,0,0,0,29.6
1,0,1,1,0,1,0,1,0,1,1,0,6.44
1,0,1,0,0,0,0,0,1,1,1,1,841.4842583848817
0,1,1,0,1,0,1,0,1,1,0,1,841.481731273518
0,0,0,0,1,1,0,0,1,1,0,1,841.4852906245171
0,1,0,0,1,1,1,1,1,0,0,0,39.08
1,1,0,1,0,0,0,0,1,0,1,0,841.4869222564662
1,1,0,1,1,0,1,1,1,0,1,1,841.4869859468349
1,0,1,1,1,0,1,1,0,1,1,0,367.98
0,0,0,1,0,0,0,0,0,0,1,1,367.68
0,0,0,0,0,0,1,0,0,0,1,0,374.21
0,0,0,0,1,0,0,0,0,0,0,0,3.33
0,0,0,0,1,0,0,0,0,0,0,1,3.32
0,0,0,0,0,0,0,0,0,0,1,0,387.97
0,0,0,0,1,0,0,0,0,0,1,0,376.67
0,0,0,0,0,0,0,0,0,0,0,0,3.27
0,0,0,1,1,0,0,0,0,1,0,0,3.22
0,1,0,0,0,0,0,0,0,0,0,0,7.4
0,0,0,1,1,0,0,0,0,1,1,1,841.4871116410441
1,0,1,1,0,1,0,0,0,0,0,1,6.44
0,0,0,0,1,0,0,1,0,1,1,0,841.4871605325342
0,1,0,0,1,1,0,0,0,1,1,0,29.44
1,0,1,1,0,1,0,1,1,0,0,0,841.4835149493492
0,1,0,0,0,0,0,1,0,0,0,1,7.41
1,0,1,1,0,0,0,1,0,1,1,0,841.4858363634376
0,0,0,1,1,0,0,1,0,1,1,1,841.4842870417407
1,0,1,1,0,1,0,0,0,0,0,0,6.45
0,1,0,1,1,0,0,0,0,0,1,1,841.4862577179493
1,0,1,1,0,0,0,0,0,1,0,1,841.4822013706802
0,0,1,0,1,0,0,0,0,0,0,0,3.33
0,1,0,0,0,1,0,0,0,0,0,1,841.4859886971255
0,0,1,0,0,0,0,0,0,0,0,0,3.27
1,0,1,1,0,1,0,1,0,1,0,0,841.4825861965977
1,0,0,1,0,1,1,1,1,0,0,0,841.485866549836
0,1,0,0,1,1,0,0,0,1,0,1,841.4843161886382
0,1,0,1,1,0,0,0,1,0,0,0,841.4865817052626
0,0,0,1,1,0,0,1,0,1,1,0,841.4888427299161
0,0,1,1,1,0,0,0,1,1,0,1,841.484563129876
0,0,1,0,1,0,1,0,0,0,0,0,841.4860512447907
0,0,0,0,1,0,0,0,0,1,0,0,3.33
0,0,0,0,1,0,0,0,0,1,0,1,841.4865161605948
0,0,0,0,0,0,0,0,0,0,0,1,3.28
0,0,1,0,1,0,0,0,0,0,0,1,3.33
0,1,0,0,1,1,0,0,0,1,1,1,841.4825212567541
0,0,0,1,1,1,0,0,0,1,0,0,841.4878433778487
1,0,1,0,1,0,0,0,0,0,0,0,3.33
0,0,0,1,1,0,0,0,0,0,0,0,3.2
0,0,1,0,1,0,0,0,0,1,0,1,841.4842053716607
0,0,0,0,0,0,0,0,1,0,0,0,4.16
1,0,0,1,1,0,0,0,0,1,1,1,841.4888487272631
0,0,0,1,0,0,0,1,0,1,0,0,3.13
0,0,0,1,1,0,1,0,0,0,0,0,841.4874049371979
1,0,0,1,1,0,0,0,0,1,0,0,3.22
0,0,0,0,0,0,0,0,0,1,0,0,3.28
0,0,1,1,0,0,0,0,0,0,0,0,3.13
0,0,1,0,1,0,0,1,0,0,0,1,841.4852090553376
1,1,0,0,1,1,0,0,0,0,0,1,841.4821484517605
0,0,0,0,1,0,1,0,0,0,0,1,3.34
0,0,1,0,0,0,0,0,0,0,1,1,376.7
1,0,0,0,0,0,0,0,1,0,0,0,4.19
1,0,0,0,1,0,0,0,0,0,0,0,3.35
0,0,1,1,0,1,0,0,0,0,0,0,841.4842412247275
0,1,0,0,0,0,0,0,1,0,0,0,8.86
0,0,0,0,1,0,0,0,0,1,1,0,841.4865197855548
1,0,0,0,0,0,0,0,0,1,0,0,3.28
1,1,0,0,1,1,0,0,0,0,0,0,841.4849909271187
0,0,0,1,1,0,0,0,0,1,0,1,841.4814935323473
1,0,0,0,1,0,0,0,0,0,1,0,374.45
0,0,0,0,0,0,1,0,0,0,0,1,3.27
0,0,1,1,0,0,0,0,1,0,0,0,841.4883241655044
0,0,1,1,0,0,0,0,0,1,1,0,370.12
0,0,0,0,0,0,0,0,1,1,0,0,4.16
0,0,0,1,1,0,1,0,1,1,0,0,841.4842347643422
1,0,0,0,0,0,0,0,0,0,0,0,3.29
1,0,0,1,0,0,0,1,0,0,1,0,841.4874858478539
0,0,1,0,1,0,0,0,1,0,0,1,841.4839276857352
0,0,0,0,1,0,0,1,0,0,1,1,841.4846305049034
1,0,1,1,0,0,0,0,0,0,1,1,841.483536878775
