auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
0,0,0,0,0,1,0,0,0,1,1,1,0.11
0,0,0,0,0,0,0,1,0,1,0,0,2.41
0,0,1,0,1,0,0,0,0,0,0,0,2.43
0,0,1,1,0,0,0,1,0,1,0,1,4.06
0,0,0,1,0,0,0,1,0,1,0,0,4.08
0,1,1,0,0,0,0,1,0,1,0,0,5.83
0,1,1,1,1,0,0,0,0,0,0,1,6.99
0,1,1,1,1,0,0,0,0,0,0,0,6.99
0,1,1,1,1,1,1,0,0,0,0,1,7.32
0,1,0,0,0,0,0,0,0,1,1,0,7.43
0,1,0,1,0,0,0,1,0,1,1,0,8.11
0,1,1,1,1,0,0,0,0,1,1,0,8.52
1,0,0,1,1,0,0,0,0,0,1,1,8.98
1,0,0,1,1,0,0,0,0,0,1,0,9.02
0,0,0,0,0,1,0,0,1,0,1,0,12.31
0,0,1,1,1,0,0,0,1,1,0,0,18.69
1,1,0,0,0,0,0,0,0,0,0,0,19.1
0,1,1,0,0,0,0,1,1,0,0,0,22.01
0,1,0,1,1,1,0,1,1,1,0,0,22.79
1,1,0,1,0,0,1,0,0,0,1,0,23.85
