NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
1,0,0,1,0,0,1,0,0,1,0,0,0,8,8,0,1.25
1,0,1,1,1,0,0,0,0,1,0,1,0,8,8,2,2.46
1,0,1,1,1,0,0,0,0,1,0,1,0,8,160,0,2.05
1,0,1,1,1,1,0,0,0,1,0,1,0,8,160,0,2.08
1,0,1,1,1,1,0,0,0,0,0,1,0,8,8,0,2.05
1,0,0,1,0,1,0,1,0,1,0,1,0,8,8,0,1.46
0,0,0,1,0,0,1,0,0,0,0,0,0,8,320,0,1.76
1,0,0,1,0,0,1,0,0,0,0,0,0,8,320,0,1.75
1,1,1,0,0,0,1,0,0,0,0,0,0,22,160,0,2.26
1,0,1,1,1,0,0,0,0,1,0,1,0,8,8,0,2.42
1,0,1,1,0,1,0,1,0,1,0,1,0,8,8,0,2.21
1,0,1,1,1,1,0,0,0,1,0,1,0,8,8,0,2.15
1,0,0,1,0,0,1,0,0,0,0,1,0,22,8,0,1.95
1,0,1,1,0,1,0,1,0,1,0,1,0,8,320,0,1.76
1,1,0,0,0,0,0,0,0,1,1,1,0,44,8,0,5.09
1,1,1,0,0,1,0,0,1,1,0,1,0,44,160,0,3.71
1,0,1,1,0,0,1,0,0,0,0,1,0,22,8,1,2.79
1,0,1,0,0,1,0,0,1,1,0,1,1,22,8,0,3.93
1,0,0,1,1,1,0,0,0,1,0,1,0,22,8,0,4.1
1,0,1,1,0,0,0,1,0,1,0,1,0,22,8,0,3.27
1,0,0,1,0,0,1,0,0,1,0,0,0,8,8,0,1.25
1,1,1,0,0,0,1,0,0,0,0,0,0,22,160,0,2.26
1,0,1,1,0,1,0,1,0,1,0,1,0,22,8,0,3.18
1,0,0,1,0,0,1,0,0,1,0,0,0,22,8,0,2.9
1,0,0,1,1,1,0,0,0,1,0,1,0,22,8,0,4.1
1,0,1,1,0,0,0,1,0,1,0,1,0,22,8,0,3.27
1,0,1,0,0,1,0,0,1,1,0,1,1,22,8,0,3.93
1,0,1,1,0,0,1,0,0,0,0,1,0,22,8,1,2.79
1,1,0,0,0,0,0,0,0,1,1,1,0,44,8,0,5.09
1,1,1,0,0,1,0,0,1,1,0,1,0,44,160,0,3.71
1,1,0,1,0,0,1,1,0,0,0,1,0,22,8,0,30.756329341514625
1,1,1,0,0,0,1,1,0,0,0,0,0,22,8,0,30.75128622040248
1,0,0,1,0,1,0,0,0,1,0,0,0,8,160,0,30.752141095409144
1,0,0,1,0,0,0,1,0,1,0,0,0,22,320,0,30.75622567008577
1,0,1,0,0,0,1,0,0,1,0,0,0,8,8,0,30.75454281612041
0,0,1,1,1,1,0,0,0,0,1,1,0,8,320,0,30.75816062190982
1,0,1,0,1,0,1,0,0,1,0,1,0,8,8,0,30.758266391188336
0,0,1,1,1,0,0,0,0,1,0,1,0,8,320,2,30.75843213525733
0,0,1,1,1,1,0,1,0,0,1,1,1,8,320,0,30.754952216353438
0,0,0,1,0,0,1,0,0,0,0,1,1,8,8,0,30.75631278906353
1,0,1,1,0,1,1,1,0,0,0,1,0,8,8,0,30.75888819026251
0,0,0,1,0,1,1,0,1,1,0,0,0,8,320,1,30.75282259601127
1,0,0,1,0,0,1,0,0,0,0,0,0,8,8,0,30.756799486237533
1,0,1,1,0,0,0,1,0,1,0,1,0,8,160,0,30.757971964498203
1,0,1,1,1,1,0,0,0,0,0,0,0,8,320,2,30.75415150892561
1,0,0,1,0,0,1,0,0,0,1,1,0,8,8,0,30.754846759148013
1,0,1,1,1,0,0,0,0,1,0,1,1,8,320,2,30.75226553633397
1,0,0,1,1,1,0,0,0,1,0,1,0,8,8,0,30.752192422425694
1,0,1,1,0,1,0,1,1,1,0,1,0,8,8,0,30.754355010203884
1,0,0,1,1,0,1,0,1,0,0,1,0,8,8,0,30.75226412055965
1,0,0,1,1,0,0,0,1,0,0,1,0,8,160,0,30.754244794572674
1,0,1,1,1,1,0,0,1,0,0,1,0,22,160,0,30.75550866135119
1,1,1,0,0,0,1,1,0,1,1,1,0,8,160,0,30.752910062741442
1,0,1,1,1,0,1,0,0,0,0,1,0,22,8,1,30.756187618600716
1,0,1,1,0,1,0,0,0,0,0,1,0,8,160,1,30.75241906318426
1,0,0,1,1,0,1,0,0,1,0,0,0,8,8,0,30.754033764937386
1,0,0,0,0,1,0,0,0,0,0,1,0,8,8,2,30.75269879886871
1,0,1,1,1,1,0,0,1,1,0,0,1,8,160,0,30.757129307267643
0,0,0,1,0,0,1,0,1,1,0,1,0,8,8,0,30.7588130366967
0,0,1,1,0,0,0,0,0,1,1,0,1,8,8,2,30.758882097833386
1,0,0,1,0,1,0,1,0,1,0,1,0,8,320,0,30.751632050559614
0,0,0,1,0,0,1,0,0,0,0,1,0,8,8,0,30.75695781929088
0,0,1,1,1,1,0,0,0,0,0,1,0,22,8,0,30.7521787863821
0,0,0,0,0,0,1,0,0,0,0,1,0,48,8,0,30.754881353778938
1,0,0,1,0,1,0,1,0,1,1,0,0,8,320,0,30.75763047650445
1,0,0,1,0,1,0,0,0,1,0,0,0,8,320,0,30.75206976710683
1,0,1,1,0,1,1,1,0,1,0,1,0,8,8,0,30.756090943805013
1,0,0,1,0,1,1,1,0,1,0,1,0,8,8,0,30.75112668182777
1,0,0,1,0,1,1,0,0,0,0,1,0,22,8,0,30.75124498655936
1,0,0,1,0,0,1,0,0,1,0,0,0,8,160,0,30.754433819726362
1,0,0,1,0,1,0,0,0,1,0,1,0,8,160,0,30.75369977697378
1,0,1,1,1,1,0,1,0,1,0,1,0,8,320,0,30.75285786975266
0,0,0,1,0,0,1,0,1,0,0,1,0,8,320,0,30.75646746879571
0,0,0,1,0,0,0,0,1,0,0,1,1,48,8,0,30.753985814709967
0,0,0,1,0,0,1,0,0,1,0,0,0,8,8,0,30.751706174110073
0,1,0,1,0,0,1,0,0,0,0,0,0,8,320,0,30.755745527084947
1,0,0,1,0,0,0,0,0,0,0,0,1,8,8,0,30.754673679416186
1,1,1,0,0,0,1,1,1,0,0,0,0,22,320,0,30.756892587941195
1,0,0,1,0,0,0,0,0,0,0,0,0,22,160,0,30.753916801036713
1,0,0,0,0,0,1,0,0,0,0,1,1,8,320,0,30.75470630189239
1,1,1,1,1,1,1,0,0,0,0,1,0,8,8,0,30.757676872293658
0,0,1,0,1,0,0,0,0,1,0,1,0,8,8,2,30.75572697794941
1,1,0,1,0,0,0,1,0,1,0,1,0,8,8,0,30.75401725596357
1,0,1,1,0,0,1,1,0,0,0,1,0,8,8,0,30.752775213395065
1,1,1,1,1,1,0,0,1,1,0,1,0,8,8,0,30.754661392491094
1,0,0,1,0,1,0,1,1,1,0,1,1,8,8,0,30.75285862131717
1,1,1,1,1,1,1,0,1,0,0,1,0,8,8,0,30.756764927956024
1,1,0,0,0,0,1,0,0,1,0,1,1,8,320,0,30.757449970667977
0,1,0,1,0,1,0,0,0,0,0,0,0,22,320,0,30.75486368852169
1,1,1,0,1,0,0,1,0,1,0,1,0,48,8,0,30.758566651744935
