OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,12978.393850484
0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,14368.6269368507
1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,11634.9614190217
1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,11377.7603052243
1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,12131.5268690492
1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,16950.1618491407
1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,11926.145633094
1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,14024.0792133444
0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,12557.4881637556
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12585.4803342728
1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,9385.097491278408
1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,9385.098719151747
1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,9385.103759142059
0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,9385.098705487915
1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,9385.09869040719
0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,9385.103990047033
1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,9385.101011944816
1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,9385.101377662999
1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,9385.097295515523
1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,9385.104161272602
0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,9385.102983498882
1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,9385.102919627438
0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,9385.102949907196
0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,9385.100602226628
0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,9385.100954512009
1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,9385.100612124574
0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,9385.096472465006
0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,9385.103521861283
0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,9385.099787608096
1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,9385.103558111707
1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,14433.1493239974
1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,9385.101822777995
1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,9385.099553980204
1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,9385.09755640076
1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,9385.096690228256
0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,9385.098940875148
1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,9385.102318780433
1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,9385.09908708134
0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,9385.096916754517
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,9385.0965156
1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,9385.098823218965
1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,9385.101115213556
0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,9385.097993428275
0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,9385.0996001368
1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,9385.098554548309
1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,9385.100813629033
1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9385.10091565165
1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,9385.099111334333
0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,9385.101669928821
0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,9385.09754498095
1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,9385.10038540946
0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,9385.102098364569
1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,12192.1916277826
1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,9385.10122188553
1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,9385.096760612294
1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,9385.102834232614
1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,9385.09983742091
0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,9385.096389122275
1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,9385.098108584963
0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,9385.102118919378
1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,9385.097893387732
1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,9385.099411432906
1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,9385.101296558061
0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,9385.102780191455
1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,9385.10128145579
1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,11756.0613296108
1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,9385.102394268373
1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,9385.100118157645
0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,9385.09879707996
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9385.09808389859
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9385.097360280126
0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,9385.097316648411
0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,9385.099973810913
1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,9385.09956499293
0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,9385.103671111658
1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,9385.099666954595
1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,16922.5016627788
0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,14190.661274697
0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,9385.102826814422
1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,9385.098609887807
1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,11799.2952999255
0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,9385.100474807112
1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,9385.09662649437
1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,9385.10015674298
1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,9385.098984176342
1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,9385.104077698626
0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,9385.099327755737
1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,9385.096431715287
1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,9385.097285043828
1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,9385.102647822074
