encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,0,0,0,0,1,0,0,0,1,0,2.387025,1
1,0,1,0,0,0,0,0,1,0,0,1.2074,0
0,1,0,0,1,0,0,0,0,0,0,2.303157,1
1,1,0,0,0,1,0,1,0,0,0,1.3889,1
0,0,0,0,0,1,0,1,0,1,0,2.347212,1
1,0,0,0,0,1,0,0,0,0,0,0.9778,0
1,0,0,0,0,1,0,0,0,1,0,0.9778,0
1,0,1,0,0,0,0,1,0,0,0,0.9778,0
1,0,0,0,0,1,0,1,1,0,0,0.9778,0
1,1,0,1,0,0,0,1,1,1,0,0.9778,0
1,1,0,0,0,1,0,0,0,0,0,2.08666,1
0,1,0,1,0,0,0,1,0,1,0,1.1222,0
0,0,0,0,1,0,0,0,0,0,0,1.4222,1
0,1,0,0,0,1,0,0,0,0,0,2.499986,1
0,0,0,0,0,1,0,0,0,0,0,2.499986,1
0,1,0,0,1,0,0,0,1,0,1,2.499986,1
0,0,0,0,0,1,0,0,1,0,0,1.788875,1
0,0,0,0,0,1,0,1,0,0,0,2.029633,1
0,1,0,1,0,0,0,1,0,0,0,2.17775,1
1,1,0,0,1,0,0,0,0,0,0,2.1111,1
0,1,0,0,1,0,0,1,1,0,1,2.07775,1
1,0,1,0,0,0,0,0,0,1,0,1.9074,1
0,0,0,0,1,0,0,0,1,0,1,1.75555,1
0,0,0,0,1,0,0,0,0,1,0,2.070367,1
1,1,0,0,1,0,0,0,0,1,0,1.6111,1
0,0,0,0,0,1,0,0,1,1,0,2.062933,1
0,0,0,0,0,1,0,1,1,1,0,1.8444,1
