iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,10,2.05
0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,90,1.86
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,10,2.08
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,90,1.82
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,2.07
1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90,2.19
1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,90,2.17
1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,90,2.27
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,90,1.88
0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,90,1.96
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90,2.19
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,90,2.71
0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,90,2.0
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,90,2.07
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,10,2.13
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,90,2.28
0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,10,2.29
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,10,2.09
0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,10,2.52
0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,90,2.16
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,10,2.05
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,10,2.08
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90,2.19
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,90,2.28
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,10,3.29
0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,10,4.03
0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,10,4.55
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,10,4.58
0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,10,4.93
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,10,3.98
0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,90,8.25112242879106
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,10,8.25793197006093
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,8.254871411933307
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,90,8.255388774139965
0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,10,3.71
0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,90,8.256729817539046
1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,10,8.257116267431773
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,10,8.252756554127474
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,90,8.258467979619418
0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,10,8.25481345976158
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,10,8.258325947470619
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,90,1.86
0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,90,8.255132106975415
0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,10,8.25891934423892
0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,90,8.258382498257234
0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,10,8.251839506910622
0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,90,8.25305454011386
1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,10,8.257884504749638
0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,10,8.257295263771915
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,10,8.257397384973862
