auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
1,0,0,0,1,0,0,0,0,0,0,1,1.177733,0
1,0,1,0,1,0,0,0,0,0,0,0,1.648133,1
1,0,0,0,1,0,0,1,0,0,0,1,1.648133,1
1,1,0,0,0,0,0,0,0,0,1,0,1.466667,0
1,1,0,0,0,0,0,0,0,0,0,1,1.466667,0
1,1,0,1,0,0,0,0,0,0,0,0,1.466667,0
1,0,1,1,0,0,0,0,0,0,0,0,2.366667,1
1,0,1,1,1,0,1,1,1,1,0,1,1.177733,0
1,0,1,1,1,0,1,1,1,1,1,0,1.177733,0
1,0,1,0,1,0,0,0,1,1,0,0,1.177733,0
1,1,1,0,0,0,0,1,0,1,0,1,1.2778,0
1,1,0,1,0,0,0,0,0,0,0,1,1.2778,0
1,1,0,1,1,0,0,0,0,0,0,1,1.2778,0
1,1,1,1,1,0,0,0,0,0,0,1,1.2778,0
0,0,1,0,1,0,1,0,0,0,0,1,1.7778,1
0,0,0,0,1,0,0,0,0,0,0,0,2.218533,1
0,0,0,0,1,0,0,1,0,0,0,1,2.218533,1
1,0,0,0,1,0,0,1,0,0,1,0,1.466667,1
0,0,0,1,0,0,0,0,0,0,0,0,2.144467,1
0,0,1,1,0,0,0,0,0,0,0,0,2.144467,1
0,1,0,0,0,0,0,0,0,0,0,1,1.588933,1
0,0,1,1,1,0,0,1,0,0,0,0,1.588933,1
0,1,1,0,0,0,0,0,0,0,0,0,1.588933,1
0,0,1,0,1,0,0,0,0,0,0,1,1.588933,1
0,0,0,0,0,0,0,0,0,0,0,1,1.588933,1
0,0,0,1,0,0,0,0,0,0,0,1,1.922233,1
1,0,0,1,0,0,1,0,0,1,0,1,1.5778,1
1,0,0,1,0,0,0,0,0,1,0,0,1.922233,1
0,0,0,1,0,0,0,1,0,0,0,1,1.922233,1
0,0,1,1,0,0,0,1,0,1,0,0,1.922233,1
1,0,0,1,0,0,0,1,0,1,0,0,1.922233,1
