auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,1,0,1,1,1,1,0,0,0,0,3.67
1,1,1,0,0,0,0,0,0,0,0,0,7.42
1,1,1,1,1,0,0,1,0,0,1,0,625.4
1,1,0,0,0,0,0,0,0,0,1,0,612.1
1,0,0,0,0,0,0,1,0,0,1,0,371.81
1,1,1,1,1,0,0,0,0,1,0,0,7.85
1,1,0,1,0,0,1,0,0,0,1,0,624.37
1,1,1,1,0,0,0,1,0,0,1,1,628.15
1,1,0,0,0,0,0,0,0,1,0,0,7.41
1,0,0,0,0,0,1,0,0,0,1,1,373.07
1,0,0,0,0,0,1,1,0,0,1,0,371.83
0,0,0,0,0,0,1,1,0,0,1,0,370.69
1,0,1,0,1,0,0,0,0,0,1,0,377.73
1,1,1,0,1,0,1,1,0,0,0,0,7.48
1,0,1,0,1,0,1,1,0,0,0,0,3.34
0,1,0,0,0,0,1,1,0,0,1,0,613.3
1,0,0,0,0,0,1,0,0,0,1,0,370.71
1,1,1,1,1,0,0,0,0,0,1,0,644.72
1,0,1,0,1,1,1,1,0,1,0,1,3.68
1,1,0,0,1,0,0,1,0,0,1,0,622.73
1,0,1,0,0,0,1,1,1,1,1,1,841.4823826680542
0,0,0,1,0,0,0,0,1,1,1,1,841.4886200128165
1,1,1,1,0,0,1,0,0,0,0,1,841.4871399074259
1,1,1,0,1,1,0,1,1,1,0,1,841.4841805331876
0,0,0,0,1,0,1,0,1,1,0,0,841.4821080793103
1,0,1,0,0,1,1,1,1,1,0,1,14.83
0,1,1,0,1,0,0,1,0,1,0,0,841.4843331611953
0,1,1,0,0,1,1,1,1,1,0,1,841.4868487650577
1,0,0,1,1,1,1,0,0,1,1,1,841.4854407950215
0,0,0,0,0,0,1,1,0,1,1,0,373.81
1,1,0,0,0,0,0,1,0,1,0,1,7.44
0,1,0,0,1,0,0,0,0,0,0,1,7.47
1,1,1,1,1,0,0,0,0,0,0,0,7.98
1,0,0,0,0,0,1,1,0,0,0,0,841.4876965098346
1,0,1,0,0,0,0,0,1,0,1,0,841.4848663371791
0,1,1,1,1,0,0,0,1,0,0,0,841.4864907839604
1,1,1,0,1,0,1,0,0,1,1,0,841.48715587815
0,0,0,0,0,0,1,0,0,0,0,0,3.27
1,1,0,0,1,1,0,0,0,1,0,1,841.4831127957167
1,1,1,0,0,0,1,0,0,0,1,0,841.4872665489532
1,0,0,0,0,1,0,1,0,1,0,0,841.4820773045741
1,0,1,1,1,1,1,1,0,1,0,0,6.39
1,1,0,0,0,1,0,0,0,1,1,1,841.4870480898772
1,0,0,1,0,0,0,1,0,0,0,0,841.484782289223
1,1,0,0,0,0,0,0,0,0,1,1,615.92
1,1,1,0,1,0,0,0,0,0,0,0,841.4847591174399
1,1,1,1,1,0,1,1,0,0,0,0,841.4827075424563
1,1,0,0,0,0,1,0,1,0,1,0,841.4876872437528
0,1,0,0,0,0,0,0,0,1,1,0,629.04
1,0,0,1,1,0,0,0,0,1,0,0,3.22
1,1,0,0,1,0,0,0,0,1,0,0,841.486423246636
1,1,0,1,0,0,0,0,0,1,0,0,7.45
1,0,0,0,0,0,0,0,0,0,0,0,3.29
1,1,0,1,0,0,0,1,0,0,0,0,841.4851213362102
1,1,1,1,1,0,0,0,0,1,0,1,841.4881815735723
1,1,1,0,1,0,1,0,1,0,0,0,841.4859038469554
1,0,1,0,0,0,1,0,0,0,0,0,841.4840593031039
1,1,1,1,1,0,0,0,0,1,1,0,642.94
1,0,0,0,1,0,0,0,1,1,0,0,4.23
1,1,1,1,1,0,0,1,0,1,1,0,626.19
1,0,1,1,1,0,0,0,0,1,0,0,841.484521034893
1,0,0,1,1,0,0,1,0,1,0,1,841.482252610092
1,1,0,0,0,0,0,0,0,1,1,0,841.4812834394925
1,1,0,1,0,0,0,1,1,1,0,1,841.4827533065977
1,1,1,0,1,1,1,1,1,1,0,1,35.18
1,1,0,0,0,0,1,1,0,0,0,0,841.4835578794223
0,0,0,1,1,0,0,0,0,0,0,0,3.2
1,1,0,0,1,0,0,1,1,0,0,1,841.4841527974112
0,0,0,1,1,0,0,0,0,1,0,0,3.22
1,0,0,0,1,1,1,1,0,0,0,0,841.4880541819429
0,0,1,0,1,0,1,1,0,0,0,0,841.4828190361794
1,0,1,1,0,0,0,0,0,0,0,0,3.13
1,1,1,0,1,1,1,1,0,1,0,0,841.4860991268587
1,1,1,0,0,0,0,0,0,1,1,0,841.4871429576824
0,0,1,0,1,0,1,0,1,1,0,0,841.4825390374655
0,0,0,0,0,0,0,0,1,0,0,0,4.16
1,0,1,0,1,1,1,0,0,0,1,0,841.4830734224449
1,0,0,1,1,0,0,0,0,1,0,1,841.4856238616412
0,1,0,0,0,1,0,0,1,1,1,0,841.4823858425709
1,1,1,1,1,1,1,1,0,1,0,0,31.31
1,1,0,0,0,1,0,1,0,1,0,1,27.47
1,0,0,0,1,1,0,0,0,0,0,0,841.4815205715881
0,0,0,1,1,1,0,1,1,1,0,0,841.485964135492
1,1,1,0,1,0,0,0,0,1,0,0,841.4874102985012
0,0,0,1,1,0,1,1,1,0,0,0,841.4827766983551
1,0,0,1,1,0,1,1,0,0,0,0,841.4860370213565
0,0,0,0,1,0,0,0,0,1,0,0,3.33
0,0,0,1,1,0,0,0,0,0,0,1,841.4874872281702
1,0,1,0,1,1,0,1,0,1,0,1,841.4821076761748
1,0,0,0,1,0,1,0,0,0,1,0,841.481113420534
