OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,26498.1958632074
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,26701.9988499616
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,27276.3426097538
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,26347.6082749456
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,25692.5787499872
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,26166.7902541267
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,25981.0716281639
0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,25815.1449820362
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,26544.0910569276
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25163.940419695
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,25883.4231387436
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,25839.2156032911
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,26210.5451304791
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,24864.6955927171
1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,25840.5753980013
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,25999.4780132298
0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,25610.7746404932
0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,25613.8284471679
0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,26414.6497604281
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,25200.8444776549
0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,15080.067948750808
1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,15080.069698186378
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22112.9947491059
0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,15080.071638364669
1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,15080.06735875094
0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,15080.067287947899
0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,15080.067945247427
1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,15080.067604684444
1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,15080.067988321945
1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,15080.068305425237
1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,15080.070169142728
1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,15080.072032434866
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,26016.8235384433
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25240.294158808
1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,15080.070015830224
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24816.1361359998
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,15080.069164840854
0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,15080.069278846408
0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,15080.06683288999
0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,15080.065655100534
0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,15080.071825913772
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,24743.3206135084
0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,15080.0668727613
0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,15080.067212232027
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,15080.068662784119
0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,15080.0682557459
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15080.068638064206
0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,15080.07043724612
0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,15080.066719843979
1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,15080.066174344829
0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,15080.070328079091
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,26071.4342685887
1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,15080.067840342745
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,26417.657423749
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,15080.068348040559
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,15080.070832422714
1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,25617.5262021721
0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,15080.070229483192
1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,15080.071727795614
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25735.5631917107
1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,15080.072984911803
0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,15080.071864434261
0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,25944.219238008
0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,15080.072566094046
1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,15080.071063089206
0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,25961.6869033995
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,25585.3820997269
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,15080.065605421774
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,25905.9994163526
1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,15080.066309414473
0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,15080.071427438668
0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,15080.07147769635
1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,15080.071148390463
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,21422.0333066869
0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,15080.065609782807
0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,15080.069891509098
0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,15080.071672108714
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,15080.071144890439
0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,15080.069205214231
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,15080.070927615607
1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,26199.6131878054
0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,15080.068305784534
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,23936.821325215
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,23429.4581254321
0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,26449.9909716417
0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,15080.06653887927
0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,15080.065886352711
1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,15080.06967778556
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,26295.7055288257
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18480.670439524
