NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
0,0,1,1,0,1,0,0,0,1,1,1,0,8,8,0,1.38
0,0,1,1,0,1,0,0,0,1,1,1,0,8,8,0,1.38
1,0,1,1,0,1,0,0,0,1,1,1,0,8,320,0,1.77
1,0,1,1,0,1,0,0,0,1,1,1,0,8,320,0,1.77
0,0,1,1,0,1,0,0,0,1,1,1,0,8,320,0,1.87
0,0,1,1,0,1,0,0,0,1,1,1,0,8,320,0,1.87
1,0,1,0,1,1,0,0,0,1,0,1,1,22,8,0,4.31
1,0,1,0,1,1,0,0,0,1,0,1,1,22,8,0,4.31
0,0,0,0,0,0,0,0,1,0,0,1,1,22,320,0,4.55
0,0,0,0,0,0,0,0,1,0,0,1,1,22,320,0,4.55
0,0,0,0,1,0,0,0,0,0,0,0,1,22,160,0,4.62
1,0,1,0,1,1,0,0,0,1,0,1,1,22,320,0,4.8
1,0,1,0,1,1,0,0,0,1,0,1,1,22,320,0,4.8
1,0,1,0,1,1,0,0,0,1,0,1,1,22,160,0,4.81
1,0,1,0,1,1,0,0,0,1,0,1,1,22,160,0,4.81
0,1,0,0,0,0,0,0,0,1,1,1,0,44,160,0,4.94
0,1,0,0,0,0,0,0,0,1,1,1,0,44,160,0,4.94
0,1,0,0,0,0,0,0,1,1,0,1,0,44,160,0,4.98
1,0,0,1,0,0,0,1,0,0,0,1,0,44,8,1,5.44
1,0,1,1,0,1,0,1,0,1,0,1,0,44,320,0,6.77
