encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,1,0,0,1,0,0,0,0,0,0,10.28
1,1,0,0,0,0,1,0,0,0,0,10.35
0,0,0,0,0,1,0,0,0,0,0,10.19
1,1,0,0,1,0,0,0,0,1,0,10.13
0,0,0,0,0,0,1,0,1,0,0,10.16
1,0,0,0,0,0,1,0,1,0,0,10.18
0,0,0,0,1,0,0,0,1,0,1,10.31
0,0,0,0,1,0,0,0,0,0,0,10.74
1,0,1,0,0,0,0,0,0,1,0,10.14
1,0,1,0,0,0,0,0,1,0,0,10.35
1,1,0,1,0,0,0,1,0,0,0,28.69
1,0,0,0,0,0,1,0,1,1,0,14.45
0,0,0,0,1,0,0,0,0,1,0,10.26
1,0,0,1,1,0,0,0,1,0,0,314.9858797334234
0,0,1,1,1,1,0,0,1,1,1,314.9889804661939
0,0,0,1,0,0,0,0,0,1,0,15.02
0,1,0,1,0,1,1,1,0,1,0,314.98228595862884
0,1,0,1,1,0,1,0,0,1,1,314.98614319121924
1,1,0,0,0,1,0,1,1,1,1,314.9840303447997
0,0,1,0,1,0,1,1,0,1,1,314.98622101011034
1,0,0,0,0,0,1,1,0,0,0,10.4
1,1,0,0,0,0,1,0,0,0,0,10.35
0,0,0,0,0,1,0,0,1,1,0,10.68
0,0,0,0,0,0,1,0,1,0,0,10.16
0,1,0,0,1,0,0,0,0,0,0,10.5
0,0,0,0,1,0,0,0,0,0,0,10.74
0,0,0,0,0,1,0,0,0,0,0,10.19
1,0,0,0,0,0,1,0,1,0,0,10.18
0,0,0,0,0,1,0,1,0,0,0,10.7
0,0,0,0,1,0,0,1,1,1,1,24.55
1,0,1,0,0,0,0,0,0,0,0,27.65
0,0,0,0,1,0,1,0,1,0,0,314.98509450242204
1,0,0,0,1,0,1,0,1,0,1,314.98804842497685
1,1,0,0,0,0,1,0,1,0,0,29.0
1,1,0,0,1,0,0,0,1,0,0,230.29
1,1,1,0,0,0,0,0,1,0,0,15.58
1,0,0,0,1,0,0,0,0,1,0,14.44
1,1,0,0,1,1,1,0,0,0,0,314.98783063105486
1,0,0,1,0,0,1,0,1,0,0,314.9843063491574
1,0,1,0,0,0,1,1,1,0,0,314.9815914836106
1,0,0,0,0,0,0,0,0,1,0,314.98156040279554
0,0,1,0,1,0,0,0,0,1,0,314.98221914328934
1,1,1,0,1,0,0,0,0,1,1,314.98363359252613
0,0,0,0,0,0,1,0,1,1,0,229.99
0,0,0,1,1,0,0,0,0,1,0,314.9849239718858
0,0,0,0,1,0,1,0,0,0,1,314.98698120190664
1,1,0,1,0,1,0,0,0,0,0,314.9859243817028
1,0,0,0,1,0,0,0,1,1,0,229.77
0,0,0,1,0,0,0,0,0,0,0,25.05
1,0,1,0,0,0,1,0,0,1,0,314.9844017428827
1,1,1,0,1,1,0,0,0,1,1,314.9852479022306
1,0,0,0,0,0,1,0,0,1,0,10.33
1,0,0,1,0,0,1,1,1,0,0,314.98623455032873
1,0,0,0,0,1,0,0,0,0,1,314.9869086751314
1,0,1,0,1,1,1,0,0,0,1,314.9863888367484
1,0,0,0,0,1,1,0,1,0,0,314.9884709089793
1,0,1,0,0,1,0,1,1,0,0,314.9853362142325
1,0,1,0,1,0,0,0,0,1,0,314.985110600682
1,0,0,0,1,0,1,0,0,1,0,314.98668861822864
1,0,1,0,0,0,0,0,0,0,1,314.98329874935985
1,0,0,0,1,0,0,0,1,0,0,10.19
0,0,1,0,0,1,1,0,1,1,1,314.9848557079144
0,0,0,1,1,0,1,1,1,1,0,314.98474956797446
1,1,0,1,1,0,0,0,0,1,0,314.98654557497827
0,0,0,0,0,0,0,0,0,1,0,314.9843230482405
1,1,0,0,0,0,1,1,0,0,0,23.69
1,1,1,0,1,1,0,0,0,0,0,314.987696985869
0,1,0,0,1,0,0,0,1,0,0,25.1
1,1,1,0,0,0,0,1,0,0,0,229.98
1,1,1,0,1,0,0,0,0,1,0,314.98139577214357
0,0,0,0,0,1,1,1,0,0,0,314.98731020365693
1,0,0,0,0,1,1,0,1,0,1,314.98391792734884
1,0,1,0,0,0,0,0,0,1,1,314.98625408249234
1,0,0,0,0,0,0,0,0,1,1,314.9810215853326
0,1,0,0,0,0,1,0,0,0,0,226.32
0,0,0,0,0,0,1,0,1,0,1,314.9876190354268
1,0,1,0,0,0,1,0,1,0,0,314.9886685926213
0,1,0,0,0,0,0,0,0,0,0,314.9862448122844
1,0,1,0,0,1,0,0,0,0,0,314.9883036699353
0,0,0,0,1,0,0,1,0,1,1,14.65
1,0,0,0,0,1,0,0,0,0,0,13.52
0,0,0,0,0,0,0,0,0,0,0,314.98864924533757
0,0,1,0,0,1,1,0,0,1,1,314.98646246831385
1,0,0,0,0,0,1,0,0,0,0,263.52
0,0,0,0,1,0,0,1,1,0,0,14.46
0,1,0,0,0,1,0,0,0,0,0,10.13
0,0,0,0,1,1,0,1,0,0,0,314.9821518562488
1,1,0,0,0,1,0,0,1,0,0,15.19
1,0,0,1,1,0,0,0,0,1,0,314.98833029574314
0,1,1,0,0,0,1,0,1,0,1,314.98777629052597
