iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,10,2.355567,1
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,90,1.948167,1
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,2.5389,1
0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,90,2.340767,1
0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,90,1.7778,1
0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,90,1.2,0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,10,1.2,0
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,90,1.2889,0
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,90,2.5278,1
0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,10,1.2889,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,2.148167,1
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,90,1.2889,1
0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,10,1.2889,1
0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,90,1.5556,1
0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,90,2.340767,1
0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,90,1.5556,1
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,90,1.5556,1
0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,90,2.13335,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,90,2.13335,1
0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,90,1.8,1
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,10,1.8,1
0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,90,1.8667,1
1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,90,1.8667,1
