iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,90,39.29
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,24.09
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,90,16.32
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,90,23.96
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,90,23.86
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,90,24.12
0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,90,39.18
0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,90,23.97
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,90,23.97
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,23.9
0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,90,39.43
0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,90,39.19
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,90,54.42
0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,10,39.69
0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,10,31.89
0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,90,39.22
0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,90,39.06
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,90,54.51
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,90,39.27
0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,90,54.65
0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,90,54.71
0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,90,54.38
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,90,54.42
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,90,39.29
0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,90,54.65
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,90,54.87
0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,90,39.43
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,24.09
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,90,54.51
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,90,39.27
0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,90,59.981945806336924
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10,59.981969265006235
0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,90,59.983612018939255
1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,90,59.98353810645784
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,90,39.23
0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,90,59.985210979027066
0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,90,39.11
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,90,23.99
0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,90,59.98886923530061
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,90,59.98218467105551
1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,90,25.53
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,90,54.44
0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,10,59.983512469832796
0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,90,59.98100521742622
0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,90,59.98220023707441
0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,90,59.98719250673723
0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,10,59.98887754247864
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,90,59.9813181468279
0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,90,39.23
