auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,0,0,0,0,0,0,0,0,1,9.98
1,0,0,0,0,0,0,0,0,0,1,0,9.99
1,1,1,0,0,0,0,1,0,1,0,0,7.78
1,0,1,1,0,0,0,0,0,1,0,0,9.97
1,0,0,0,0,0,0,0,0,1,0,0,10.06
1,0,0,0,1,0,0,0,0,0,0,0,9.98
1,1,0,0,0,0,0,0,0,1,0,0,7.84
1,0,0,0,1,0,0,0,0,0,1,0,9.95
1,1,0,1,1,0,0,1,0,0,1,1,7.86
1,1,0,0,0,0,0,1,0,1,0,0,7.85
1,1,0,1,0,0,0,1,0,1,0,1,7.86
1,1,0,0,0,0,0,1,0,1,0,1,7.84
1,1,0,1,0,0,0,1,0,1,0,0,7.9
1,0,0,1,0,0,0,0,0,0,0,0,9.99
1,0,0,1,1,0,0,0,0,0,0,0,9.98
1,0,0,0,0,0,1,0,0,1,0,0,9.98
1,0,0,1,1,0,0,0,0,0,1,0,9.93
1,0,0,0,0,1,1,1,0,1,0,1,11.69
1,0,0,0,0,1,1,0,0,0,1,0,12.92
1,0,0,0,0,1,1,0,0,0,1,1,12.89
0,0,0,1,0,0,0,1,0,1,0,0,18.71
0,0,0,1,0,0,0,1,0,0,0,1,18.88
0,0,0,1,0,0,0,1,0,0,0,0,18.7
1,0,0,1,0,0,0,1,0,1,0,0,10.03
1,0,1,1,0,0,0,0,0,1,0,0,9.97
0,0,1,1,1,0,0,0,0,0,0,0,18.81
1,0,0,1,1,0,0,0,0,0,0,0,9.98
0,0,0,0,0,0,1,0,0,1,0,0,18.71
0,0,0,0,0,0,0,0,0,1,0,1,18.76
1,0,0,0,0,0,1,0,0,1,0,0,9.98
0,1,0,0,0,0,1,1,0,0,0,0,85.33742591211477
1,1,0,1,1,0,1,0,1,0,1,1,85.33439655379075
1,1,0,0,0,1,0,0,0,1,0,0,85.3361848938463
0,0,0,1,1,0,1,1,1,0,1,1,85.33560012548517
1,1,0,0,1,0,0,0,0,0,0,0,85.33431946653525
1,1,0,0,0,0,0,1,0,0,0,1,85.33826792824566
1,0,0,1,0,0,0,0,1,1,0,0,85.33351832299856
1,0,1,1,0,0,0,1,0,0,0,1,85.33415528616894
1,1,0,1,1,0,0,1,0,1,0,0,85.33208096115403
1,1,1,0,0,0,0,1,0,0,1,1,85.33407735690912
1,1,0,0,0,0,0,1,0,0,1,1,85.33692703191147
1,1,0,1,1,0,0,1,1,1,0,1,85.33203111523164
1,0,1,0,0,0,0,1,0,1,0,1,10.0
1,1,0,1,0,0,0,0,0,1,0,0,7.89
1,0,0,0,0,0,0,1,1,1,0,0,85.33626371950045
1,1,1,0,1,0,1,0,0,0,0,0,85.33113659081117
1,1,1,0,1,0,0,1,1,0,1,1,85.33618434621933
1,0,0,0,0,0,0,1,0,1,0,0,9.9
1,0,0,0,0,0,0,0,0,0,0,0,10.02
1,0,0,1,1,1,0,0,0,0,1,0,13.04
1,1,0,0,0,0,0,0,1,1,0,0,85.33104772273019
1,0,0,0,0,0,1,1,0,1,0,0,85.33432055219107
1,1,0,0,0,0,1,0,0,1,1,0,7.88
1,1,1,0,1,0,0,1,0,1,0,0,85.33720049687608
1,1,0,0,0,0,0,0,0,1,0,1,85.33689749093072
1,0,1,0,1,0,0,0,1,0,1,0,85.33354459624714
1,0,0,1,0,0,0,1,1,1,0,0,85.33570034369475
1,1,1,0,0,0,0,0,0,1,0,0,85.33301700721901
0,1,1,0,0,0,0,1,0,0,0,0,85.33242177938702
1,1,1,0,0,0,0,1,0,1,1,0,85.33173000193982
1,0,0,0,1,0,0,0,0,1,0,0,10.03
1,1,0,0,1,1,0,1,0,1,0,0,85.33295716997593
1,0,1,1,0,0,0,1,1,0,0,0,85.3358115768919
1,1,0,1,1,0,0,1,0,0,0,1,85.33718190567149
1,1,0,0,0,1,0,1,0,1,0,1,37.81
1,1,0,1,0,0,1,0,0,0,0,1,85.33239441689012
1,0,1,0,0,0,1,1,0,1,0,0,85.33692580163223
0,1,0,0,0,0,0,0,0,1,0,0,19.88
1,1,0,1,0,1,0,1,0,1,1,0,85.3336042000127
1,0,0,0,0,0,0,1,0,0,0,0,10.01
1,0,0,0,0,0,0,0,0,1,1,1,10.05
1,1,1,0,0,0,1,0,1,1,1,0,85.33650205851379
1,1,0,1,0,0,0,1,0,1,1,1,85.33846455769712
1,1,0,0,0,1,0,1,0,1,0,0,37.89
1,1,1,1,0,0,0,0,0,1,0,1,85.33846905620305
1,1,0,1,1,0,0,1,0,0,0,0,85.338574675947
0,1,1,0,0,0,0,1,0,1,0,1,19.69
1,1,0,1,0,0,0,1,0,1,1,0,85.33274410883242
0,0,0,0,1,0,0,0,0,0,1,0,18.93
1,1,1,0,1,0,1,1,0,1,0,0,85.33715095029467
1,0,1,1,0,0,0,0,0,1,1,0,85.3389454939565
1,1,1,1,0,0,0,0,0,1,0,0,85.33853541843979
0,0,0,0,1,0,0,0,0,1,0,1,85.33581750321257
1,0,0,0,0,0,0,1,0,1,1,1,85.33790197062788
1,1,0,1,1,0,0,1,0,1,0,1,85.33110171768828
1,1,0,0,1,0,0,0,0,1,0,0,85.334802383939
0,1,0,0,0,0,0,1,0,1,0,1,85.33221663088348
1,0,1,0,1,0,0,0,0,0,0,0,10.06
1,1,0,1,0,0,0,0,0,1,0,1,85.33630548046322
1,1,0,1,0,0,0,1,1,1,0,0,85.33415467410516
