NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
0,0,0,0,0,0,0,1,0,1,0,0,1,8,8,0,1.29
1,0,1,1,0,1,1,0,0,1,0,1,0,8,160,0,0.82
1,1,0,0,0,0,0,0,0,1,1,1,0,22,8,0,0.97
1,0,0,1,0,0,0,1,0,0,0,1,0,8,8,1,0.65
1,0,1,1,0,0,0,0,1,1,0,1,0,22,8,2,1.18
1,0,1,1,0,1,1,0,0,1,0,1,0,22,160,0,1.54
1,1,0,0,0,0,0,0,0,1,1,1,0,44,8,1,1.0
0,0,1,1,0,0,0,1,0,1,0,1,0,22,8,1,1.63
0,0,1,1,1,0,0,0,0,1,0,0,0,22,8,1,1.83
0,0,1,0,0,1,0,0,0,1,1,1,1,48,160,0,2.95
0,0,0,0,1,0,0,0,0,0,0,0,1,44,8,0,3.21
0,1,1,0,0,0,0,0,1,1,0,1,0,44,8,1,1.99
1,0,1,0,0,0,0,0,1,1,0,0,1,22,8,1,2.27
1,1,1,0,0,0,0,0,0,1,1,1,0,44,8,2,2.06
0,1,0,0,0,0,0,1,0,1,0,0,0,48,8,0,2.6
1,1,0,0,0,1,0,0,1,1,0,1,0,48,8,0,1.91
1,0,1,1,1,1,0,0,0,0,0,1,0,8,8,0,0.73
1,0,0,1,0,0,1,0,1,1,1,0,0,8,8,1,4.818359242589893
1,1,0,1,1,1,1,1,0,1,0,0,0,44,160,1,4.815398019019825
1,1,0,0,0,1,0,0,1,1,1,0,0,48,8,0,4.8165624479811955
1,0,1,1,0,1,1,0,0,1,0,1,0,8,160,0,0.82
1,1,0,0,0,0,0,0,0,1,1,1,0,22,8,0,0.97
0,0,0,0,0,0,0,1,0,1,0,0,1,8,8,0,1.29
0,0,1,1,0,0,0,1,0,1,0,1,0,22,8,1,1.63
0,1,1,0,0,0,0,0,1,1,0,1,0,44,8,1,1.99
1,0,1,0,0,0,0,0,1,1,0,0,1,22,8,1,2.27
1,1,1,0,0,0,0,0,0,1,1,1,0,44,8,2,2.06
0,1,0,0,0,0,0,1,0,1,0,0,0,48,8,0,2.6
0,0,1,0,0,1,0,0,0,1,1,1,1,48,160,0,2.95
0,0,0,0,1,0,0,0,0,0,0,0,1,44,8,0,3.21
1,0,1,1,0,1,1,0,1,1,0,1,0,44,320,0,4.8119172310555465
0,1,1,0,0,0,0,0,0,1,0,1,0,22,160,0,4.8172427558401845
1,0,1,1,0,1,0,0,0,1,0,1,0,8,160,0,4.814170830873602
1,0,1,1,0,1,1,0,1,1,0,1,0,8,160,0,4.816564396440022
0,0,0,1,0,0,0,1,0,0,0,1,1,8,8,1,4.812004830394395
1,1,0,0,0,0,0,0,0,1,0,0,1,8,8,0,4.814297201031879
1,1,0,0,0,0,0,0,0,1,1,0,0,22,8,0,4.814963993060051
1,1,0,0,1,0,0,0,0,1,1,1,0,44,8,1,4.811541547077962
1,0,1,1,0,0,0,0,1,1,0,0,0,22,160,0,4.814594293653861
0,0,0,1,0,1,1,0,0,1,0,1,0,8,8,2,4.815391706468869
0,0,1,1,0,0,0,0,0,1,0,1,0,22,8,1,4.816465012314285
0,0,1,1,1,0,1,0,0,1,0,0,0,22,8,1,4.812494116397972
1,1,1,0,0,0,0,0,0,1,1,1,0,22,8,0,1.11
0,0,1,0,1,0,0,1,0,1,0,1,1,22,8,1,4.8146171824662884
1,0,0,1,0,1,1,0,0,1,0,1,0,8,160,0,1.09
0,0,1,0,1,1,0,0,1,1,0,1,1,48,8,1,4.813003457531753
0,1,1,0,1,0,1,0,0,1,0,0,0,22,8,1,4.814096485291383
0,0,0,0,0,0,0,1,1,1,1,1,0,44,8,1,4.815431433587429
1,1,0,0,0,0,0,0,0,1,0,0,1,48,8,0,4.814377042300821
1,1,1,0,0,0,0,0,0,1,1,1,0,8,8,1,0.57
