auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,0,0,0,1,1,0,1,1,0,5.86
1,0,0,1,1,0,1,1,0,0,1,0,5.89
1,0,0,0,1,0,1,0,0,1,1,0,5.91
1,1,0,0,0,0,0,1,0,1,0,0,7.18
1,1,0,1,0,0,0,0,0,0,1,1,7.22
0,0,0,1,0,0,0,1,0,0,0,0,5.91
0,0,1,1,0,0,0,1,0,1,0,0,5.93
0,0,1,1,0,0,0,1,0,0,0,1,5.93
0,0,0,1,0,0,0,1,0,0,0,1,5.89
0,0,0,1,1,0,0,1,0,1,0,1,5.88
0,0,0,1,0,0,1,0,0,0,0,0,5.88
1,1,0,0,0,0,0,0,0,1,0,0,7.17
1,1,0,0,0,0,0,0,0,0,1,1,7.19
1,1,0,1,0,0,1,0,0,0,1,0,7.12
1,1,0,1,0,0,0,1,0,1,0,1,7.17
1,0,0,0,0,1,1,0,0,1,1,0,8.88
0,0,1,1,0,0,0,1,0,1,0,1,5.93
0,1,0,0,0,0,1,1,0,1,0,1,7.07
0,0,1,1,0,0,0,0,0,0,0,0,5.91
0,0,1,1,0,0,0,0,0,0,0,1,5.88
0,0,0,1,0,0,0,1,0,0,0,1,5.89
1,0,0,1,0,0,1,0,0,1,0,1,5.9
0,0,0,1,0,0,0,1,0,0,0,0,5.91
0,0,1,1,0,0,0,1,0,1,0,0,5.93
0,0,0,1,0,0,1,0,0,0,0,0,5.88
0,0,1,1,0,0,0,1,0,0,0,1,5.93
1,0,0,1,0,0,0,1,0,1,0,0,5.92
0,0,0,1,1,0,0,1,0,1,0,1,5.88
1,0,0,0,0,0,1,0,0,1,0,0,5.87
1,0,0,0,0,0,1,0,0,0,0,0,5.91
0,0,0,1,0,0,0,0,0,0,0,1,5.92
0,0,1,1,0,0,0,0,0,1,0,1,503.56831191631994
1,0,0,0,1,0,1,0,0,1,0,0,5.87
1,1,0,1,0,1,0,0,0,1,0,0,503.56425500667007
1,0,0,1,0,0,0,1,0,0,0,1,503.5636992476524
0,0,1,0,0,0,1,0,1,1,1,0,503.56808972317475
1,0,1,1,0,0,0,0,0,1,1,0,503.5638441595213
1,0,0,0,1,1,1,0,0,0,0,1,503.5622164756806
1,1,0,0,0,0,1,1,0,0,0,0,503.56814467548327
1,0,0,1,1,0,0,1,0,0,1,1,503.56212296570664
0,1,1,0,0,0,0,0,0,1,0,1,503.5653168587387
1,0,0,0,0,0,1,1,0,1,0,1,503.5639644955248
0,0,1,1,0,0,0,0,0,1,0,0,5.9
1,0,0,1,0,1,1,0,0,0,0,1,503.56717421966675
0,0,1,0,1,0,1,0,1,0,0,1,9.63
0,0,1,1,0,1,1,0,0,0,0,1,503.5666416790131
1,1,0,1,0,0,1,0,0,0,0,0,503.5643743543143
0,0,0,1,1,0,1,1,0,1,0,1,503.5632096814336
0,1,0,1,0,0,0,1,0,1,1,1,7.12
0,0,0,0,0,0,1,1,0,1,1,0,5.85
0,0,0,0,1,0,0,1,0,1,1,0,503.5613096014987
1,1,0,0,0,0,0,1,0,1,0,1,7.18
1,0,0,0,1,1,1,0,0,0,0,0,503.56551183794187
1,0,0,0,0,0,1,1,0,1,0,0,503.5639282145298
1,0,0,0,0,0,0,0,0,1,1,1,5.9
0,1,0,1,1,0,0,1,0,1,0,0,7.06
1,0,0,0,0,0,1,0,0,1,0,1,503.56708286955785
1,0,0,1,0,0,0,0,1,1,1,0,9.7
1,0,0,1,1,0,1,1,1,0,1,0,503.5676285164683
0,0,0,1,0,1,0,1,0,0,0,0,8.94
0,0,0,1,0,1,1,0,0,0,0,0,503.56700228288554
1,0,0,1,1,0,0,1,0,1,0,0,503.5681232762345
0,0,0,0,0,1,1,0,1,1,1,0,503.56149918199606
1,0,1,0,0,0,1,1,0,1,1,0,503.5688630236116
0,0,0,1,1,0,0,1,1,1,0,0,9.68
1,0,0,1,0,0,1,0,0,1,0,0,503.56251525415604
0,0,0,1,1,0,1,1,0,0,1,0,503.5616532656156
0,0,0,1,1,0,1,0,0,0,0,0,503.56161629833286
1,0,0,0,0,0,1,0,0,1,1,0,5.89
0,0,0,1,0,0,1,0,0,0,0,1,503.56485456888043
0,0,1,1,0,0,0,1,0,0,0,0,503.56198514951814
0,0,1,1,1,0,0,1,0,1,1,1,503.56438160251844
0,0,0,1,0,0,1,0,0,1,0,0,503.5648424950133
0,1,0,0,0,0,1,0,0,0,1,0,7.1
0,0,0,0,0,0,0,0,0,1,1,1,5.94
0,0,0,0,0,0,0,0,1,0,0,1,9.64
0,0,0,1,0,0,1,1,0,1,0,1,503.56295486985
0,0,1,1,0,1,1,0,0,0,0,0,503.56601165831455
0,0,0,1,0,0,0,1,0,1,0,1,503.5633494337097
1,1,0,0,1,0,1,1,0,1,0,1,503.5664469583553
1,0,0,0,0,0,1,1,0,0,1,0,5.91
1,0,1,0,0,1,1,1,1,1,1,0,15.54
0,0,1,0,0,0,1,1,0,0,1,0,5.87
0,0,0,0,1,0,0,1,0,1,0,1,503.564198045354
0,0,1,1,0,0,1,0,0,0,1,0,503.5620509796796
0,0,0,0,0,0,1,0,0,1,1,0,5.85
0,0,0,1,0,0,1,0,1,1,1,0,503.56107126509204
0,0,1,1,0,0,1,1,0,0,1,0,503.56588445185264
0,0,1,1,0,0,0,1,0,0,1,1,503.5631543882646
0,0,0,1,0,0,0,0,0,1,1,0,5.88
