iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,90,0.52
0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,90,0.52
0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,10,0.62
0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,90,0.51
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,90,0.52
0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,10,0.63
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,90,0.51
1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,90,0.57
0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,90,0.51
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,10,0.61
0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,90,0.6786163109019417
0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,90,0.6776158013547963
1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,90,0.6768713875063118
1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,10,0.6710622847276944
1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,10,0.6789965064704395
1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,90,0.6748174066472139
1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,10,0.6753280857980036
0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,10,0.6724958197992037
1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,90,0.6738333080398337
1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,10,0.6723387142382752
0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,90,0.52
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,90,0.6
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,90,0.52
1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,90,0.56
1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,90,0.54
0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,90,0.58
1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,90,0.56
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,10,0.56
0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,10,0.61
0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,90,0.49
1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,10,0.6730456066562639
0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,90,0.6721660845038921
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,10,0.6788340719679592
0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,90,0.6785901841094436
0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,90,0.6732896546051552
1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,90,0.6775154068488055
0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,90,0.674958234193911
0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,90,0.6734688311254795
0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,90,0.6736125913200557
0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,90,0.6737356378691313
1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,90,0.6
0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,90,0.52
1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,90,0.6782105371169601
0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,10,0.6723158819144949
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,10,0.6762044829696781
0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,90,0.56
1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,90,0.6760056290476355
0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,90,0.6
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,10,0.59
1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,10,0.6720445733778562
1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,90,0.6711924074136397
0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,90,0.6711831047277632
0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,90,0.55
0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,90,0.673047531923899
0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,10,0.6732420357935367
1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,90,0.6756905265424922
0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,10,0.6710504563029934
1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,90,0.6717148607106188
0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,90,0.6740175889420545
0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,10,0.6781019927507177
0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,90,0.678527300672668
0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,90,0.671277367862108
0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,90,0.5
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,90,0.58
1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,90,0.6786005085146699
0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,90,0.674894421245323
0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,90,0.54
0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,10,0.6785287324746275
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,90,0.6740875473850627
1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,90,0.6753674803866104
0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,90,0.6778896040730793
1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,90,0.53
0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,90,0.6723941708301926
1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,90,0.6787020939718452
0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,90,0.6753642125608231
0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,90,0.5
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,90,0.6736345360176468
0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,90,0.6774558221947166
0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,90,0.6781225791598096
0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,90,0.6739325650966536
0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,90,0.6757181353046801
0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,90,0.6764039516123794
1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,90,0.6729917330608853
0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,10,0.6760996003258174
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,0.52
1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,90,0.6731399627392682
1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,90,0.6754028472290577
0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,10,0.62
0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,90,0.6746351422395578
0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,90,0.6735014809717417
