iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,90,0.52
0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,90,0.52
0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,90,0.52
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,0.52
0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,90,0.52
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,90,0.52
0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,90,0.52
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,90,0.52
0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,90,0.5
1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,90,0.52
0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,90,0.56
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,90,0.49
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,0.5
0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,90,0.5
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,90,0.55
0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,90,0.54
0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,90,0.51
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,10,0.61
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,90,0.64
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,10,0.59
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,90,0.56
1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,90,0.52
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,10,0.61
0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,90,0.52
0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,90,0.56
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,90,0.52
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,10,0.59
1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,10,0.64
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,90,0.64
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,90,0.52
0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,90,0.51
0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,90,0.9483777020066833
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,90,0.9470035661361705
1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,10,0.9468222362749728
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,90,0.948531972142344
0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,90,0.9436905219899473
0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,90,0.9411769688865854
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,90,0.9483859744725318
0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,90,0.55
0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,90,0.9444109483241235
0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,90,0.9411110028621339
0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,90,0.941079822403277
0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,90,0.9461616158898531
0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,90,0.9418032138176006
0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,90,0.9454190454735977
