auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,1,1,0,1,1,0,1,0,0,3.22
0,0,0,1,1,0,0,1,0,1,0,1,3.22
1,0,0,1,1,0,1,1,1,1,0,0,4.11
0,0,1,0,1,1,0,1,0,1,0,0,5.47
0,0,1,0,1,1,0,1,0,1,1,0,5.49
1,0,0,1,1,1,1,1,0,0,0,0,6.34
1,0,1,1,1,1,0,0,0,0,0,0,6.36
1,0,1,1,0,1,1,1,0,0,0,0,6.4
1,0,1,1,1,1,1,1,0,1,1,0,6.42
1,0,1,1,1,1,0,1,0,1,1,0,6.44
1,0,1,1,0,1,0,1,0,1,1,0,6.44
1,1,1,1,1,0,0,0,0,0,0,0,7.98
0,1,0,0,0,0,0,1,1,1,0,1,8.89
0,0,1,1,1,1,1,1,0,1,1,0,9.2
0,0,1,1,1,1,1,1,0,1,0,0,9.25
0,0,1,1,1,1,1,1,0,1,0,1,9.25
1,0,0,0,1,1,1,1,1,0,0,0,14.71
0,0,1,0,0,1,1,1,1,0,0,0,16.95
1,0,1,1,1,1,1,1,1,1,0,0,26.27
1,0,1,1,1,1,0,1,1,1,1,1,26.39
