auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
0,0,0,0,0,0,1,1,0,0,0,1,3.93
1,1,0,1,0,0,0,0,0,0,0,1,4.34
1,0,1,0,1,0,0,0,1,0,0,1,14.2
1,0,0,0,1,1,1,0,0,1,0,1,20.07
0,0,1,1,1,0,0,0,0,0,0,0,3.88
0,0,0,0,0,1,1,0,1,0,1,0,56.73
0,1,0,0,0,0,0,1,1,0,0,0,9.9
0,0,0,0,1,0,0,0,0,0,1,1,12.45
1,1,0,0,0,0,0,0,0,0,0,1,4.28
0,1,0,1,0,0,0,0,1,0,1,0,36.52
1,0,0,0,1,0,0,0,1,0,0,1,944.2312792184144
1,1,0,1,0,0,1,0,0,1,0,0,944.2328936057389
1,0,1,1,1,0,0,0,0,1,1,1,944.235556050686
1,1,1,1,0,1,0,1,0,0,0,1,944.2382677122116
1,1,0,0,0,0,0,0,0,1,0,0,4.31
0,1,0,1,1,0,0,1,1,0,0,1,944.2326157582925
0,1,0,0,1,1,1,1,1,1,1,1,944.2386052458513
1,0,1,0,0,1,1,0,0,1,0,0,944.2324251869112
1,1,1,1,0,0,1,0,0,0,1,0,944.2366653355327
1,1,1,1,0,0,1,0,1,1,1,0,944.2353443218531
1,1,0,0,1,0,0,1,1,1,0,0,944.2361164934413
0,1,1,1,1,0,1,0,0,0,1,1,944.2331519767512
1,1,0,0,1,0,1,1,1,1,1,0,18.99
1,0,0,1,0,1,0,0,1,1,0,0,49.33
0,0,1,1,1,0,1,0,1,1,1,0,944.2327954407345
0,0,1,0,1,0,1,1,0,0,1,1,944.2389233426801
0,1,1,0,1,0,0,0,1,0,0,1,944.2328407902048
1,1,1,0,1,1,0,0,0,1,0,1,944.236472097307
0,1,0,1,1,1,0,0,0,1,1,0,944.23319695458
0,1,0,1,1,0,0,1,0,0,1,1,944.2353319138491
0,0,0,0,0,0,0,0,1,0,1,0,36.51
0,1,0,1,0,0,1,1,0,0,1,1,944.2382894249982
0,0,1,0,0,0,1,1,0,0,0,0,944.2358914533432
0,0,1,1,1,0,1,0,0,0,0,1,944.2372643788805
1,1,0,0,1,0,1,1,1,0,1,0,944.2360891197409
1,1,0,0,0,0,1,0,1,0,0,1,944.2388695897554
1,0,0,0,0,0,1,0,1,1,0,0,944.2313923034899
0,0,1,1,1,0,1,0,1,0,0,0,944.2356088107753
1,1,0,0,1,0,1,1,0,0,1,1,944.2361633368213
0,0,1,1,0,0,1,1,1,1,0,0,944.2374034666702
1,0,0,0,1,0,0,0,1,0,0,0,944.2383271886926
1,1,0,0,1,0,1,1,1,1,1,1,944.2340142397027
0,1,0,0,0,0,0,1,1,0,1,0,36.71
0,0,0,0,0,0,0,1,1,0,0,1,9.92
1,1,0,0,0,0,0,1,1,0,0,0,944.2352822707608
0,0,1,0,0,0,1,1,1,0,0,1,944.2343032360599
0,1,0,0,0,0,1,1,0,0,0,1,944.2387840724531
0,1,0,0,0,0,0,0,0,0,0,1,3.88
1,0,0,0,1,0,1,1,0,0,0,1,944.2318032132139
0,0,0,1,0,1,0,0,1,1,0,0,56.47
0,0,1,0,1,0,0,0,0,1,1,1,944.2342358442348
0,0,0,1,0,0,0,0,0,1,1,0,12.28
0,1,0,0,0,1,0,1,1,0,0,1,944.2366222665436
0,0,0,0,0,1,1,1,0,0,0,0,944.2382978017192
0,1,0,0,1,0,0,0,0,0,0,1,3.89
1,1,1,1,0,0,1,1,1,0,1,0,944.2384732716348
1,1,0,0,0,1,0,0,0,0,0,0,944.236743747841
1,1,0,1,0,0,0,0,0,0,0,0,4.34
1,1,0,0,0,0,0,0,0,1,0,1,944.2361826905997
1,0,0,0,1,1,1,0,0,1,0,0,944.2361561003156
0,0,0,0,1,1,0,0,0,0,0,1,944.2335734617883
0,1,0,0,0,0,0,0,1,0,1,0,36.48
1,0,0,0,1,1,1,0,0,0,0,0,944.2310331695928
0,0,0,1,0,1,0,0,1,0,0,0,944.2388595632805
1,0,0,0,0,0,0,0,1,0,0,1,14.09
0,0,1,0,1,0,0,0,0,0,0,0,3.9
0,0,0,0,0,1,1,1,1,0,0,1,56.42
0,0,0,1,0,0,0,1,1,0,0,1,944.2324818016948
1,0,0,0,1,0,0,0,1,0,1,1,944.2328822163331
0,1,0,0,0,0,0,0,0,0,1,0,12.46
0,0,1,1,1,0,0,0,0,0,0,1,944.2374530871491
0,1,0,0,0,0,1,0,0,0,0,0,3.9
0,0,0,0,0,0,1,0,0,0,0,1,3.93
0,0,0,0,0,1,0,0,0,1,1,1,25.65
1,1,0,0,0,0,0,0,0,0,1,0,5.35
0,0,0,0,1,0,0,0,0,0,0,0,3.89
1,1,0,0,0,0,1,0,0,0,0,1,944.2346356799592
1,0,0,0,0,0,1,1,0,0,0,0,944.232671461608
0,0,1,0,1,0,0,0,0,0,0,1,3.89
0,0,0,0,1,0,0,0,0,1,0,0,3.92
1,1,0,0,0,0,0,0,0,0,0,0,4.32
0,1,0,1,0,0,0,1,1,0,0,0,944.2359903801082
1,1,0,0,1,0,0,0,0,0,0,1,944.2327326722037
0,1,0,0,0,0,1,1,0,0,0,0,944.2384270639633
1,1,0,1,0,0,0,0,0,1,0,0,4.32
1,1,0,1,0,0,1,0,0,1,0,1,944.2369029571275
0,1,1,0,0,0,0,1,1,0,0,0,9.84
1,0,1,0,1,0,0,0,0,0,0,1,4.34
0,0,1,1,1,1,1,0,0,1,0,1,944.2369519450531
0,0,0,0,0,0,1,1,0,0,0,0,3.89
