OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,25592.4529727358
0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,25961.6869033995
0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,19545.9861063839
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,21609.1158392989
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,23783.6266928885
1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,24318.4309751955
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,25578.2616342174
0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,26133.0772203267
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,25961.5172606875
0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,25680.5315917886
1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,18865.7730346052
0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,18723.2810355007
0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,18545.6528488846
1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,23723.681142624
1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,17625.375073888
0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,18280.48333004
0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,19541.7581157213
1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,18102.0066838365
1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,17264.4518429379
1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,19156.8230917054
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,23783.6266928885
1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,24318.4309751955
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,21609.1158392989
1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,19156.8230917054
0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,19545.9861063839
0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,19541.7581157213
1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,18102.0066838365
1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,17264.4518429379
1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,17625.375073888
0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,18280.48333004
0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,15080.071239503723
0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,15080.069650292195
0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,15080.072110368325
0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,15080.065971589009
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,25981.0716281639
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,26119.4843781736
0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,15080.070549971995
1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,15080.068742126663
0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,15080.069604372224
1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,19279.8516518087
0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,15080.068840360043
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,15080.068592530628
0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,15080.068144960938
0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,15080.067337473485
0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,15080.066279322382
0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,15080.068190942151
0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,15080.066241795674
0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,15080.07237377266
0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,15080.072485190398
1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,15080.068314904589
1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,15080.066360908892
0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,15080.068153980716
1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,15080.069744569182
0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,15080.066804006863
1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,15080.070244117716
1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,15080.070008408158
0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,15080.071372173077
0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,15080.065940114948
0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,15080.066856501006
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,15080.071261453479
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,15080.072809655667
0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,15080.069331352772
0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,25626.3303755547
0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,15080.066187371047
1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,15080.066582166797
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25828.86131395
0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,15080.07204669228
1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,15080.07284651654
0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,25490.6833606955
0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,15080.06833508519
1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,15080.066172268556
0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,15080.072564018184
1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,15080.065764356268
0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,15080.065945496168
0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,15080.0689681148
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,26305.4019347938
0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,25646.8920888902
1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,15080.069321840452
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,26210.5451304791
0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,15080.068877450254
1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,15080.072526398286
0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,26026.3196816341
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,15080.065835226176
1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,15080.065693507828
0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,15080.073310736414
0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,15080.065913622711
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24816.1361359998
0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,15080.067298742424
0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,15080.072183573106
1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,15080.070817155753
