auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,0,0,0,1,0,0,0,0,0,0,0,1.644475,1
1,0,1,1,1,0,0,0,0,1,0,1,1.7148,1
1,0,0,0,1,0,0,1,0,0,1,0,1.65,1
0,1,0,0,1,0,0,0,0,0,0,0,0.792633,0
0,0,1,0,0,0,0,1,0,0,1,0,1.63335,1
1,0,0,0,1,0,1,1,0,0,1,0,1.65,1
1,1,0,1,0,0,0,0,0,1,0,0,1.12225,0
0,1,1,1,0,0,1,0,0,0,0,0,0.6667,0
1,1,0,0,1,0,0,1,0,0,1,0,1.661722,1
0,1,1,1,1,0,0,0,0,0,0,0,0.792633,0
0,1,0,0,0,0,0,0,0,0,0,1,0.6556,0
0,0,1,1,1,0,0,1,0,0,0,0,1.0,0
0,1,1,1,1,0,0,0,0,0,0,1,0.6556,0
0,1,0,0,0,0,0,0,0,0,0,0,0.6556,0
1,1,1,1,1,0,0,1,0,1,1,1,1.466667,0
1,0,0,0,1,0,0,0,0,1,0,0,0.9111,0
0,0,0,1,0,0,0,0,0,1,0,0,0.9444,0
0,0,1,1,0,0,0,0,0,0,0,0,0.9444,0
0,0,1,1,0,0,0,0,0,1,0,0,0.9444,0
0,0,1,1,0,0,0,1,0,1,0,0,0.9444,0
1,0,0,1,0,0,0,0,0,0,0,0,1.6333,1
0,0,1,1,0,0,0,0,0,0,0,1,0.9444,0
0,0,1,0,0,0,0,0,0,0,0,0,1.6222,1
1,1,0,1,1,0,0,1,0,0,1,0,1.2111,0
1,1,1,1,1,0,0,1,0,1,1,0,1.34445,0
1,1,1,1,1,0,0,1,0,0,1,0,1.2111,0
1,1,0,0,1,0,0,1,0,1,0,0,1.2111,0
1,1,1,1,1,0,0,0,0,0,0,1,1.444433,0
1,1,0,0,1,0,0,0,0,0,1,0,1.444433,0
1,0,0,0,1,1,0,0,0,0,1,0,1.57775,0
1,0,0,1,0,0,0,0,0,0,1,0,1.57775,0
1,1,1,0,0,0,0,1,0,1,0,0,1.3111,0
1,1,0,1,0,0,0,0,0,0,0,0,1.3111,0
1,1,1,1,1,0,0,0,0,1,0,0,1.3111,0
1,1,1,1,1,0,0,0,0,1,1,0,1.3111,0
1,0,0,0,0,1,0,0,0,0,0,0,1.6111,1
1,0,1,1,1,1,0,0,0,1,0,1,1.6111,1
1,0,1,1,0,1,0,0,0,0,0,0,1.6111,1
1,0,0,1,0,1,0,0,0,0,0,0,1.6111,1
0,0,1,1,0,0,0,0,0,0,1,0,1.6,1
0,1,1,1,1,0,0,0,0,0,1,0,1.6,1
0,1,0,0,0,0,1,0,0,0,1,1,1.6,1
0,1,1,1,1,0,0,0,0,1,1,0,1.6,1
0,0,0,1,0,0,0,0,1,0,1,0,1.6,1
0,0,0,1,0,1,0,0,0,0,0,0,1.6,1
0,0,1,0,0,0,0,0,0,1,0,0,1.7,1
0,0,0,0,0,0,0,1,0,0,0,0,1.7,1
0,0,0,0,0,0,0,0,0,1,0,0,1.5,0
1,0,0,0,0,0,0,0,0,0,0,0,1.5,0
0,0,0,0,0,0,1,0,0,1,0,0,1.5,0
0,0,1,0,0,0,0,0,0,0,0,1,1.5,0
0,0,0,0,0,0,0,0,0,0,0,0,1.5,0
1,0,0,0,0,0,0,0,0,1,0,0,1.5,0
1,0,0,0,0,0,1,0,0,1,0,0,1.5,0
