OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,weight,selected
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2.34556,1
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2.03332,1
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.488867,1
1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1.0778,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0778,1
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1.0778,1
0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1.0778,1
1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1.0778,1
1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1.0778,1
0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1.0778,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.298133,1
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2.0222,1
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.7722,1
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1.7722,1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2.298133,1
1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,2.0222,1
1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.6,1
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2.1,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.85,1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.85,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.85,1
