encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
0,0,0,0,0,1,0,0,0,1,0,6.08
1,0,0,0,1,0,0,0,1,0,1,6.29
0,0,0,0,0,1,0,0,0,0,0,6.21
0,0,0,0,0,1,0,0,1,0,0,6.19
0,1,0,0,1,0,0,0,1,0,1,6.21
1,0,0,0,1,0,0,0,1,0,0,5.28
0,0,0,0,1,0,0,0,1,0,0,6.32
0,0,0,0,1,0,0,0,0,0,1,6.49
0,0,0,0,1,0,0,1,1,0,1,6.5
0,0,0,0,1,0,0,0,1,0,1,6.32
0,0,0,0,0,1,0,1,0,0,0,6.55
1,1,0,0,0,1,0,1,0,0,0,6.55
1,1,0,0,1,0,0,0,0,0,0,6.25
1,1,0,0,1,0,0,0,0,0,1,6.33
1,0,1,0,0,0,0,1,0,1,0,11.73
0,0,1,0,0,0,0,0,0,1,0,114.11
1,1,0,0,0,1,0,1,0,1,0,9.87
1,1,0,0,1,0,1,0,1,0,0,163.82118425725233
1,1,1,0,0,1,0,0,0,0,1,163.82430250435692
1,1,0,0,1,1,0,0,1,1,1,163.82168531954233
1,1,0,0,1,0,0,0,0,0,1,6.33
1,0,0,0,1,0,0,0,1,0,1,6.29
1,1,0,0,1,0,0,0,0,0,0,6.25
0,0,0,0,0,1,0,0,0,0,0,6.21
0,0,0,0,0,1,0,1,0,0,0,6.55
1,1,0,0,0,1,0,1,0,0,0,6.55
0,0,0,0,1,0,0,0,1,0,1,6.32
0,0,0,0,1,0,0,1,1,0,1,6.5
0,0,0,0,0,1,0,0,0,1,0,6.08
0,0,0,0,1,0,0,0,0,0,1,6.49
0,0,0,0,1,0,0,0,0,1,1,6.33
0,1,1,0,1,1,0,0,0,0,0,163.82361956122918
1,1,0,0,0,0,0,1,1,0,1,163.82302933528848
0,1,0,0,0,0,0,0,1,0,0,163.82866841919136
0,0,0,0,0,1,0,0,1,0,1,163.8224060021612
0,0,0,0,1,1,0,0,1,0,0,163.82119516952778
1,1,0,0,1,0,0,0,1,0,1,6.48
1,1,0,0,0,0,0,1,0,0,0,163.82728753226363
0,0,0,0,0,0,0,0,1,0,1,163.82258958653108
0,0,0,1,1,0,0,0,0,0,0,163.82472942059644
0,0,0,0,0,1,0,0,1,1,0,6.46
0,0,0,1,1,0,1,0,0,0,0,163.82406797295786
0,0,0,0,0,1,1,0,1,0,0,163.82365763846104
1,1,0,0,1,0,1,0,0,0,0,163.82274582440908
1,0,0,0,1,1,0,0,1,0,1,163.82674433639906
1,0,0,0,0,1,0,0,0,0,0,10.05
0,0,0,0,0,1,0,0,0,0,1,163.82889230024074
1,0,0,1,1,0,0,0,0,0,0,163.82679795851337
0,0,0,1,0,1,0,0,0,1,0,163.82586864007547
0,1,1,0,1,0,0,0,0,0,0,163.82756823242568
1,0,1,0,1,1,0,0,0,0,0,163.82117710141873
0,0,0,0,0,0,0,1,1,0,1,163.82695689389243
1,0,0,0,1,1,0,0,0,1,0,163.82638447228692
1,0,0,0,1,1,0,0,1,0,0,163.82357265826067
1,0,0,0,1,1,0,0,0,1,1,163.8281699477439
0,0,0,0,0,0,0,0,0,0,1,163.82847136577894
0,1,0,0,1,0,0,0,0,0,0,6.47
0,0,0,0,0,1,1,0,1,0,1,163.82455879218176
0,0,1,0,1,0,0,0,1,0,1,163.82677639513864
1,1,0,0,1,0,0,0,0,1,1,17.15
1,1,0,0,1,1,0,0,1,0,0,163.82486259835574
1,1,0,0,1,0,1,1,1,0,0,163.82669124555997
1,0,0,0,1,0,0,0,0,0,0,8.99
0,0,0,1,0,1,0,0,0,0,0,163.82194888876427
0,1,0,0,1,0,0,0,0,0,1,6.31
1,0,0,0,0,1,0,0,0,1,0,9.24
1,0,0,0,1,0,1,0,1,0,0,163.82374082449198
1,1,0,0,1,1,0,0,0,0,1,163.82319256618626
1,0,0,1,0,0,0,0,1,0,1,163.8240937767464
1,1,0,1,1,0,0,0,0,0,0,163.82142786188248
0,0,0,0,0,1,0,0,0,1,1,163.82385791470188
1,0,0,0,0,0,0,0,1,0,0,163.82620479933428
0,1,0,0,1,1,0,0,1,0,0,163.82496205769823
0,0,0,0,1,0,1,1,1,0,0,163.8243886631294
0,1,0,0,0,1,0,0,0,0,0,6.23
1,0,0,0,0,1,1,0,0,0,0,163.82318992364196
0,0,0,0,0,1,0,0,1,1,1,163.82634063126832
0,1,0,0,0,1,0,0,0,1,0,17.1
0,0,0,0,0,0,0,0,1,0,0,163.82447222417534
0,0,1,0,0,1,0,0,0,1,0,163.82338964556118
1,0,0,0,1,0,0,0,0,1,1,9.32
1,0,0,0,0,0,0,0,0,0,0,163.82505830851878
0,1,1,0,1,0,0,0,1,0,1,163.82161229054702
0,1,0,0,1,0,1,0,1,0,1,163.82880833326035
0,1,0,0,0,0,0,0,1,0,1,163.82377102171986
1,0,0,0,1,0,0,0,0,1,0,9.99
0,0,0,0,1,0,0,0,0,0,0,6.48
0,1,0,0,0,0,0,1,0,0,0,163.82811406720015
0,1,0,0,1,1,0,0,0,0,0,163.8282597741344
0,0,0,0,1,1,0,0,0,0,1,163.82333333870085
