NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,0,1,0,0,1,1,0,0,1,0,1,1,8,160,0,2.463514,1
1,1,1,0,0,0,1,0,0,1,0,1,0,22,8,0,2.04448,1
1,1,1,0,0,1,1,0,0,1,0,1,0,22,8,0,1.1556,0
1,0,1,0,0,1,1,0,0,1,0,1,1,22,160,0,1.1556,0
0,0,1,1,0,0,1,0,0,1,0,1,0,22,8,0,1.1556,0
1,0,1,0,0,0,0,0,1,1,0,0,1,8,8,2,1.688933,1
1,0,1,0,0,1,1,0,0,1,0,1,1,22,320,0,1.1556,0
1,0,1,0,0,1,0,0,1,0,0,1,1,8,160,0,1.1556,1
0,0,1,0,1,1,0,0,0,1,0,1,1,8,320,0,1.1556,1
0,0,1,1,0,0,0,1,0,0,0,0,0,22,8,1,1.1556,1
1,1,1,0,0,0,1,0,0,1,0,1,0,8,8,0,2.666675,1
1,0,1,0,0,1,0,0,0,0,1,1,1,8,8,0,2.4963,1
1,0,1,0,0,1,1,0,0,1,0,1,1,8,8,0,2.666675,1
1,0,1,0,0,1,1,0,0,1,0,1,1,8,320,0,1.8667,1
1,1,1,0,0,1,1,0,0,1,0,1,0,8,8,0,2.437033,1
0,0,1,0,0,1,1,0,0,1,0,1,1,8,320,0,1.5778,1
1,1,1,0,0,0,1,0,0,0,0,1,0,22,8,0,1.5778,1
1,1,1,0,0,1,0,1,0,1,0,1,0,8,8,0,2.26665,1
1,0,1,1,1,1,0,0,0,1,0,1,0,8,8,0,2.26665,1
1,0,1,0,1,1,0,0,0,1,0,1,1,8,8,0,2.26665,1
1,0,1,0,0,1,0,0,1,1,0,1,1,8,320,0,1.9111,1
0,1,1,0,0,1,0,0,0,0,1,1,0,8,8,0,2.0222,1
1,1,1,0,0,1,1,0,0,1,0,1,0,8,160,0,2.0222,1
1,0,1,1,1,1,0,0,0,1,0,1,0,8,160,0,2.0222,1
