OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,47213.7499252449
1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,46784.9164350813
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,47967.366660271
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,47809.3998454163
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,42760.1499301584
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,47693.566545843
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,46757.1015535356
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,46937.2999882657
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,45554.0995383851
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,48191.1333012059
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,47423.1166081782
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,45871.8498960238
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,46716.9832484642
0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,46224.4499006174
1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,45222.7164918055
1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,47237.1999929144
1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,29070.449937983
1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,25113.2833002675
1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,23954.207671382956
0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,23954.20102615169
0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,23954.20651867927
0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,23954.20453391013
0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,23954.206550198738
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,23954.20623769368
0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,23954.208295704815
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,23954.208175782212
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,23954.20237732508
1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,23954.205343144746
0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,23954.20656405879
0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,23954.201062312994
1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,23954.20619696401
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,44726.5498971289
1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,23954.20872647772
1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,23954.206936314462
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,46986.5528101727
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,47489.0766979535
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,23954.20359908546
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,23954.20539229345
0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,23954.208320310474
1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,23954.208624193703
0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,23954.206088828832
0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,23954.205116307316
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,23954.207192136906
0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,47480.9331687328
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,23954.206382509732
1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,23954.20579689627
1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,23954.202251779076
0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,23954.206604408624
0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,23954.20247106764
1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,23954.207697581372
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,47560.8832778456
1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,47343.2499526568
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,23954.201528817448
0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,23954.201728233526
0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,23954.20324166875
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,46501.3999697741
1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,23954.201105709402
0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,23954.207225549395
0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,29202.3833333333
1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,23954.202392225066
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,46267.6499313697
1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,23954.204503954934
0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,23954.207484505267
1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,23954.204349814194
0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,23954.207130712508
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29146.799931505
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23954.20352654018
1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,23954.20205152624
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,46337.7831279025
0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,23954.20371932785
0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,23954.20504947244
0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,23954.20500543001
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,23954.20383130801
0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,23954.202666406618
0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,23954.207909242272
0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,23954.203546772984
