tiff,anyScriptOrigin,validate,jpg,png,onload,pdf,dpi,resolution,quality,indexed,time
1.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,307200.0,0.1,4.0,4.25
0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,307200.0,0.1,1.0,4.28
0.0,1.0,0.0,1.0,0.0,1.0,0.0,200.0,307200.0,0.1,8.0,4.66
1.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,2073600.0,0.1,1.0,4.75
0.0,1.0,0.0,1.0,0.0,0.0,0.0,400.0,2073600.0,0.1,1.0,4.8
0.0,1.0,0.0,0.0,1.0,1.0,0.0,200.0,307200.0,0.1,1.0,4.83
1.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,2073600.0,0.1,1.0,4.87
0.0,0.0,0.0,0.0,1.0,1.0,0.0,200.0,307200.0,0.1,1.0,4.91
1.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,2073600.0,0.1,1.0,5.18
0.0,0.0,0.0,0.0,0.0,1.0,1.0,200.0,8294400.0,0.1,1.0,5.8
0.0,1.0,0.0,0.0,0.0,1.0,1.0,200.0,8294400.0,0.1,2.0,5.81
0.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,307200.0,0.1,8.0,5.95
1.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,8294400.0,0.1,2.0,5.96
0.0,0.0,0.0,1.0,0.0,1.0,0.0,200.0,8294400.0,0.1,2.0,6.08
0.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,8294400.0,0.1,1.0,6.14
0.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,2073600.0,0.1,1.0,6.37
1.0,0.0,1.0,0.0,0.0,0.0,0.0,200.0,2073600.0,0.1,1.0,6.38
0.0,1.0,1.0,0.0,1.0,1.0,0.0,200.0,307200.0,0.1,1.0,6.59
0.0,0.0,1.0,0.0,0.0,0.0,1.0,200.0,2073600.0,0.1,8.0,7.05
0.0,1.0,1.0,0.0,0.0,0.0,1.0,100.0,8294400.0,0.1,4.0,7.07
