NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
1,0,1,1,0,0,0,1,0,1,0,1,0,8,8,0,1.02
0,0,0,0,0,0,1,0,0,0,0,0,1,8,8,0,1.17
1,0,1,1,0,1,0,0,1,1,0,1,0,8,320,0,1.18
1,0,1,1,0,1,0,0,1,1,0,1,0,8,320,0,1.18
1,0,1,1,1,1,0,0,0,0,0,1,0,8,160,0,1.3
0,0,1,1,0,0,0,1,0,1,0,1,0,8,8,0,1.34
0,0,1,1,0,0,0,1,0,1,0,1,0,8,8,0,1.34
0,1,1,0,0,1,0,0,0,1,1,1,0,8,320,0,1.38
0,1,0,0,0,0,0,0,1,0,0,0,0,8,320,0,1.46
1,0,1,1,1,0,0,0,0,1,0,1,0,8,8,2,1.46
0,1,0,0,0,0,0,0,1,0,0,0,0,8,160,0,1.47
0,0,1,0,0,0,1,0,0,0,0,0,1,22,8,1,1.52
1,0,1,0,0,0,0,0,1,0,0,1,1,8,8,2,1.69
1,1,0,0,0,0,0,0,1,1,0,1,0,22,8,0,1.85
1,0,1,0,0,1,0,0,1,0,0,1,1,8,160,0,1.97
0,1,1,0,1,0,0,0,0,0,0,0,0,22,8,0,2.75
1,0,1,0,0,1,1,0,0,1,0,1,1,48,160,0,2.85
1,1,1,0,0,0,0,0,0,1,1,1,0,48,8,2,2.92
1,1,1,0,0,0,0,0,0,1,1,0,0,44,8,0,3.04
0,0,0,1,0,0,0,1,0,0,0,1,0,48,8,0,3.56
