NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
1,1,1,0,1,0,0,0,0,1,0,1,0,22,8,0,2.83
1,1,1,0,0,1,0,0,0,1,1,1,0,22,8,0,3.83
1,1,1,0,1,0,0,0,0,1,0,1,0,22,320,0,3.94
0,0,0,1,0,0,1,0,0,0,0,0,0,22,8,1,2.04
1,1,1,0,0,0,1,0,0,1,0,1,0,48,8,1,3.86
1,0,1,0,0,1,0,0,1,1,0,1,1,22,160,0,4.42
1,0,1,0,0,0,0,0,0,1,1,1,1,48,8,2,7.77
1,1,1,0,0,1,0,1,0,0,0,1,0,44,320,0,5.13
0,0,0,0,1,0,0,0,0,1,0,1,1,22,8,2,6.81
1,0,1,0,0,1,0,0,1,1,0,1,1,44,160,0,5.53
0,1,0,0,0,1,0,0,0,1,1,0,0,44,160,0,5.49
0,0,0,0,1,0,0,0,0,1,0,0,1,48,8,1,10.32
1,0,0,0,0,0,0,1,0,1,0,0,1,22,8,0,4.2
0,1,0,0,0,1,1,0,0,0,0,0,0,22,8,0,3.01
0,0,0,1,0,0,0,1,0,1,0,0,0,22,8,1,5.44
1,1,0,1,0,1,0,0,0,1,0,1,1,22,160,1,30.75888700917384
1,1,0,0,0,1,0,1,1,1,0,1,1,48,320,1,30.75439842309116
0,0,0,1,0,0,1,1,1,1,0,0,0,8,320,0,30.756665708733028
1,1,1,0,0,1,1,1,0,1,0,1,0,22,320,1,30.751926777146057
1,1,0,0,0,1,1,1,0,0,0,0,0,8,160,1,30.753835333253534
1,1,1,0,1,0,0,0,0,1,0,1,0,22,8,0,2.83
1,1,1,0,0,1,0,0,0,1,1,1,0,22,8,0,3.83
1,1,1,0,1,0,0,0,0,1,0,1,0,22,320,0,3.94
0,0,0,1,0,0,1,0,0,0,0,0,0,22,8,1,2.04
1,1,1,0,0,0,1,0,0,1,0,1,0,48,8,1,3.86
1,0,1,0,0,1,0,0,1,1,0,1,1,22,160,0,4.42
1,0,1,0,0,0,0,0,0,1,1,1,1,48,8,2,7.77
1,1,1,0,0,1,0,1,0,0,0,1,0,44,320,0,5.13
0,0,0,0,1,0,0,0,0,1,0,1,1,22,8,2,6.81
1,0,1,0,0,1,0,0,1,1,0,1,1,44,160,0,5.53
1,0,1,0,0,1,0,1,0,0,0,1,0,44,320,0,30.754793493965835
