iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,90,0.4
0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,90,0.39
0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,90,0.44
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,90,0.43
0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,90,0.43
0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,90,0.45
0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,90,0.43
0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,90,0.46
0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,90,0.43
0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,90,0.46
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,90,0.41
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,90,0.42
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,90,0.4
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,90,0.4
0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,90,0.4
0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,90,0.44
0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,90,0.44
0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,90,0.44
1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,90,0.4
0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,90,0.45
1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,90,0.5512292693582657
0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,90,0.558642814484173
1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,10,0.558366913345689
0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,10,0.5540032993820269
0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,10,0.5575602620762522
1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,90,0.551806341466648
