iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,90,2.3111,1
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,90,2.419191,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90,0.8,0
0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,90,0.8,0
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,1.961125,1
0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,10,1.91665,1
1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,90,0.9704,0
1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,10,0.8,0
0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,90,0.8,0
0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,90,0.9704,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,0.8556,0
0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,90,0.8556,0
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,0.8556,0
0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,90,0.8556,0
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,10,1.2444,0
0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,90,2.03776,1
0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,10,1.2444,0
0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,10,1.2444,0
0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,90,2.085167,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,90,1.983325,1
0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,90,2.133325,1
0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,90,1.922225,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,2.2,1
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,90,2.144425,1
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,90,1.7185,1
0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,90,1.65555,1
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,90,1.833333,1
0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,90,1.73335,1
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,90,2.15555,1
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,90,2.127775,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,1.73335,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,90,1.5778,0
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,90,1.5778,0
0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,90,1.9222,1
0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,90,1.9222,1
