iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,90,23.94
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,90,16.27
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,90,16.35
0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,90,16.25
0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,90,16.26
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,90,16.31
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,90,16.24
0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,90,16.31
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,90,16.29
0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,16.18
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,90,16.24
0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,16.29
0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,90,23.86
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,90,16.25
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,90,16.25
0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,90,17.44
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,90,16.19
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,90,17.28
0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,90,54.57
1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,10,24.18
1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,10,59.9835191377735
0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,10,59.98401822709783
0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,90,59.9832176420546
1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,10,59.98493393722902
0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,10,59.986203440446545
0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,10,59.98814737944645
1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,90,59.98547449864076
0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,90,59.98342137364841
0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,90,59.984910128493354
0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,90,59.988366479064055
0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,90,16.49
0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,90,59.98634095773667
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,90,59.9814159483568
1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,90,59.98665149423069
0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,90,59.982672426347555
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,90,16.3
0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,90,59.981099947747495
1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,90,59.983073359462686
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,90,59.986748465621204
0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,10,59.9830163174671
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,90,59.98518512050826
0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,90,59.98218983582581
0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,90,59.986630758171394
