NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
1,1,1,0,0,1,0,0,0,0,1,1,0,8,8,0,1.05
0,0,0,1,0,0,0,0,0,0,1,0,0,8,8,0,1.38
0,0,0,1,0,0,0,0,0,0,1,0,0,8,8,2,1.11
0,0,0,1,0,0,0,0,0,0,1,0,0,8,8,1,1.17
1,0,0,1,0,0,0,1,0,1,0,0,0,8,8,0,1.38
0,0,0,1,0,0,0,0,0,0,1,0,0,22,8,2,3.0
1,1,1,0,0,1,0,0,0,0,1,1,0,8,160,0,1.31
0,0,0,0,0,0,0,0,1,0,0,1,1,8,8,1,1.47
1,0,0,1,0,0,0,0,1,1,0,0,0,8,8,0,1.44
0,0,0,0,0,0,0,0,1,1,0,1,1,8,8,1,2.34
1,0,0,0,0,0,0,0,1,1,0,1,1,8,8,1,2.3
1,1,1,0,0,1,0,1,0,0,1,1,0,8,8,2,12.553959329971947
1,0,0,1,0,1,1,1,0,1,0,0,0,8,160,1,12.552016955934826
1,0,0,0,0,0,0,0,1,0,0,1,1,8,8,1,2.35
1,0,1,0,0,0,0,0,1,1,0,1,1,8,8,1,2.37
1,0,0,0,1,0,0,0,0,1,0,0,1,8,8,1,2.35
1,0,1,0,0,0,0,1,0,1,1,0,0,8,8,0,12.555416454837951
0,0,1,0,1,0,0,0,1,1,1,1,0,48,160,2,12.552541600990665
1,0,0,0,0,0,0,0,1,1,0,0,1,8,8,1,2.44
1,0,1,1,1,0,1,0,1,0,1,1,1,22,160,2,12.556488683414104
