encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,0,1,0,0,0,0,0,1,0,0,3.7
0,1,0,0,1,0,0,0,1,0,1,3.78
0,1,0,0,1,0,0,1,1,1,1,3.87
0,0,0,1,0,0,0,0,0,1,0,4.88
0,1,0,1,0,0,0,0,1,0,0,4.91
0,0,0,0,1,0,0,0,1,1,1,5.02
1,0,1,0,0,0,0,1,0,0,0,6.81
0,1,1,0,0,0,0,0,0,0,0,7.07
0,1,0,1,0,0,0,0,1,1,0,7.08
0,0,0,1,0,0,0,1,0,0,0,7.53
1,1,0,1,0,0,0,1,1,0,0,8.0
0,1,0,0,0,0,1,1,1,1,0,41.04
1,0,0,0,0,0,1,1,1,1,0,47.48
0,1,0,1,0,0,1,0,0,0,0,87.20136427607792
0,1,0,1,0,1,1,0,0,0,0,87.20229018870553
1,1,1,1,1,0,0,1,0,1,1,87.20305929772002
1,0,1,1,1,0,1,1,0,1,1,87.20316936524114
0,1,0,1,1,1,0,0,1,1,0,87.20320698218538
0,1,0,0,1,1,0,1,1,1,1,87.20330016729639
1,1,1,0,1,0,0,1,0,1,1,87.20382409145928
