iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,90,0.47
0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,90,0.51
0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,90,0.52
0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,90,0.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,90,0.51
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,0.48
0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,90,0.5
0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,90,0.5
1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,90,0.53
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,0.5
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,90,0.48
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,90,0.5
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,10,0.54
0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,90,0.5
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,90,0.52
1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,90,0.59
0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,90,0.52
0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,90,0.51
0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,90,0.7168113312140191
0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,90,0.7131585904200725
0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,90,0.7154445786219448
0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,10,0.7126101593261185
0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,90,0.7115626409367968
1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,90,0.7171393590046832
1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,90,0.7167467050026379
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,90,0.7145618050006336
1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,10,0.7140055554899674
1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,90,0.7127167987062153
0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,90,0.7179704263263422
0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,10,0.717429665007891
0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,90,0.7123011298519758
0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,90,0.7181719717665589
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,90,0.7161227265045383
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,90,0.52
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,90,0.59
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,0.54
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,90,0.7119319268149881
0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,90,0.49
0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,0.46
0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,90,0.7168830316493187
0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,90,0.7181149424545143
0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,90,0.7171669007612084
1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,90,0.7142134472039059
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,0.51
1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,90,0.7132172243545443
0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,90,0.7156840617058877
0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,10,0.7116414661098234
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,90,0.7173022223605933
0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,90,0.7174741968714894
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,90,0.7130447753741026
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,90,0.7184026093013834
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,90,0.7124995132662657
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,10,0.54
0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,90,0.7124225982896724
0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,90,0.7188561908875187
1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,90,0.713844842809766
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,90,0.7122356730565651
0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,90,0.7176580052454894
0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,90,0.55
0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,10,0.7125486186056649
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,90,0.7170163187134662
0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,10,0.7123206936469143
0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,90,0.7157434917070606
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,90,0.7183934555510917
1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,90,0.7155680920318258
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,90,0.48
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,90,0.7120046034227339
0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,90,0.7168766148927942
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,90,0.54
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,90,0.7166995708131311
0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,10,0.7129822989980452
0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,90,0.7168642073354679
0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,90,0.7152475578129145
0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,90,0.7181633798135888
0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,90,0.7186649796241852
0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,10,0.59
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,90,0.7175958878945341
1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,0.7129143134705821
0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,90,0.712574765400955
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,90,0.7132224222774018
1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,10,0.57
0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,90,0.7147652791986031
0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,90,0.55
0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,10,0.7147616419000523
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,90,0.715897115289696
0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,90,0.7169446712117298
0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,90,0.7120615450977025
