tiff,anyScriptOrigin,validate,jpg,png,onload,pdf,dpi,resolution,quality,indexed,time
0.0,1,0,1,0,0,0,50,307200.0,0.1,8.0,1.22
0.0,1,0,1,0,0,0,400,307200.0,0.9,8.0,1.17
0.0,1,0,1,0,0,0,50,307200.0,0.1,1.0,1.21
0.0,0,0,1,0,0,0,100,307200.0,0.1,2.0,1.21
0.0,1,0,1,0,0,0,50,8294400.0,0.9,8.0,1.42
0.0,1,0,1,0,0,0,400,307200.0,0.9,4.0,1.23
0.0,0,0,1,0,0,0,400,307200.0,0.9,4.0,1.23
0.0,1,0,1,0,0,0,100,307200.0,0.1,8.0,1.23
0.0,1,0,1,0,0,0,50,307200.0,0.9,1.0,1.26
0.0,1,0,1,0,0,0,400,2073600.0,0.1,8.0,1.31
0.0,1,0,1,0,0,0,100,307200.0,0.1,2.0,1.26
0.0,1,0,1,0,0,0,100,8294400.0,0.9,2.0,1.47
0.0,0,0,1,0,0,0,400,307200.0,0.9,8.0,1.31
0.0,0,0,1,0,0,0,200,307200.0,0.1,1.0,1.24
0.0,1,0,1,0,0,0,50,307200.0,0.9,2.0,1.27
0.0,1,0,1,0,0,0,100,307200.0,0.9,2.0,1.25
0.0,1,0,1,0,0,0,50,8294400.0,0.1,1.0,1.5
0.0,1,0,1,0,0,0,200,307200.0,0.9,8.0,1.22
0.0,1,0,1,0,0,0,100,307200.0,0.1,1.0,1.25
0.0,0,0,1,0,0,0,100,307200.0,0.9,2.0,1.22
0.0,0,1,0,0,0,1,50,8294400.0,0.1,4.0,2.1
0.0,0,1,0,0,0,1,200,2073600.0,0.1,8.0,2.14
0.0,0,0,1,1,1,0,100,307200.0,0.9,4.0,2.6482444553705355
1.0,0,1,0,0,0,1,200,2073600.0,0.1,4.0,2.6412384541836045
1.0,1,1,1,0,1,0,400,2073600.0,0.9,4.0,2.6425780360289814
1.0,0,1,0,1,0,0,200,8294400.0,0.1,4.0,2.643093947602635
0.0,0,1,0,0,1,0,50,8294400.0,0.9,8.0,2.6485771524137176
1.0,1,0,1,0,0,1,200,2073600.0,0.9,1.0,2.6489998714683964
0.0,1,1,1,0,0,1,400,8294400.0,0.1,8.0,2.64264185394564
0.0,1,0,1,0,0,1,50,2073600.0,0.1,2.0,2.648086397925069
1.0,1,0,1,0,0,0,400,307200.0,0.9,4.0,2.642182885179931
1.0,1,0,0,0,0,0,400,307200.0,0.9,4.0,2.645628292674943
0.0,1,0,1,0,0,0,200,307200.0,0.1,8.0,1.23
0.0,1,0,1,0,0,0,100,8294400.0,0.1,8.0,1.4
0.0,1,0,1,0,1,0,100,307200.0,0.1,2.0,1.38
0.0,1,0,1,0,0,0,50,307200.0,0.9,8.0,1.25
0.0,1,1,1,0,0,0,100,307200.0,0.1,8.0,1.9
1.0,1,0,0,1,0,0,100,307200.0,0.1,1.0,2.648042338475786
0.0,0,0,1,0,1,0,400,307200.0,0.1,2.0,1.42
0.0,0,0,1,1,0,0,100,307200.0,0.1,2.0,2.6448804114450235
0.0,1,1,1,0,0,0,400,307200.0,0.9,8.0,1.91
0.0,1,0,1,0,1,0,400,307200.0,0.9,4.0,1.4
0.0,1,1,1,0,0,0,400,307200.0,0.1,8.0,1.87
0.0,1,0,1,1,0,0,50,307200.0,0.9,8.0,2.6431378085501835
0.0,0,0,0,0,0,0,400,307200.0,0.9,8.0,2.642742230933328
0.0,1,0,1,0,0,0,200,307200.0,0.1,1.0,1.24
0.0,1,0,0,0,0,0,50,307200.0,0.9,2.0,2.64613275847893
0.0,1,0,1,0,0,0,200,307200.0,0.9,4.0,1.25
0.0,1,0,1,1,0,1,100,307200.0,0.9,2.0,2.6473858529009537
0.0,0,0,1,0,0,0,50,307200.0,0.9,1.0,1.3
0.0,1,0,1,0,0,1,100,307200.0,0.9,2.0,2.641743153827572
1.0,0,0,1,0,0,0,200,307200.0,0.9,8.0,2.6484134588092556
0.0,1,0,0,0,0,0,200,307200.0,0.1,8.0,2.64226579872779
0.0,1,0,1,0,0,0,400,8294400.0,0.9,4.0,1.46
0.0,1,0,1,0,0,0,100,307200.0,0.9,8.0,1.23
0.0,0,0,1,0,0,0,100,8294400.0,0.9,1.0,1.52
0.0,0,1,1,1,0,0,100,307200.0,0.9,2.0,2.6453545020356355
0.0,1,0,1,1,0,0,400,307200.0,0.1,8.0,2.6461979964316
0.0,1,0,1,0,1,0,400,307200.0,0.9,8.0,1.4
0.0,0,0,1,0,0,0,200,8294400.0,0.9,4.0,1.42
0.0,1,0,1,1,0,0,200,307200.0,0.1,1.0,2.648301620559365
0.0,0,0,1,1,0,0,200,307200.0,0.1,8.0,2.6470630336666794
0.0,0,0,1,0,0,1,400,307200.0,0.9,2.0,2.643007147177379
0.0,0,0,1,0,1,0,100,307200.0,0.1,4.0,1.38
0.0,0,0,1,0,0,0,100,2073600.0,0.9,2.0,1.3
0.0,0,0,0,0,0,1,200,307200.0,0.9,8.0,2.64835698083543
0.0,1,0,1,0,0,1,200,307200.0,0.9,8.0,2.6449444108745195
1.0,1,0,1,0,1,0,100,307200.0,0.9,2.0,2.6427571823110156
0.0,0,1,1,0,0,0,200,307200.0,0.1,8.0,1.84
0.0,1,0,1,0,0,0,400,307200.0,0.9,1.0,1.24
0.0,0,0,1,0,0,1,100,307200.0,0.1,8.0,2.647928492543833
0.0,1,0,1,0,0,0,400,2073600.0,0.9,8.0,1.29
0.0,0,0,0,0,1,0,100,307200.0,0.1,2.0,2.6415662753888376
0.0,1,0,0,0,0,0,200,307200.0,0.1,2.0,2.6467076686503903
0.0,1,0,1,0,0,0,100,2073600.0,0.1,1.0,1.28
0.0,1,0,0,0,0,0,400,307200.0,0.9,8.0,2.646592392632931
0.0,0,0,1,0,0,0,200,307200.0,0.1,2.0,1.26
0.0,1,0,0,0,0,0,100,307200.0,0.1,2.0,2.648888170940845
0.0,0,0,1,1,0,1,100,307200.0,0.9,2.0,2.647680872449391
0.0,0,0,1,1,0,0,200,8294400.0,0.1,1.0,2.64308194177035
0.0,0,1,0,1,0,0,100,307200.0,0.9,2.0,2.6424273992138545
0.0,1,0,1,0,0,1,50,307200.0,0.9,8.0,2.645921566021335
1.0,1,0,1,0,0,0,200,307200.0,0.1,8.0,2.643485524156021
0.0,0,0,1,0,0,0,200,307200.0,0.9,4.0,1.31
0.0,1,0,0,1,0,1,400,307200.0,0.9,4.0,2.642696627164382
0.0,1,0,1,0,1,0,100,307200.0,0.1,4.0,1.41
0.0,0,0,1,0,0,0,50,307200.0,0.1,8.0,1.24
0.0,1,0,0,0,0,0,400,307200.0,0.9,4.0,2.6467416916129136
0.0,0,0,1,0,0,1,50,307200.0,0.9,1.0,2.6424404397503984
0.0,1,0,1,0,0,1,400,307200.0,0.9,1.0,2.6434852572612004
