OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,20106.8594645713
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25756.635207015
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,26051.4119463997
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,21830.5737407305
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,23290.5108194467
1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,22210.6363106888
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24002.5963982313
1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,19763.7629270469
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,28435.989214262
0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,21867.9766389936
0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,18709.4256231715
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22543.5569737992
0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,22372.8480207487
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,23543.4921064198
0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,24972.6104627327
0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,13155.698381049275
1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,13155.700546260643
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,19749.9480340689
0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,13155.695695240782
0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,13155.701636659549
0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,13155.69624537169
0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,13155.69966702203
1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,13155.699720578215
1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,13155.701574632641
1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,13155.697909383196
0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,13155.695828601662
1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,13155.697941299079
0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,13155.69726107535
0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,13155.700868999322
0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,13155.694819574364
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,13155.70141941363
0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,13155.695684954782
0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,22665.0357426002
0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,24071.0408464987
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,13155.698475927662
0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,13155.698653707446
0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,13155.700949521926
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,17703.2359945852
0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,13155.69675361906
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,13155.698685369709
0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,13155.701373172813
1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,13155.697793268611
0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,22814.0331428407
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,26028.174924621
1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,13155.695591859178
0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,13155.696816198342
1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,13155.696497010953
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13155.69901979902
1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,13155.699635519866
0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,13155.699109378098
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13155.699282521646
0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,15813.6704203782
1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,13155.699330668129
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,13155.69501995185
0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,13155.694827628044
0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,13155.697025149186
1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,13155.697584404761
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13155.69990615232
1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,13155.69592186924
1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,13155.698793792872
0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,21514.2238413221
0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,13155.70119053305
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,24607.3255554986
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13155.701853465654
1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,13155.69679646491
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,13155.694271532482
0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,13155.701604885508
1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,13155.6977327915
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,13155.695996419972
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13155.696504281044
0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,13155.698298401589
0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,13155.695454633411
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13155.699488400453
0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,13155.699000816881
0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,13155.696156743526
1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,13155.697865927388
0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,13155.701479858873
1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,13155.699373538873
1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,13155.695439872195
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,25687.1741396403
1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,13155.695879340195
1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,13155.698546296484
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,13155.694367178034
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,13155.700042005872
1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,13155.70042041488
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,13155.699907309949
0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,13155.694485972652
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,17515.92789052
1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,13155.699178388224
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13155.695223071598
