iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,90,2.8889,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,2.8889,1
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,90,2.8889,1
1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,90,1.4778,0
0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,90,1.4778,1
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,2.42225,1
1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,90,1.4778,1
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,1.4778,0
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,90,2.34445,1
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,1.5722,1
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,90,2.34445,1
0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,90,1.5722,1
0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,90,1.5722,1
0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,1.8889,1
0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,1.8889,1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,90,1.8889,1
0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,10,1.8889,1
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,90,1.8889,1
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,90,1.8889,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,2.1167,1
0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,90,2.1167,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,90,2.1167,1
