auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
0,0,0,0,0,0,0,0,0,0,1,0,4.46
0,1,1,1,1,0,1,0,0,1,1,0,4.0
0,1,0,0,0,0,1,1,0,0,1,0,3.99
0,1,0,0,0,0,0,0,0,0,1,0,3.98
0,1,0,1,1,0,0,0,1,0,1,0,10.42
0,0,0,1,1,0,1,0,1,1,1,0,11.6
0,0,1,1,0,1,1,1,0,1,1,0,6.11
0,0,0,0,0,1,1,1,0,1,1,1,5.97
0,0,1,1,0,1,1,1,0,1,0,0,6.07
0,0,0,1,0,1,0,1,0,0,0,0,6.12
0,1,1,1,0,1,1,1,0,0,0,0,9.52
0,0,1,0,0,1,1,0,1,0,0,1,13.43
0,1,0,1,0,1,1,0,1,1,1,0,15.92
0,0,1,1,0,1,1,1,1,0,1,0,13.46
0,1,1,0,0,1,1,0,1,0,1,0,15.99
0,1,1,0,1,1,1,1,1,0,0,1,15.93
0,1,0,1,0,1,1,0,1,0,1,0,15.96
0,1,1,1,0,1,1,1,1,0,1,0,15.88
0,1,1,1,0,1,0,0,1,1,1,0,15.96
0,1,0,1,1,1,1,1,1,1,1,0,16.01
1,1,1,1,1,0,0,1,1,0,1,0,7.84
0,1,0,1,1,0,0,0,1,0,1,0,10.42
0,1,1,0,0,0,1,1,0,1,0,0,4.0
1,1,1,1,0,0,1,1,1,1,1,0,7.99
1,0,0,1,0,1,1,0,0,1,0,1,16.12716125111336
1,1,0,0,1,0,1,1,1,0,0,0,16.1252065541539
0,1,1,1,0,0,0,0,0,0,0,0,4.0
1,0,1,1,1,1,0,0,1,0,1,0,16.123434999451117
0,0,0,1,0,1,0,0,1,0,1,1,16.126291708935277
1,1,0,0,1,1,1,1,0,1,0,0,16.12684197983579
0,1,0,0,0,1,0,0,1,0,0,0,16.123311213049167
1,1,1,1,1,0,0,1,1,0,0,0,16.125217379057826
0,1,1,1,0,0,0,0,0,1,1,1,16.123444283810382
0,1,0,1,0,1,1,1,0,0,0,0,16.125807482179574
0,1,1,0,0,0,0,1,1,1,0,1,16.125100230009014
0,0,0,1,0,1,1,1,0,0,1,0,16.127241533550862
0,1,0,0,0,0,0,1,0,0,0,1,4.0
1,1,1,1,1,0,0,0,1,0,0,0,16.127580431673955
0,0,0,0,0,1,0,1,0,1,0,0,6.16
0,0,1,0,0,1,0,0,0,0,0,0,6.12
0,0,1,1,0,1,1,1,0,0,1,0,16.12324552221214
0,1,0,0,0,0,1,1,0,1,0,1,3.99
0,1,1,0,0,0,0,1,0,0,0,0,16.12227238381978
0,1,0,1,0,0,0,0,0,0,0,0,3.98
0,1,1,1,0,0,1,1,0,0,1,0,16.128131393474526
0,1,1,0,1,1,1,1,0,1,1,0,16.1276069410064
0,0,1,1,0,0,1,0,0,1,1,0,16.121388253307543
1,1,1,1,0,0,0,0,0,0,0,0,16.127851338169446
0,1,1,1,0,1,0,0,0,0,1,0,16.127160748168247
0,1,1,1,1,0,1,0,1,1,1,0,16.125313087860683
0,1,1,1,0,0,0,1,0,0,0,0,16.125213424020927
0,1,0,1,0,0,0,0,0,0,1,0,4.0
0,1,1,0,0,1,1,0,0,1,1,0,16.126275553484668
1,1,0,0,0,0,1,1,0,1,0,1,2.3
0,1,0,1,0,1,0,0,0,0,1,1,16.124768779102503
0,1,0,0,0,0,1,1,0,1,1,0,16.123371441199048
0,1,0,0,0,0,0,0,0,0,1,1,3.99
0,1,0,0,0,0,1,0,0,0,0,0,3.97
0,1,1,1,0,0,1,0,0,0,1,0,16.121819336792118
0,0,0,1,0,1,0,0,0,0,1,0,6.2
0,0,1,1,0,1,1,0,0,1,1,0,16.122346238355863
0,1,1,0,0,0,1,1,0,1,0,1,16.123011710921567
0,0,0,0,0,0,0,0,0,1,0,0,4.47
0,0,1,0,0,1,0,0,0,1,1,1,16.12470094763327
0,0,0,0,0,1,1,1,0,0,0,0,16.12411775769467
0,0,1,1,1,0,0,0,0,1,1,0,4.47
0,1,0,1,0,1,1,1,0,1,0,0,16.126561178401584
0,0,1,0,0,1,1,1,0,1,1,1,16.121339543159174
0,0,0,0,0,1,1,0,0,1,1,1,16.12286115591555
0,0,1,1,0,0,0,0,0,0,1,0,4.46
0,1,0,1,1,0,0,0,0,0,1,0,16.127968513248206
0,1,0,1,0,0,1,0,0,0,1,0,3.98
0,1,0,0,0,0,1,1,0,0,1,1,16.126996646070324
0,1,0,0,0,0,0,1,0,1,1,0,4.0
0,1,1,0,0,0,0,0,0,0,1,1,16.12804296066748
0,0,1,0,0,0,0,0,0,0,1,0,4.47
0,0,0,0,0,0,0,0,0,0,1,1,4.43
1,1,0,0,0,0,1,1,0,1,0,0,2.3
0,1,1,0,0,0,1,1,0,0,0,1,16.123150936887555
0,1,0,0,0,0,0,0,0,1,1,0,3.97
0,1,1,1,0,0,0,0,1,0,0,1,16.124004932085104
0,1,0,0,0,0,0,0,0,1,0,0,3.99
0,0,0,0,0,0,0,1,0,0,0,1,4.43
1,1,0,0,0,0,1,1,1,1,0,0,7.9
0,1,0,0,0,0,1,1,0,0,0,1,16.12305955652822
0,1,1,1,1,0,0,0,0,0,1,0,4.0
0,1,1,0,0,0,0,1,0,1,1,0,16.125812849257144
0,0,0,0,0,0,1,1,0,0,0,0,4.42
1,1,1,1,0,0,1,0,1,0,1,0,16.12778646563928
0,0,0,1,1,0,0,1,0,1,0,1,4.45
