encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
0,0,0,0,0,1,0,1,1,1,0,3.81
0,0,0,0,1,0,0,0,0,0,0,3.82
1,0,0,0,0,0,1,0,1,0,0,3.83
1,1,0,0,0,0,1,1,0,0,0,6.97
0,0,0,0,1,0,0,0,1,1,0,7.03
1,1,0,1,0,0,0,0,0,1,0,7.11
0,1,0,1,0,0,0,0,0,0,0,7.24
0,0,0,1,0,0,0,1,0,0,0,7.53
0,1,0,0,1,0,0,0,0,1,0,7.53
0,1,0,0,0,0,1,1,0,0,0,10.61
1,1,0,0,1,0,0,0,0,1,1,10.68
1,0,1,0,0,0,1,1,0,0,1,87.2012351499781
0,1,1,0,0,1,1,1,1,0,0,87.20328835567335
1,0,0,1,0,0,1,1,1,0,0,87.2037107901979
0,1,1,0,1,0,1,1,1,1,1,87.20397450994429
1,1,1,0,0,0,0,0,0,0,1,87.20412542506593
1,0,1,1,1,1,0,1,0,0,0,87.2045487542182
1,1,1,1,1,0,0,1,1,1,0,87.20468463927513
0,1,0,0,1,0,1,1,0,1,1,87.20506145835819
1,0,1,0,0,1,1,1,0,1,1,87.20517387804297
