NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
0,0,0,0,0,0,0,0,0,0,1,0,1,8,8,1,3.3
0,0,1,0,0,0,0,0,0,0,1,0,1,8,8,1,5.3
1,1,1,0,0,0,0,0,1,1,0,1,0,8,8,0,2.33
1,0,0,0,0,0,0,0,1,1,1,1,0,22,8,2,27.457875017814622
0,0,0,0,0,0,0,1,0,0,0,0,1,44,8,2,22.75
1,0,1,0,0,0,0,0,0,1,1,1,1,22,8,0,8.52
1,0,0,1,0,1,1,0,0,0,0,0,0,44,160,0,13.48
1,1,1,0,0,1,0,0,1,1,0,1,0,8,160,0,2.88
1,0,0,1,0,0,1,0,0,0,0,1,0,8,8,1,2.59
1,1,0,0,0,0,0,1,0,0,0,0,0,44,8,2,16.01
1,1,1,0,0,0,0,0,0,1,1,0,0,48,8,0,14.6
0,0,0,1,0,0,0,1,0,0,0,0,0,44,8,0,12.89
0,1,0,0,0,1,0,0,0,0,1,1,0,44,160,0,9.91
1,0,1,1,0,0,0,0,1,1,0,1,0,8,8,0,2.6
0,0,0,0,0,0,1,0,0,0,0,1,1,22,8,0,7.98
1,1,0,0,0,0,0,1,0,0,0,0,0,44,8,0,16.68
1,0,0,1,0,0,0,1,0,1,0,0,0,48,8,0,10.36
1,0,0,1,0,0,1,0,0,0,0,1,0,8,8,0,2.6
1,1,1,0,0,1,0,0,0,0,1,1,0,8,8,0,2.3
1,1,1,0,0,0,0,0,0,1,1,1,0,44,8,2,15.14
1,1,1,0,0,1,0,0,1,1,0,1,0,8,160,0,2.88
1,1,0,0,0,0,0,0,1,1,0,1,0,22,8,2,4.63
0,0,0,0,0,0,1,0,0,0,0,1,1,22,8,0,7.98
1,0,0,0,0,0,1,0,0,0,0,1,1,22,8,0,8.55
0,0,1,0,0,0,0,0,0,0,1,0,1,8,8,1,5.3
1,1,1,0,0,1,0,0,1,1,0,1,0,22,8,0,5.28
1,1,1,0,0,0,0,0,0,1,1,0,0,44,8,1,8.05
0,1,0,0,0,0,0,1,0,0,0,0,0,44,8,0,9.48
0,0,0,1,0,0,0,1,0,0,0,0,0,44,8,0,12.89
1,1,1,0,0,0,0,0,0,1,1,1,0,22,8,2,9.65
0,0,1,0,0,0,0,0,1,1,1,1,1,22,8,0,27.456119926442174
1,0,1,1,0,0,0,0,1,1,0,1,0,8,8,2,2.59
1,1,0,0,0,0,0,0,1,1,0,1,0,8,8,0,3.89
1,1,1,0,0,1,1,0,1,1,0,1,0,22,320,0,27.451979556754065
1,1,1,0,0,1,0,0,0,0,1,1,0,22,8,0,27.45681257820507
