iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,90,1.599975,0
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,90,0.796814,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,90,0.796814,0
0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,90,1.870898,1
0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,90,1.588875,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,1.439363,0
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,90,0.796814,0
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,90,1.555575,0
0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,10,2.007939,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,10,0.796814,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,90,2.292066,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,1.742857,1
0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,90,1.127029,0
1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,90,1.854007,1
1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,90,1.127029,0
0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,90,1.434943,0
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,90,1.127029,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,1.991538,1
0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,90,1.876207,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,90,2.080438,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,1.412743,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,90,1.830164,1
0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,90,1.412743,0
0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,90,1.412743,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,90,1.8667,1
1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,10,1.8667,1
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,1.8667,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,90,1.8667,1
0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,10,1.8667,1
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,90,1.676157,1
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,90,1.676157,1
0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,90,1.676157,1
0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,10,1.676157,1
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,10,1.676157,1
0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,90,1.676157,1
