NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
0,0,0,0,1,0,0,0,0,0,0,0,1,22,8,0,2.67
0,0,1,1,0,0,0,0,1,0,0,0,0,48,160,0,3.74
1,1,1,0,0,0,1,0,0,1,0,1,0,22,8,1,1.41
1,0,1,0,0,1,0,1,0,1,0,1,1,22,320,0,1.85
0,0,0,0,0,0,0,0,0,0,1,0,1,22,8,0,1.71
0,0,0,1,0,0,0,1,0,0,0,1,0,44,8,0,2.83
1,0,0,1,0,0,0,1,0,0,0,1,0,8,8,1,0.65
0,0,1,0,1,1,0,0,0,1,0,1,1,8,8,0,1.25
0,0,1,0,1,0,0,0,0,1,0,1,1,48,8,0,3.61
0,0,0,0,0,1,0,0,0,0,1,0,1,8,160,0,1.38
0,0,1,0,0,0,1,0,0,1,0,0,0,44,8,0,4.815476964150887
0,0,1,1,0,1,0,0,0,1,1,1,1,22,160,0,4.811345863365273
0,0,0,1,1,1,1,0,1,0,0,1,0,44,320,1,4.817862193723533
0,0,0,0,1,0,1,1,1,1,0,0,1,48,8,2,4.811977707737932
0,1,0,0,0,0,0,0,1,0,0,1,0,8,8,2,4.8161517152822695
1,1,1,1,1,1,0,1,0,1,0,0,1,48,8,2,4.816975194842894
1,1,0,1,1,1,1,1,1,0,1,1,0,48,320,0,4.814906350546982
1,0,1,1,0,1,0,0,1,0,1,1,1,8,8,1,4.817621804439542
0,0,0,1,0,0,0,1,1,0,0,0,1,8,320,1,4.815553763231222
0,1,0,0,0,0,0,1,0,0,0,0,1,8,8,1,4.818703967095849
1,0,1,1,1,1,0,0,1,0,0,1,0,8,160,0,4.817682875755754
1,0,0,1,0,1,0,0,1,0,1,0,1,22,160,1,4.8120499403470385
0,1,1,0,1,0,0,1,1,1,1,0,0,8,160,2,4.814269380817109
0,1,1,0,0,1,0,1,0,0,0,1,0,22,160,2,4.8150768270356075
1,1,1,0,1,0,0,0,0,0,1,1,1,8,320,0,4.812344363434971
1,0,0,0,1,1,1,0,1,0,1,1,1,8,8,0,4.811222677105975
0,1,0,1,0,0,0,0,1,1,1,0,1,22,320,2,4.815262908416848
1,0,0,0,0,0,0,1,1,1,1,0,0,48,160,2,4.816200479427143
1,0,0,0,0,0,1,0,0,1,1,1,1,8,8,0,4.818288012548751
0,1,0,0,1,1,0,0,1,1,1,1,0,48,160,0,4.811164986612172
0,0,0,0,0,1,0,1,0,0,0,1,0,44,8,0,4.812090723288804
0,0,0,0,0,0,0,0,0,0,1,0,1,8,160,0,0.86
1,1,1,0,0,0,1,0,0,0,0,0,0,8,8,1,4.8144662265960365
1,0,0,1,0,0,0,1,0,1,0,0,0,22,8,1,1.17
0,1,1,0,0,0,1,0,1,1,0,1,0,22,8,1,4.814661674136415
1,0,0,1,1,0,1,0,0,0,1,0,1,44,8,0,4.818691360327461
1,0,0,0,0,1,1,1,0,1,0,1,1,48,8,1,4.814944008104352
0,0,1,0,1,0,0,0,0,1,0,1,1,8,320,0,4.816317579851607
1,0,0,1,0,1,0,0,1,0,0,0,0,22,8,0,4.818937558560006
0,0,1,0,1,0,0,0,0,0,1,0,1,22,160,1,4.817955974892484
1,1,1,0,0,0,1,1,0,1,1,1,1,22,8,1,4.814458691370364
1,1,1,1,0,0,0,0,0,0,0,1,0,22,8,2,4.813926874768531
0,1,0,0,1,1,1,0,1,1,0,1,1,8,320,0,4.815827953849732
0,0,1,0,0,1,1,0,1,1,1,0,0,48,160,0,4.81484422872827
1,1,1,0,0,0,1,1,1,1,0,1,0,48,8,1,4.813015530611897
1,0,0,0,1,0,0,1,1,1,0,0,1,48,8,2,4.812510395543042
0,0,0,0,1,0,1,0,1,0,1,0,0,8,8,0,4.8168804115492225
0,1,0,0,0,0,0,1,0,1,0,1,0,8,8,1,4.818264889890507
1,0,0,1,0,1,0,0,0,1,0,0,1,8,160,0,4.813259499223773
1,0,0,1,0,0,0,1,0,0,0,1,0,8,8,2,4.811604498261428
1,0,0,1,1,0,0,1,0,0,1,0,1,8,160,0,4.8162481450914285
0,0,0,0,0,0,0,0,0,0,0,1,0,8,8,1,4.813948077368197
0,0,0,0,0,0,1,1,0,0,1,0,0,8,160,1,4.816643354260088
1,0,1,0,1,1,0,0,0,1,1,1,1,8,8,0,4.815071510332211
0,0,0,1,0,0,0,1,0,1,0,1,0,44,8,0,4.812596498876368
