NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,0,0,1,0,0,0,1,0,0,0,1,0,8,8,1,2.90224,1
0,0,1,0,1,1,0,0,0,1,0,1,1,8,8,0,1.622267,0
0,0,0,0,1,0,0,0,0,1,0,0,1,8,8,0,2.255583,1
0,0,0,0,0,1,0,0,0,0,1,0,1,8,8,0,2.255583,1
0,0,0,0,0,1,0,0,0,0,1,0,1,8,160,0,1.622267,1
1,1,1,0,0,0,1,0,0,1,0,1,0,22,8,1,2.588917,1
0,0,0,0,0,0,0,0,0,0,1,0,1,22,8,0,1.622267,1
1,0,1,0,0,1,0,1,0,1,0,1,1,22,320,0,1.622267,1
1,0,0,0,0,0,0,0,0,0,1,0,1,22,8,1,1.622267,1
0,0,1,0,0,0,0,0,0,0,1,0,1,22,8,0,1.622267,1
0,1,0,0,0,1,0,0,0,0,1,0,0,8,8,0,2.555567,1
1,1,1,0,0,0,1,0,0,1,0,1,0,8,8,1,2.555567,1
1,1,1,0,0,0,0,1,0,1,0,1,0,22,8,1,1.8889,1
1,0,0,1,0,0,0,1,0,0,0,0,0,8,8,0,1.8889,1
0,0,0,0,1,0,0,0,0,1,0,1,1,8,8,1,1.8889,1
0,0,1,0,0,0,0,0,0,0,1,0,1,8,8,0,1.8889,1
1,0,0,1,0,0,0,1,0,0,0,1,0,8,8,0,2.222233,1
1,0,1,0,0,0,0,1,0,1,0,1,1,8,8,1,2.222233,1
1,0,1,0,0,0,0,1,0,1,0,1,1,8,8,0,2.222233,1
0,0,0,1,0,0,1,0,0,1,0,1,0,22,8,1,2.222233,1
0,0,1,1,0,0,0,1,0,1,0,1,0,8,8,1,2.222233,1
