NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
0,0,0,0,0,0,1,0,0,0,0,0,1,8,160,0,0.45
1,0,0,1,0,0,0,1,0,1,0,0,0,22,8,1,0.41
1,1,1,0,0,0,0,0,1,1,0,0,0,44,8,1,0.46
1,1,1,0,0,1,0,1,0,1,0,0,0,22,320,0,0.52
1,1,0,0,0,0,0,0,0,1,1,1,0,22,8,1,0.36
1,0,1,0,1,1,0,0,0,1,0,1,1,8,8,0,0.35
1,1,1,0,0,1,1,0,0,1,0,1,0,8,320,0,0.32
1,0,1,0,1,0,0,0,0,1,0,1,1,8,8,0,0.35
0,0,0,1,0,0,0,0,1,1,0,0,0,44,8,1,0.54
0,0,0,0,0,0,1,0,0,0,0,0,1,22,8,0,0.57
1,0,0,1,0,1,1,0,0,0,0,0,0,44,160,0,0.67
1,0,0,0,0,0,0,1,0,1,0,0,1,22,8,1,0.49
0,0,0,1,0,0,0,0,0,0,1,0,0,48,8,0,0.77
0,0,1,0,0,1,0,0,1,0,0,1,1,22,160,0,0.7
1,1,1,0,0,0,0,0,1,1,0,1,0,44,8,2,0.62
1,0,1,1,0,0,0,1,0,1,0,1,0,48,8,0,0.56
1,0,1,1,0,0,0,0,1,1,0,1,0,44,8,2,0.72
1,1,1,0,0,0,0,0,0,1,1,1,0,48,8,1,0.48
0,1,0,0,1,0,0,0,0,1,0,0,0,48,8,0,0.86
1,1,0,0,1,1,0,0,0,1,0,0,0,44,160,2,1.2270663729453948
1,0,0,1,0,0,0,1,0,1,0,0,0,22,8,1,0.41
0,0,0,0,0,0,1,0,0,0,0,0,1,8,160,0,0.45
0,0,0,1,0,0,0,0,1,1,0,0,0,44,8,1,0.54
1,1,1,0,0,0,0,0,0,1,1,1,0,48,8,1,0.48
1,1,1,0,0,0,0,0,1,1,0,1,0,44,8,2,0.62
1,0,1,1,0,0,0,1,0,1,0,1,0,48,8,0,0.56
1,0,1,1,0,0,0,0,1,1,0,1,0,44,8,2,0.72
0,0,0,0,0,0,1,0,0,0,0,0,1,22,8,0,0.57
0,0,0,1,0,0,0,0,0,0,1,0,0,48,8,0,0.77
0,0,1,0,0,1,0,0,1,0,0,1,1,22,160,0,0.7
0,0,0,1,1,0,1,0,0,1,0,1,0,8,320,0,1.2269129719175507
1,0,1,0,0,1,1,0,0,1,0,0,1,8,160,0,1.2256212759683884
0,1,0,0,0,0,1,0,0,1,0,1,1,8,160,0,1.22150012676956
1,0,1,0,1,1,0,0,0,0,0,0,1,8,160,1,1.2259557075907814
0,0,0,0,0,0,1,1,0,1,0,0,1,8,8,0,1.2254445490571868
1,0,1,0,1,1,0,0,0,0,0,0,0,8,160,0,1.228418313638532
1,1,0,0,0,1,1,1,0,1,0,1,0,8,320,0,1.228125157433072
1,0,1,0,1,1,0,0,0,1,0,1,1,8,160,0,0.38
1,1,1,0,0,0,0,0,1,0,0,0,0,44,8,1,1.2228102843271123
1,0,0,1,0,1,0,0,0,1,0,0,1,22,8,1,1.2230415410000317
0,0,0,0,0,0,0,0,1,1,0,0,1,48,8,0,1.227396190385856
1,0,1,0,1,0,0,0,0,1,0,1,0,44,8,1,1.2263862311497538
0,0,0,0,0,0,1,0,0,0,0,1,1,8,320,2,1.2249224031855261
1,0,1,1,1,1,0,0,0,1,0,1,1,8,160,0,1.2254295207865378
0,0,1,0,0,1,1,0,0,1,0,0,1,8,8,1,1.2271344959129364
1,1,1,0,0,0,0,0,1,1,0,0,0,44,160,0,1.2237693034901407
1,0,0,1,0,0,0,1,0,0,0,0,0,44,8,1,0.67
1,1,1,0,0,0,0,0,0,1,0,0,0,22,8,1,1.225211434446891
1,0,1,1,1,0,0,0,0,1,0,0,1,48,160,0,1.2229499174051415
0,0,0,0,0,0,0,0,0,1,0,1,1,8,320,0,1.2247852989837074
0,0,0,0,1,1,0,0,0,1,1,1,1,8,160,0,1.2272011335835706
1,1,1,0,0,0,1,0,1,0,0,0,0,8,160,0,1.2250046888649202
1,1,0,0,0,0,0,0,0,0,0,0,1,8,160,0,1.2282487923539527
0,0,0,0,0,0,1,0,1,1,1,1,0,22,8,1,1.2218165321789776
0,0,0,0,1,0,1,0,1,0,0,0,1,8,320,0,1.2229397249312923
1,1,1,0,0,1,1,0,0,1,0,0,0,8,160,0,1.2288505660299547
1,0,1,0,1,0,0,0,0,1,0,1,1,44,8,1,0.82
0,0,0,1,0,0,1,0,1,1,0,0,0,8,8,2,1.2243579313456285
1,0,0,1,1,0,1,0,1,1,0,0,0,44,160,2,1.221020975590332
0,0,0,1,0,0,0,1,0,1,0,0,1,22,8,1,1.2284583583835358
1,0,0,0,1,0,1,0,0,0,0,1,1,8,160,0,1.2269412564013036
0,1,1,1,1,1,0,0,0,1,0,0,1,8,8,0,1.2267682700584666
1,0,0,1,0,0,0,1,0,1,0,0,0,22,8,0,0.44
1,0,0,1,1,0,0,1,1,1,0,1,0,22,8,1,1.2284869533706606
0,0,0,0,1,0,1,0,0,0,0,0,1,8,160,0,1.2219380050832815
0,0,1,0,0,0,0,0,0,1,0,1,1,8,160,0,1.2214880508775972
1,0,0,0,0,0,0,1,0,1,0,0,0,8,8,1,1.2263667201831179
1,0,0,1,0,0,0,0,1,1,0,1,0,22,320,0,1.2221405028170018
1,0,1,0,1,1,0,0,0,1,0,1,0,44,160,0,1.2270754999917581
0,0,1,0,1,0,0,1,0,1,0,1,1,8,8,0,1.2236587618080739
