auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
0,0,0,0,1,0,1,0,0,0,0,1,4.13
0,0,0,1,0,0,0,1,0,1,1,0,4.13
1,0,0,0,0,1,0,1,0,0,1,0,2.65
1,0,0,0,0,1,0,0,0,0,1,0,2.65
0,0,0,0,1,0,1,0,0,0,0,0,4.13
0,0,0,0,0,0,0,1,0,0,0,0,4.13
0,0,0,0,0,0,0,0,0,0,0,0,4.13
0,0,0,0,0,0,0,1,0,0,0,1,4.13
0,0,0,0,0,0,0,0,1,0,0,0,4.14
1,0,1,0,0,1,0,0,0,0,1,0,2.65
0,1,1,1,1,0,0,0,0,0,1,0,4.53
0,1,0,1,0,0,0,1,0,1,1,0,4.53
0,0,0,1,0,0,0,0,0,1,1,0,4.13
0,0,0,0,0,0,0,1,0,1,1,0,4.13
0,0,1,0,0,0,0,0,0,0,1,0,4.13
0,0,1,1,0,0,0,0,0,0,1,0,4.13
0,0,0,0,0,0,0,0,0,0,1,0,4.13
0,0,0,1,0,0,0,0,0,0,1,0,4.13
0,0,0,0,0,1,0,0,0,0,0,0,2.65
0,0,0,1,0,0,1,0,0,0,0,0,4.13
0,0,0,0,0,1,0,0,0,1,1,1,2.65
0,0,0,0,0,1,0,0,0,0,1,0,2.65
0,0,1,0,0,1,0,0,0,0,1,0,2.65
1,0,0,0,0,0,0,1,0,0,1,0,4.13
0,0,0,1,0,1,0,0,0,0,1,0,2.65
0,0,1,1,1,1,0,0,0,0,1,0,2.65
0,0,0,0,1,0,1,0,0,0,0,1,4.13
0,0,0,1,0,0,0,1,0,1,1,0,4.13
0,0,0,0,0,1,0,0,0,0,0,0,2.65
0,0,0,1,0,0,1,0,0,0,0,0,4.13
0,0,1,1,1,1,0,1,0,1,1,1,4.674899426888561
0,0,0,0,0,1,0,0,0,1,1,0,2.65
0,0,0,0,0,1,0,1,0,0,1,0,2.65
1,0,1,0,1,0,0,0,0,0,0,0,4.13
0,0,0,0,0,0,0,0,0,0,0,1,4.13
1,0,0,0,1,1,1,0,0,0,1,0,4.6711092875065425
0,0,1,1,0,1,0,0,0,0,1,0,2.65
0,0,0,0,0,1,1,0,0,1,1,1,4.672939179346707
1,0,1,0,1,1,0,1,0,0,0,0,4.673941861096482
0,0,0,1,0,1,0,1,1,0,1,0,4.677270377052
1,0,0,0,1,1,0,0,0,0,0,1,4.675378271883425
1,0,0,0,0,0,0,0,0,0,1,0,4.13
0,0,0,1,0,0,0,0,0,1,1,1,4.676693869920561
0,0,0,0,0,1,1,1,0,0,1,0,4.671056710120614
0,0,0,0,0,0,0,1,0,0,1,0,4.13
1,0,1,0,0,1,1,0,1,0,1,0,4.674651043566801
0,0,1,0,0,0,0,1,0,0,0,0,4.13
0,0,1,0,0,1,1,0,0,0,1,0,4.671083759216194
1,0,0,0,0,1,1,1,0,1,0,0,4.678855950274033
0,0,0,1,0,1,0,0,0,0,0,0,2.65
1,0,0,0,0,1,1,0,0,1,1,0,2.65
0,0,0,0,0,1,1,1,1,0,1,0,4.6737673493123335
0,0,0,1,0,1,0,0,1,0,1,0,2.67
0,0,0,0,0,1,1,1,0,0,0,0,4.6782682002711
0,0,0,0,1,0,0,1,0,0,0,0,4.13
1,0,1,0,0,1,0,0,0,0,0,0,4.677609086595353
0,0,0,0,0,1,1,0,0,0,1,0,2.65
1,0,0,0,0,1,0,0,0,0,1,1,4.672908204379819
0,1,1,1,0,1,1,0,0,0,1,0,4.674317552498604
0,1,0,0,0,0,0,0,0,1,1,0,4.53
0,0,0,0,0,1,1,0,0,1,0,0,2.65
0,0,1,1,0,1,0,0,0,0,0,0,4.672401515837113
0,0,0,0,0,1,0,0,0,0,0,1,2.65
1,1,0,1,0,1,0,0,0,0,1,0,1.76
0,0,0,0,1,0,0,0,0,0,0,0,4.13
0,0,0,0,0,1,0,1,1,0,0,1,4.67324123445818
0,0,1,0,0,1,0,0,1,0,0,0,2.69
1,0,0,0,0,1,0,0,0,1,1,0,4.675725782502014
1,0,1,0,0,1,0,0,0,1,1,0,4.676344247428087
1,1,0,1,0,1,0,1,0,0,1,0,4.677598022168957
1,0,1,0,1,1,1,0,0,1,1,1,4.672175652707331
0,0,0,0,0,1,0,1,0,0,0,0,2.65
0,1,1,1,1,1,1,1,0,1,0,0,4.678445297118072
1,0,0,1,0,0,0,0,0,0,0,0,4.13
0,0,1,1,1,1,0,0,0,0,0,0,2.65
0,0,0,1,0,1,0,0,1,1,0,0,2.69
0,0,1,1,1,0,0,0,0,0,0,0,4.13
0,0,0,1,0,1,0,0,0,1,1,0,2.65
1,0,0,0,0,1,0,0,0,0,0,0,2.65
1,1,0,1,0,1,0,0,0,0,0,0,4.676867809347461
0,1,0,1,0,1,0,0,0,0,1,0,1.76
1,0,1,1,0,1,0,0,0,0,1,0,4.671711164452949
1,0,1,1,1,1,0,0,0,0,1,0,4.677887078465941
0,0,1,0,0,1,0,1,0,1,0,0,4.676700183715166
1,1,0,1,0,1,0,0,0,0,0,1,4.675942322624072
0,1,0,0,0,1,0,0,0,0,0,0,1.76
0,0,0,0,0,0,1,0,0,0,0,1,4.13
0,0,0,0,0,1,0,0,0,1,0,0,2.65
1,1,1,1,0,1,0,0,0,0,0,1,4.673688009748337
1,1,1,0,0,1,0,0,0,0,1,0,1.76
