auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,0,0,0,0,1,0,0,0,1,8.75
1,0,1,0,0,0,0,0,0,0,0,0,8.75
1,0,0,0,1,0,0,0,0,1,0,0,8.75
1,0,0,0,0,0,1,0,0,1,0,0,8.75
1,0,0,1,0,0,0,0,0,0,0,1,8.75
1,0,0,0,1,0,1,0,0,1,0,0,8.75
1,0,0,0,0,0,0,0,0,0,0,1,8.75
1,0,0,0,0,0,0,0,0,0,0,0,8.75
1,1,0,0,0,0,0,1,0,0,0,0,8.76
0,0,0,0,1,0,0,0,0,1,0,0,14.7
1,0,0,0,0,0,0,0,0,0,1,0,8.75
0,0,1,1,1,1,1,0,0,0,1,0,18.89
0,0,0,0,0,1,0,0,0,0,1,0,18.91
0,0,0,0,0,1,0,0,0,0,1,1,18.88
0,0,0,0,0,1,0,0,0,1,1,1,18.88
1,1,0,0,0,0,0,0,0,0,1,1,8.76
1,0,0,1,0,0,0,0,0,0,1,0,8.75
1,0,0,0,1,1,0,0,0,0,1,0,17.22
1,0,0,0,0,1,1,0,0,0,1,0,17.23
1,0,0,0,0,1,0,0,0,0,1,0,17.26
0,0,0,0,0,1,0,0,0,1,1,1,18.88
0,0,0,0,0,1,0,0,0,0,1,1,18.88
0,0,0,0,0,1,0,0,0,0,1,0,18.91
1,0,0,0,0,0,1,0,0,0,1,1,8.75
1,0,0,0,0,0,0,1,0,0,1,0,8.75
1,0,0,0,0,0,0,1,0,0,1,1,8.75
1,0,0,0,0,0,0,1,0,1,1,0,8.76
1,0,0,0,0,0,1,0,0,1,1,0,8.76
1,0,0,0,0,0,0,0,0,0,1,0,8.75
0,0,1,1,1,1,1,0,0,0,1,0,18.89
1,0,0,0,1,0,0,1,0,0,0,0,19.305072895386292
1,0,1,0,0,0,1,0,0,0,1,1,19.306843746071912
1,1,0,1,0,1,0,0,0,0,0,0,19.306920259217588
1,0,0,1,0,0,0,0,0,0,0,0,8.74
1,0,0,0,0,0,0,1,0,0,0,0,8.76
1,0,0,0,0,1,0,0,0,0,0,1,19.30648336181246
1,0,0,0,1,0,1,0,0,0,0,0,19.30722860688848
1,0,0,1,0,1,0,0,0,0,0,1,16.99
1,0,1,0,0,0,0,0,0,0,1,1,8.75
1,1,1,0,0,0,1,0,0,0,1,1,19.307161293002054
1,0,1,0,0,0,0,0,0,1,1,0,19.30355172896265
1,0,0,0,1,0,0,0,0,1,1,0,19.307519707085437
1,0,1,1,0,0,0,0,0,0,0,0,8.76
1,0,1,0,0,0,0,1,0,0,1,0,19.308306103521353
1,0,0,1,0,0,0,0,1,1,0,1,19.301376420414
1,0,0,1,0,0,0,0,1,0,1,0,19.302205262132965
1,0,0,0,1,0,0,0,0,0,0,1,8.75
1,1,0,1,1,0,0,0,0,0,0,0,19.302697842766964
1,0,0,1,0,0,0,0,0,0,1,1,8.75
1,0,0,1,0,0,0,1,0,0,0,0,19.308730630251283
1,0,1,0,0,0,0,1,0,0,1,1,19.30752410511497
0,0,0,0,0,0,0,0,0,0,1,1,14.69
1,0,1,0,0,0,0,0,0,0,0,1,19.30706085552225
1,0,0,0,0,0,0,1,1,0,0,0,8.88
1,0,0,1,0,0,0,1,0,1,1,0,8.75
0,0,0,0,0,0,1,1,0,1,1,1,19.306602320288665
1,0,0,1,0,0,0,0,0,1,0,1,19.3043406632237
1,0,0,0,1,1,1,0,1,1,0,0,19.306644577253916
1,0,1,0,1,0,0,0,0,1,1,0,19.307515570754084
1,0,1,0,1,0,0,0,1,1,0,0,8.9
1,0,0,0,1,0,0,1,0,0,0,1,8.75
1,0,1,0,0,0,0,1,0,1,1,1,19.305408488643685
1,0,0,0,1,0,1,0,0,1,1,0,8.76
1,0,0,0,1,0,0,0,0,0,1,0,8.76
1,0,0,0,1,0,0,1,0,0,1,1,19.301698040282236
1,0,1,0,0,0,1,0,1,1,1,0,19.302243049346476
1,0,0,1,0,0,0,0,0,1,0,0,8.75
1,0,1,0,0,0,0,0,0,1,0,0,19.307562639395996
1,0,0,0,0,0,0,0,0,0,1,1,8.75
1,0,0,1,0,0,1,0,0,0,1,0,8.76
1,0,0,0,1,0,1,1,0,0,1,1,19.308366714780576
1,0,0,1,0,0,1,1,0,0,1,1,8.75
1,0,0,0,1,0,0,0,1,0,0,0,19.301361430996334
0,0,0,0,1,0,0,0,0,0,1,1,14.68
1,0,0,0,0,0,0,0,1,0,0,0,8.92
1,0,0,1,1,0,0,0,0,1,1,0,19.305136548496385
0,0,0,0,0,0,0,1,0,0,0,0,14.68
1,0,1,0,1,0,0,1,0,0,1,1,19.30157045278589
1,0,1,1,0,0,0,0,0,1,0,0,8.75
1,0,0,0,0,0,0,1,0,1,1,1,19.303010585130785
1,0,0,1,0,0,0,0,0,1,1,0,19.3064418076786
1,1,1,0,0,0,1,0,0,1,0,0,19.302879765783103
0,0,0,1,1,0,0,1,0,1,1,0,19.30479149730272
1,0,1,0,0,0,0,0,1,0,1,1,19.306999581482064
1,0,0,0,1,0,1,1,1,0,0,0,19.307978608950144
0,0,0,0,0,0,1,0,0,0,0,1,14.68
1,1,0,0,0,0,0,0,0,0,0,0,8.76
1,0,0,1,0,0,0,1,0,0,1,1,19.307138745516234
1,0,0,0,1,0,1,0,0,0,1,1,19.301854638368255
1,0,1,0,1,1,1,0,0,0,1,1,19.307755112844834
