NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
0,0,0,1,0,0,1,0,0,1,0,1,0,48,8,0,2.6
1,0,1,1,0,1,0,0,0,1,1,1,0,8,8,0,1.47
0,0,0,1,0,0,0,0,0,0,1,0,0,44,8,1,4.43
1,1,0,0,0,0,0,1,0,0,0,0,0,44,8,2,3.57
0,0,0,1,0,0,0,0,0,0,1,0,0,44,8,2,2.39
1,0,1,1,0,1,1,0,0,1,0,1,0,22,8,0,1.34
1,0,0,0,1,0,0,0,0,1,0,1,1,48,8,0,7.04
1,0,1,0,0,1,0,0,1,1,0,1,1,8,320,0,1.36
1,0,0,1,0,0,0,0,1,0,0,1,0,8,8,0,0.89
1,0,1,1,0,1,0,0,0,1,1,1,0,22,8,0,2.53
0,0,1,0,1,0,1,0,0,0,0,0,0,48,320,1,9.625590414341506
0,1,1,0,0,1,1,0,0,1,1,1,0,22,8,0,9.627108723703628
0,0,1,0,1,0,1,1,1,1,1,0,1,44,8,2,9.62103306933651
1,0,0,1,1,0,1,1,0,1,0,0,1,44,160,1,9.628467655602048
1,0,0,1,1,1,0,0,0,1,0,1,1,22,8,2,9.625125389440631
0,0,0,1,0,0,0,1,1,1,1,0,1,8,8,2,9.625150839602204
0,1,1,1,1,1,1,1,0,1,1,1,1,44,320,2,9.628215110448325
1,0,1,0,0,0,1,1,1,1,1,0,0,8,160,0,9.622286153316832
0,1,0,1,1,0,0,1,1,0,1,0,1,22,8,2,9.626611291982282
1,0,0,0,1,0,1,1,1,0,0,1,1,48,8,2,9.625227027001639
0,0,0,0,0,0,0,1,0,1,1,1,1,44,160,0,9.622665357340466
0,0,1,1,1,0,1,0,1,1,1,1,0,22,8,0,9.62839674863119
0,1,1,1,0,0,1,0,1,0,1,1,0,8,160,1,9.624368328435024
0,0,1,0,1,0,1,1,0,0,1,1,0,8,320,0,9.625405365860244
1,0,1,0,1,0,0,1,0,0,0,1,1,44,320,0,9.626397777345971
0,1,1,0,0,1,1,0,0,1,1,0,1,44,320,0,9.623951459700029
1,1,1,0,1,0,0,1,1,0,0,1,1,8,160,1,9.627180572710696
0,0,1,1,1,0,1,0,1,0,1,0,1,22,160,2,9.625085102584269
0,0,1,0,1,0,1,0,0,0,0,0,0,48,8,0,9.625450157097756
0,1,1,0,0,0,0,0,0,1,0,1,0,44,320,0,9.628536877228823
1,0,1,1,0,0,0,0,0,1,1,1,0,8,8,0,1.46
1,0,1,0,0,0,0,0,0,1,1,1,0,48,8,0,9.622167386606124
1,0,1,0,1,0,0,0,0,1,0,1,1,22,8,0,3.16
0,0,1,0,1,1,1,1,1,1,1,0,1,44,8,1,9.62120514756129
0,0,1,0,1,1,1,1,1,0,1,0,1,44,320,2,9.627764991326131
1,0,0,0,0,0,0,1,0,1,1,1,0,44,160,0,9.628193538730045
0,1,1,1,0,1,0,1,0,1,1,1,0,8,8,0,9.621075691371926
1,0,1,0,0,1,0,1,1,0,0,1,1,8,8,0,9.621148517505535
1,0,1,1,0,1,1,0,0,1,0,1,0,8,320,0,0.9
1,1,1,1,0,1,1,1,0,1,1,1,0,8,8,0,9.624150729412143
1,0,1,1,1,1,0,0,0,1,0,1,0,22,160,0,2.62
1,0,1,1,0,1,0,0,1,0,0,1,0,8,8,0,9.621416686295738
1,0,0,1,0,0,0,0,0,1,0,1,0,22,8,0,9.62817785095679
1,0,1,0,0,0,1,0,1,0,0,1,0,8,8,0,9.622139300399995
1,0,0,1,1,1,0,0,0,1,1,1,0,48,8,0,9.627598938193245
1,0,0,1,1,1,0,0,0,1,0,1,1,8,320,0,9.623373099506535
1,0,1,0,0,1,0,0,1,1,0,1,1,22,8,2,9.62154453242335
0,0,1,1,1,0,1,1,1,1,1,0,0,8,160,0,9.627978708209975
1,0,1,0,0,0,1,0,1,0,1,0,1,8,8,2,9.627807990493217
1,0,0,1,0,0,0,0,0,0,1,0,0,44,160,2,9.62157369624538
1,0,1,1,0,1,0,0,1,0,1,0,0,44,8,1,9.621855190103178
0,0,0,1,0,1,0,0,0,1,1,1,0,8,8,0,9.623582753744687
1,0,0,1,1,0,1,0,0,1,0,1,1,48,8,0,9.621499806949261
1,0,1,1,0,0,0,0,0,1,1,1,0,22,320,0,9.622941841545376
1,0,0,0,1,0,0,0,1,0,0,1,0,8,8,0,9.623856374122258
1,1,1,0,0,1,0,0,1,1,0,1,1,44,320,0,9.628004085920223
0,0,0,1,0,1,0,0,1,1,1,1,1,8,320,0,9.62274961733954
1,0,1,0,0,1,1,0,0,1,0,1,0,48,8,0,9.625742971145684
0,0,1,0,1,0,1,0,1,1,0,1,1,44,8,2,9.625143883416536
0,0,0,1,0,0,1,0,0,0,1,0,0,44,8,1,9.627172225609115
1,0,1,1,0,0,1,0,0,1,0,1,0,22,320,2,9.628241200698177
1,0,1,1,1,1,1,0,0,1,0,1,0,8,8,0,9.62460390074506
0,0,0,1,0,0,0,0,1,0,0,0,0,44,8,1,4.03
0,0,0,1,0,0,0,1,0,0,1,1,0,44,8,2,9.622545003619324
1,0,1,1,0,1,1,0,0,1,0,1,1,8,320,0,9.624554132177938
1,0,1,0,1,0,0,0,0,1,0,1,1,22,160,0,3.99
1,0,1,0,1,0,0,0,0,1,1,1,1,22,8,0,9.623491861966295
1,0,1,1,0,0,0,0,0,1,1,1,0,48,8,0,3.44
1,0,1,1,0,1,0,1,0,1,1,0,0,8,160,0,9.628462927785895
0,0,1,1,0,1,0,0,0,1,1,1,0,8,8,0,1.5
1,0,1,1,0,1,0,0,0,1,0,1,0,22,8,0,9.62178462442325
1,0,1,1,0,1,1,0,1,1,1,0,0,8,8,0,9.62446795874057
1,0,1,0,0,1,1,0,0,1,0,1,0,22,8,1,9.62217141617731
1,0,1,0,0,1,0,0,1,1,0,1,1,8,320,2,9.621302773655128
1,0,1,1,1,0,0,0,0,1,0,1,0,22,8,0,3.46
1,0,1,0,1,0,1,0,0,1,0,1,1,8,8,0,9.626318061959035
1,0,0,1,1,0,1,1,0,0,0,1,0,22,160,0,9.622048595423301
0,0,1,1,0,1,0,1,0,1,1,1,0,8,8,0,9.621240271596687
0,0,0,1,1,0,0,1,1,1,1,1,0,8,160,0,9.625958310412345
1,0,1,1,0,0,0,0,0,0,1,0,0,44,8,1,9.627033664928906
0,0,1,1,0,1,1,0,0,1,0,1,0,22,160,0,9.622982476323353
1,0,1,1,1,1,0,0,0,1,0,1,0,8,8,0,1.51
1,0,1,1,1,1,0,0,0,1,0,1,0,22,160,2,9.628244535659283
0,0,0,1,0,0,0,1,0,0,1,0,0,44,8,2,9.62457650082946
1,1,1,0,0,0,1,0,1,1,0,1,1,8,320,0,9.623265762987028
1,0,1,0,0,1,0,0,0,1,1,1,0,44,8,0,9.625896545848207
1,0,1,1,1,0,1,0,0,1,1,1,0,44,320,0,9.624739988855769
1,0,1,1,0,1,0,0,0,1,1,1,0,8,160,0,1.38
0,1,0,1,0,0,0,0,1,1,1,1,0,48,8,0,9.624227023016019
1,0,0,1,0,0,0,0,1,0,0,0,0,44,8,2,9.62284622268402
