auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
0,0,0,0,0,0,0,0,0,0,1,1,12.1
0,0,0,0,0,0,0,1,0,0,1,1,12.48
0,0,0,0,0,1,0,0,0,1,1,1,25.65
0,0,0,1,1,1,0,1,0,0,1,1,25.9
0,0,0,0,0,1,0,0,0,0,1,0,25.69
0,0,0,0,0,1,0,0,0,0,1,1,25.86
0,0,0,0,0,1,0,0,1,0,1,0,56.51
0,0,1,1,0,1,1,1,1,1,0,1,55.86
0,1,1,1,1,1,1,1,1,1,0,1,938.0
0,0,0,0,0,1,0,0,1,1,0,0,56.49
0,0,0,0,0,0,1,0,0,0,0,0,3.88
0,0,1,0,0,0,1,0,0,0,0,0,3.91
0,0,1,1,0,0,0,0,0,1,0,0,3.91
0,0,0,1,1,0,0,0,0,0,0,0,3.91
0,0,0,1,1,0,0,1,0,1,0,0,3.93
0,0,0,1,0,0,0,0,0,1,0,0,3.9
0,0,0,0,0,0,0,0,1,1,0,1,9.83
0,1,0,0,0,0,0,1,0,0,0,1,3.93
0,1,0,0,0,0,0,0,0,0,0,1,3.88
1,0,0,1,1,1,0,0,0,0,1,0,19.74
1,0,0,1,1,0,0,1,0,1,0,0,944.2370051460726
0,0,0,0,0,1,1,0,1,0,1,1,944.231267208633
1,0,0,1,1,1,0,0,0,0,1,0,19.74
1,1,1,1,0,0,0,0,0,0,0,1,944.2343304222765
1,0,1,1,1,0,1,1,1,0,0,1,944.2370047094408
0,1,1,1,1,1,1,1,1,1,0,1,938.0
0,0,0,0,0,1,0,0,1,1,0,0,56.49
0,0,0,1,0,1,1,1,1,0,0,0,944.2335746643654
0,0,1,1,0,0,0,0,0,1,0,0,3.91
0,0,0,0,0,1,0,0,0,1,1,1,25.65
0,1,1,1,1,0,0,0,0,0,0,0,3.89
0,1,1,0,0,0,0,0,1,0,1,1,944.2372556734365
1,0,1,1,0,0,0,0,0,1,0,0,4.34
0,0,0,0,0,0,0,0,0,0,1,0,12.27
0,1,0,1,1,0,0,0,0,1,0,1,944.237743902222
0,1,0,0,1,0,0,1,0,0,0,0,3.94
0,0,0,0,0,0,0,0,0,0,0,0,3.92
0,0,0,1,1,0,0,1,0,1,1,1,944.238691066247
1,0,0,1,1,1,0,0,0,1,0,1,944.2339471364647
1,0,0,0,0,0,0,0,0,1,0,1,4.31
0,0,0,1,0,0,0,0,0,0,1,1,12.32
0,0,0,0,0,0,0,0,1,1,1,1,944.237482273006
0,0,0,1,1,0,0,1,1,0,0,0,944.2317821148264
0,0,0,1,1,0,0,0,0,0,1,0,944.2337625468589
1,0,0,1,0,0,0,0,0,0,0,0,4.36
0,1,1,0,1,0,1,1,0,0,0,0,944.2326844531133
0,0,1,0,0,0,1,1,0,0,0,0,944.2367424477791
0,0,1,0,0,0,0,1,0,1,0,0,944.2388430369589
0,1,0,0,0,0,0,0,0,1,1,0,12.39
1,0,1,1,0,0,0,1,0,0,0,1,944.2316425251341
0,1,1,0,0,0,1,0,0,1,1,1,944.2340190819275
0,1,1,0,0,0,0,0,0,0,0,1,944.2383365857743
1,0,1,1,1,0,0,0,0,1,0,0,944.2372996718368
0,0,1,1,0,0,1,1,0,1,0,0,944.2316230191449
0,0,1,1,1,0,0,1,0,1,0,0,944.2315458891751
1,0,1,1,1,0,0,0,0,0,0,1,944.2389531081047
1,0,0,0,1,0,0,0,0,1,0,1,944.2375097473363
0,1,1,0,0,0,1,0,0,0,0,0,3.89
0,1,1,1,1,0,0,0,0,1,0,0,944.2380750728511
0,1,0,0,0,0,0,0,1,0,0,0,9.79
0,0,0,1,1,0,0,0,0,0,0,1,944.2378213235468
0,0,0,0,1,1,0,1,0,0,1,1,944.2332999068567
0,0,0,0,0,0,1,1,0,0,0,0,3.89
0,0,0,1,1,0,0,1,0,1,1,0,944.2353231755735
0,0,0,1,0,0,0,0,0,0,0,0,3.87
0,0,0,1,1,0,0,0,0,0,1,1,944.2376311703763
0,0,1,1,1,0,0,0,0,0,0,1,944.2334774149954
0,0,1,0,0,0,1,0,0,1,0,0,944.2334093783479
0,1,0,0,1,0,0,1,0,0,0,1,944.2332107935742
0,0,0,1,1,0,0,0,0,1,0,0,3.9
0,0,0,1,0,1,0,0,0,1,0,0,944.2334814869904
0,0,0,0,0,0,0,0,0,1,0,0,3.92
0,1,1,1,0,1,0,0,0,0,0,0,944.2327770404423
0,1,1,0,0,0,1,0,0,0,1,0,944.2366300939324
0,0,0,1,0,0,1,0,0,0,0,0,3.88
1,0,0,0,0,0,0,0,0,0,0,0,4.32
0,1,1,0,0,0,1,0,0,1,0,1,944.2385208673367
1,1,0,0,1,0,0,1,0,0,0,1,944.2314071596217
0,0,0,1,0,0,1,0,0,1,0,0,944.2340837962358
0,1,1,0,0,1,0,0,1,0,0,1,944.2334023382504
1,0,0,1,0,0,1,1,0,0,0,0,944.2387153682388
0,0,0,0,1,0,0,0,0,0,0,0,3.89
0,1,1,1,0,0,0,0,0,1,0,0,944.2388613143247
0,1,0,1,0,0,0,0,0,0,0,0,3.9
1,0,0,0,0,0,1,1,0,1,0,1,944.2388949391462
0,1,1,0,1,0,1,0,0,0,0,0,944.2346908055482
1,1,0,0,0,0,1,0,0,0,0,0,944.2313347370259
0,1,1,1,1,0,0,0,0,1,0,1,944.2388722147562
0,0,1,0,0,0,1,1,0,1,0,0,944.2359485964039
0,1,1,0,1,0,0,0,0,0,0,1,944.233727314064
