auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
1,1,1,1,1,1,1,0,0,1,1,0,0.737418,0
1,1,1,1,1,1,0,0,0,0,1,0,0.737418,0
1,1,1,1,1,1,1,1,0,0,1,0,0.737418,0
0,1,0,0,0,1,0,1,1,0,0,0,0.737418,0
0,1,0,1,0,1,1,1,1,1,1,0,0.737418,0
1,1,1,1,1,1,1,0,1,0,1,0,0.737418,0
0,1,1,1,0,1,0,0,1,0,1,0,0.737418,0
1,1,1,1,1,1,1,0,1,1,1,0,0.737418,0
0,0,1,1,0,1,0,0,0,0,1,0,1.540834,0
1,0,1,0,0,1,0,0,0,0,1,0,2.122903,1
0,1,0,1,0,0,0,0,0,0,0,0,1.378805,0
1,0,0,0,0,0,0,0,0,0,1,0,2.132516,1
1,1,0,0,1,0,0,0,0,0,1,0,1.139427,0
1,0,0,0,1,0,0,0,0,0,1,0,2.217495,1
0,0,0,0,0,0,0,0,0,0,1,0,1.098995,0
0,1,0,1,0,0,0,0,0,0,1,0,1.098995,0
0,0,0,0,0,0,1,0,0,0,1,1,1.981396,1
0,0,1,1,0,0,1,1,0,1,1,0,1.098995,0
1,1,1,0,1,0,1,1,1,1,0,1,1.378805,0
1,1,1,1,1,0,0,1,1,1,0,0,1.139427,0
0,0,1,0,0,0,0,0,0,0,1,0,0.785836,0
0,1,0,1,1,0,0,0,1,0,1,0,0.785836,0
0,0,1,1,0,1,1,1,0,1,1,0,1.462615,0
0,1,0,0,0,1,0,0,0,0,1,0,0.785836,0
1,0,1,1,0,1,0,0,0,0,0,0,1.447464,0
1,0,0,1,0,1,0,0,0,0,0,0,1.447464,0
0,0,1,0,0,1,0,0,0,0,1,0,1.482823,0
1,0,0,1,0,1,0,0,0,0,1,0,1.367655,0
1,0,1,1,0,1,0,0,0,0,0,1,1.367655,0
1,0,0,1,1,1,0,0,0,0,1,0,1.367655,0
1,0,0,1,1,0,0,0,0,0,1,0,1.367655,0
1,0,0,0,0,0,0,1,0,0,1,0,1.922702,1
0,0,0,1,0,1,0,0,0,0,1,0,1.347464,0
0,0,0,0,0,0,1,0,0,0,1,0,1.781785,1
1,0,0,0,0,0,1,1,0,0,1,0,1.928252,1
1,0,0,0,0,0,0,1,0,0,1,1,1.527273,0
1,1,1,0,0,0,0,0,0,0,0,0,1.675741,1
1,0,0,0,0,0,0,0,0,0,0,0,1.527273,0
1,0,1,0,1,0,1,1,0,0,0,0,1.527273,0
1,0,0,0,0,0,0,0,0,0,1,1,1.527273,0
1,0,0,0,1,0,0,0,0,0,0,0,1.527273,0
1,1,0,1,0,0,0,0,0,0,0,0,1.779759,1
1,1,0,0,0,0,0,0,0,0,1,0,1.779759,1
1,1,1,0,0,0,1,1,0,0,1,1,1.551482,0
1,1,0,0,0,0,0,0,0,0,0,0,1.551482,0
1,1,0,1,0,0,0,0,0,0,0,1,1.551482,0
1,0,0,0,0,0,0,1,0,1,0,0,2.008061,1
1,0,0,1,1,0,0,1,0,0,1,0,1.789185,1
0,0,0,0,0,0,1,1,0,0,1,0,1.353491,0
0,0,0,0,0,0,1,1,0,0,1,1,1.353491,0
1,0,0,1,0,0,1,0,0,0,1,0,1.353491,0
1,0,0,0,0,0,1,0,0,0,1,0,1.353491,0
0,0,0,1,0,0,0,0,0,0,0,1,1.846509,1
0,0,1,1,0,0,0,0,0,0,0,0,1.846509,1
0,0,1,1,0,0,0,1,0,1,0,0,1.846509,1
0,0,1,1,0,0,0,0,0,1,0,0,1.846509,1
0,0,1,1,0,0,0,0,0,0,0,1,1.846509,1
0,0,1,0,0,0,0,0,0,0,0,1,1.846509,1
0,0,1,0,0,0,0,0,0,0,0,0,1.846509,1
1,0,0,0,0,0,0,0,0,0,0,1,1.846509,1
