OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,20788.7807508064
1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,13999.829425248
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,17559.9518423132
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,19395.4278449538
0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,14139.1630575381
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,18119.9666856139
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,19869.8345347356
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14147.9657763066
0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,13663.5186640748
1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,13650.8505863308
1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,15487.2934790909
1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,14044.1228383944
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,11894.6153232315
1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,11633.5523759854
1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,12424.6496766485
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,18069.4281695173
1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,12686.6408138604
1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,9811.390882309664
0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,9811.39011464504
0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,9811.391127069614
0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,20788.7807508064
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,17559.9518423132
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,11894.6153232315
1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,11633.5523759854
1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,15487.2934790909
1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,13999.829425248
1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,14044.1228383944
1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,13650.8505863308
0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,13663.5186640748
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14147.9657763066
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,16408.7425001108
0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,9811.390333076914
0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,9811.385904933488
0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,9811.386149151394
1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,9811.38507164599
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,17797.5952625847
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13698.0465572221
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,20529.1958305203
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,19841.967122976
0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,9811.38924798498
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,9811.38486090809
1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,9811.389947906178
1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,9811.384991205283
1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,9811.388209798564
1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,19609.3225815135
0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,9811.387138938779
0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,9811.386403779732
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,16597.6693163142
1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,9811.384060226887
0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,9811.39044965224
